"基金名稱","環球債券基金"	
"貨幣","HKD"	
"成立日期","2007/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2010/01/01","110.33"	
"2010/01/02","110.33"	
"2010/01/03","110.33"	
"2010/01/04","110.22"	
"2010/01/05","110.94"	
"2010/01/06","110.7"	
"2010/01/07","110.87"	
"2010/01/08","110.33"	
"2010/01/09","110.33"	
"2010/01/10","110.33"	
"2010/01/11","111.34"	
"2010/01/12","111.59"	
"2010/01/13","111.64"	
"2010/01/14","111.96"	
"2010/01/15","112.05"	
"2010/01/16","112.05"	
"2010/01/17","112.05"	
"2010/01/18","111.77"	
"2010/01/19","111.91"	
"2010/01/20","111.56"	
"2010/01/21","111.02"	
"2010/01/22","111.16"	
"2010/01/23","111.16"	
"2010/01/24","111.16"	
"2010/01/25","111.42"	
"2010/01/26","111.49"	
"2010/01/27","111.2"	
"2010/01/28","110.78"	
"2010/01/29","110.72"	
"2010/01/30","110.72"	
"2010/01/31","110.72"	
"2010/02/01","110.28"	
"2010/02/02","110.34"	
"2010/02/03","110.39"	
"2010/02/04","110.22"	
"2010/02/05","110.09"	
"2010/02/06","110.09"	
"2010/02/07","110.09"	
"2010/02/08","109.94"	
"2010/02/09","109.75"	
"2010/02/10","110.12"	
"2010/02/11","109.87"	
"2010/02/12","109.81"	
"2010/02/13","109.81"	
"2010/02/14","109.81"	
"2010/02/15","109.81"	
"2010/02/16","109.81"	
"2010/02/17","109.99"	
"2010/02/18","108.96"	
"2010/02/19","108.35"	
"2010/02/20","108.35"	
"2010/02/21","108.35"	
"2010/02/22","108.87"	
"2010/02/23","109.27"	
"2010/02/24","109.28"	
"2010/02/25","109.37"	
"2010/02/26","109.73"	
"2010/02/27","109.73"	
"2010/02/28","109.73"	
"2010/03/01","110.13"	
"2010/03/02","109.73"	
"2010/03/03","110.15"	
"2010/03/04","110.52"	
"2010/03/05","109.9"	
"2010/03/06","109.9"	
"2010/03/07","109.9"	
"2010/03/08","109.84"	
"2010/03/09","109.85"	
"2010/03/10","109.76"	
"2010/03/11","109.64"	
"2010/03/12","109.87"	
"2010/03/13","109.87"	
"2010/03/14","109.87"	
"2010/03/15","110.17"	
"2010/03/16","110.2"	
"2010/03/17","110.63"	
"2010/03/18","110.46"	
"2010/03/19","110.0"	
"2010/03/20","110.0"	
"2010/03/21","110.0"	
"2010/03/22","109.73"	
"2010/03/23","109.97"	
"2010/03/24","109.44"	
"2010/03/25","108.45"	
"2010/03/26","108.28"	
"2010/03/27","108.28"	
"2010/03/28","108.28"	
"2010/03/29","108.76"	
"2010/03/30","109.02"	
"2010/03/31","108.85"	
"2010/04/01","109.27"	
"2010/04/02","109.27"	
"2010/04/03","109.27"	
"2010/04/04","109.27"	
"2010/04/05","109.27"	
"2010/04/06","109.27"	
"2010/04/07","108.53"	
"2010/04/08","108.52"	
"2010/04/09","108.48"	
"2010/04/10","108.48"	
"2010/04/11","108.48"	
"2010/04/12","109.62"	
"2010/04/13","109.52"	
"2010/04/14","109.7"	
"2010/04/15","109.83"	
"2010/04/16","109.84"	
"2010/04/17","109.84"	
"2010/04/18","109.84"	
"2010/04/19","109.59"	
"2010/04/20","109.6"	
"2010/04/21","109.36"	
"2010/04/22","109.23"	
"2010/04/23","108.44"	
"2010/04/24","108.44"	
"2010/04/25","108.44"	
"2010/04/26","108.8"	
"2010/04/27","109.11"	
"2010/04/28","108.23"	
"2010/04/29","108.36"	
"2010/04/30","108.76"	
"2010/05/01","108.76"	
"2010/05/02","108.76"	
"2010/05/03","108.81"	
"2010/05/04","108.69"	
"2010/05/05","107.79"	
"2010/05/06","107.88"	
"2010/05/07","107.11"	
"2010/05/08","107.11"	
"2010/05/09","107.11"	
"2010/05/10","108.02"	
"2010/05/11","107.17"	
"2010/05/12","106.81"	
"2010/05/13","106.87"	
"2010/05/14","106.75"	
"2010/05/15","106.75"	
"2010/05/16","106.75"	
"2010/05/17","106.19"	
"2010/05/18","106.44"	
"2010/05/19","105.96"	
"2010/05/20","106.84"	
"2010/05/21","106.84"	
"2010/05/22","106.84"	
"2010/05/23","106.84"	
"2010/05/24","107.65"	
"2010/05/25","107.02"	
"2010/05/26","106.86"	
"2010/05/27","106.12"	
"2010/05/28","106.51"	
"2010/05/29","106.51"	
"2010/05/30","106.51"	
"2010/05/31","106.41"	
"2010/06/01","106.39"	
"2010/06/02","106.26"	
"2010/06/03","106.04"	
"2010/06/04","105.86"	
"2010/06/05","105.86"	
"2010/06/06","105.86"	
"2010/06/07","105.25"	
"2010/06/08","105.34"	
"2010/06/09","105.38"	
"2010/06/10","105.36"	
"2010/06/11","106.15"	
"2010/06/12","106.15"	
"2010/06/13","106.15"	
"2010/06/14","106.06"	
"2010/06/15","106.27"	
"2010/06/16","106.27"	
"2010/06/17","106.69"	
"2010/06/18","107.15"	
"2010/06/19","107.15"	
"2010/06/20","107.15"	
"2010/06/21","107.36"	
"2010/06/22","107.16"	
"2010/06/23","107.09"	
"2010/06/24","108.17"	
"2010/06/25","108.05"	
"2010/06/26","108.05"	
"2010/06/27","108.05"	
"2010/06/28","108.62"	
"2010/06/29","108.45"	
"2010/06/30","108.39"	
"2010/07/01","108.39"	
"2010/07/02","109.76"	
"2010/07/03","109.76"	
"2010/07/04","109.76"	
"2010/07/05","109.77"	
"2010/07/06","109.73"	
"2010/07/07","110.06"	
"2010/07/08","110.02"	
"2010/07/09","109.91"	
"2010/07/10","109.91"	
"2010/07/11","109.91"	
"2010/07/12","109.67"	
"2010/07/13","109.62"	
"2010/07/14","110.01"	
"2010/07/15","110.35"	
"2010/07/16","111.43"	
"2010/07/17","111.43"	
"2010/07/18","111.43"	
"2010/07/19","111.33"	
"2010/07/20","111.51"	
"2010/07/21","111.46"	
"2010/07/22","111.09"	
"2010/07/23","111.3"	
"2010/07/24","111.3"	
"2010/07/25","111.3"	
"2010/07/26","111.25"	
"2010/07/27","111.67"	
"2010/07/28","111.55"	
"2010/07/29","111.85"	
"2010/07/30","112.56"	
"2010/07/31","112.56"	
"2010/08/01","112.56"	
"2010/08/02","112.65"	
"2010/08/03","113.42"	
"2010/08/04","113.85"	
"2010/08/05","113.62"	
"2010/08/06","113.97"	
"2010/08/07","113.97"	
"2010/08/08","113.97"	
"2010/08/09","114.49"	
"2010/08/10","114.03"	
"2010/08/11","114.22"	
"2010/08/12","113.39"	
"2010/08/13","113.12"	
"2010/08/14","113.12"	
"2010/08/15","113.12"	
"2010/08/16","113.37"	
"2010/08/17","113.77"	
"2010/08/18","114.04"	
"2010/08/19","113.96"	
"2010/08/20","114.06"	
"2010/08/21","114.06"	
"2010/08/22","114.06"	
"2010/08/23","113.76"	
"2010/08/24","114.01"	
"2010/08/25","114.25"	
"2010/08/26","114.28"	
"2010/08/27","113.9"	
"2010/08/28","113.9"	
"2010/08/29","113.9"	
"2010/08/30","114.06"	
"2010/08/31","114.27"	
"2010/09/01","113.83"	
"2010/09/02","114.09"	
"2010/09/03","113.89"	
"2010/09/04","113.89"	
"2010/09/05","113.89"	
"2010/09/06","114.06"	
"2010/09/07","114.21"	
"2010/09/08","113.81"	
"2010/09/09","113.69"	
"2010/09/10","113.17"	
"2010/09/11","113.17"	
"2010/09/12","113.17"	
"2010/09/13","113.53"	
"2010/09/14","114.25"	
"2010/09/15","114.89"	
"2010/09/16","113.88"	
"2010/09/17","114.09"	
"2010/09/18","114.09"	
"2010/09/19","114.09"	
"2010/09/20","114.08"	
"2010/09/21","114.44"	
"2010/09/22","115.73"	
"2010/09/23","115.73"	
"2010/09/24","115.79"	
"2010/09/25","115.79"	
"2010/09/26","115.79"	
"2010/09/27","116.73"	
"2010/09/28","116.81"	
"2010/09/29","117.33"	
"2010/09/30","117.59"	
"2010/10/01","117.59"	
"2010/10/02","117.59"	
"2010/10/03","117.59"	
"2010/10/04","118.26"	
"2010/10/05","117.86"	
"2010/10/06","118.95"	
"2010/10/07","119.13"	
"2010/10/08","119.26"	
"2010/10/09","119.26"	
"2010/10/10","119.26"	
"2010/10/11","119.69"	
"2010/10/12","119.23"	
"2010/10/13","119.48"	
"2010/10/14","119.88"	
"2010/10/15","119.63"	
"2010/10/16","119.63"	
"2010/10/17","119.63"	
"2010/10/18","119.34"	
"2010/10/19","119.4"	
"2010/10/20","118.47"	
"2010/10/21","119.21"	
"2010/10/22","118.99"	
"2010/10/23","118.99"	
"2010/10/24","118.99"	
"2010/10/25","119.48"	
"2010/10/26","119.21"	
"2010/10/27","118.24"	
"2010/10/28","118.06"	
"2010/10/29","118.83"	
"2010/10/30","118.83"	
"2010/10/31","118.83"	
"2010/11/01","119.2"	
"2010/11/02","119.07"	
"2010/11/03","119.6"	
"2010/11/04","119.78"	
"2010/11/05","120.08"	
"2010/11/06","120.08"	
"2010/11/07","120.08"	
"2010/11/08","119.33"	
"2010/11/09","118.41"	
"2010/11/10","117.76"	
"2010/11/11","117.57"	
"2010/11/12","116.83"	
"2010/11/13","116.83"	
"2010/11/14","116.83"	
"2010/11/15","116.38"	
"2010/11/16","115.84"	
"2010/11/17","115.37"	
"2010/11/18","115.38"	
"2010/11/19","115.74"	
"2010/11/20","115.74"	
"2010/11/21","115.74"	
"2010/11/22","116.23"	
"2010/11/23","115.89"	
"2010/11/24","114.72"	
"2010/11/25","114.34"	
"2010/11/26","114.33"	
"2010/11/27","114.33"	
"2010/11/28","114.33"	
"2010/11/29","113.57"	
"2010/11/30","113.28"	
"2010/12/01","112.84"	
"2010/12/02","113.15"	
"2010/12/03","113.46"	
"2010/12/04","113.46"	
"2010/12/05","113.46"	
"2010/12/06","114.56"	
"2010/12/07","113.78"	
"2010/12/08","112.95"	
"2010/12/09","113.01"	
"2010/12/10","112.87"	
"2010/12/11","112.87"	
"2010/12/12","112.87"	
"2010/12/13","112.72"	
"2010/12/14","113.05"	
"2010/12/15","112.79"	
"2010/12/16","112.33"	
"2010/12/17","112.8"	
"2010/12/18","112.8"	
"2010/12/19","112.8"	
"2010/12/20","112.56"	
"2010/12/21","112.58"	
"2010/12/22","112.65"	
"2010/12/23","112.64"	
"2010/12/24","112.79"	
"2010/12/25","112.79"	
"2010/12/26","112.79"	
"2010/12/27","112.79"	
"2010/12/28","113.29"	
"2010/12/29","112.98"	
"2010/12/30","114.06"	
"2010/12/31","114.24"	
