"基金名稱","亞洲股票基金"	
"貨幣","HKD"	
"成立日期","2004/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2006/01/01","128.27"	
"2006/01/02","128.27"	
"2006/01/03","129.69"	
"2006/01/04","132.12"	
"2006/01/05","132.7"	
"2006/01/06","133.0"	
"2006/01/07","133.0"	
"2006/01/08","133.0"	
"2006/01/09","134.34"	
"2006/01/10","133.58"	
"2006/01/11","133.78"	
"2006/01/12","134.41"	
"2006/01/13","134.02"	
"2006/01/14","134.02"	
"2006/01/15","134.02"	
"2006/01/16","134.6"	
"2006/01/17","133.97"	
"2006/01/18","131.31"	
"2006/01/19","132.52"	
"2006/01/20","132.0"	
"2006/01/21","132.0"	
"2006/01/22","132.0"	
"2006/01/23","131.57"	
"2006/01/24","132.81"	
"2006/01/25","134.58"	
"2006/01/26","134.57"	
"2006/01/27","136.03"	
"2006/01/28","136.03"	
"2006/01/29","136.03"	
"2006/01/30","136.03"	
"2006/01/31","136.03"	
"2006/02/01","136.97"	
"2006/02/02","135.81"	
"2006/02/03","134.25"	
"2006/02/04","134.25"	
"2006/02/05","134.25"	
"2006/02/06","135.05"	
"2006/02/07","134.61"	
"2006/02/08","132.25"	
"2006/02/09","133.12"	
"2006/02/10","132.66"	
"2006/02/11","132.66"	
"2006/02/12","132.66"	
"2006/02/13","131.0"	
"2006/02/14","132.18"	
"2006/02/15","131.27"	
"2006/02/16","131.7"	
"2006/02/17","131.85"	
"2006/02/18","131.85"	
"2006/02/19","131.85"	
"2006/02/20","133.34"	
"2006/02/21","133.39"	
"2006/02/22","131.99"	
"2006/02/23","133.19"	
"2006/02/24","134.02"	
"2006/02/25","134.02"	
"2006/02/26","134.02"	
"2006/02/27","135.27"	
"2006/02/28","135.35"	
"2006/03/01","135.45"	
"2006/03/02","136.63"	
"2006/03/03","135.42"	
"2006/03/04","135.42"	
"2006/03/05","135.42"	
"2006/03/06","135.62"	
"2006/03/07","133.31"	
"2006/03/08","132.2"	
"2006/03/09","132.72"	
"2006/03/10","132.67"	
"2006/03/11","132.67"	
"2006/03/12","132.67"	
"2006/03/13","134.46"	
"2006/03/14","133.98"	
"2006/03/15","135.45"	
"2006/03/16","136.08"	
"2006/03/17","135.72"	
"2006/03/18","135.72"	
"2006/03/19","135.72"	
"2006/03/20","135.84"	
"2006/03/21","134.14"	
"2006/03/22","133.69"	
"2006/03/23","133.77"	
"2006/03/24","133.69"	
"2006/03/25","133.69"	
"2006/03/26","133.69"	
"2006/03/27","134.85"	
"2006/03/28","135.49"	
"2006/03/29","135.21"	
"2006/03/30","136.49"	
"2006/03/31","137.83"	
"2006/04/01","137.83"	
"2006/04/02","137.83"	
"2006/04/03","139.63"	
"2006/04/04","140.28"	
"2006/04/05","140.28"	
"2006/04/06","143.6"	
"2006/04/07","143.54"	
"2006/04/08","143.54"	
"2006/04/09","143.54"	
"2006/04/10","142.49"	
"2006/04/11","143.39"	
"2006/04/12","142.39"	
"2006/04/13","142.46"	
"2006/04/14","142.46"	
"2006/04/15","142.46"	
"2006/04/16","142.46"	
"2006/04/17","142.46"	
"2006/04/18","145.47"	
"2006/04/19","147.85"	
"2006/04/20","147.22"	
"2006/04/21","148.0"	
"2006/04/22","148.0"	
"2006/04/23","148.0"	
"2006/04/24","147.93"	
"2006/04/25","147.94"	
"2006/04/26","149.15"	
"2006/04/27","148.71"	
"2006/04/28","147.5"	
"2006/04/29","147.5"	
"2006/04/30","147.5"	
"2006/05/01","147.5"	
"2006/05/02","149.05"	
"2006/05/03","150.89"	
"2006/05/04","150.2"	
"2006/05/05","150.2"	
"2006/05/06","150.2"	
"2006/05/07","150.2"	
"2006/05/08","154.08"	
"2006/05/09","153.92"	
"2006/05/10","155.09"	
"2006/05/11","155.8"	
"2006/05/12","153.9"	
"2006/05/13","153.9"	
"2006/05/14","153.9"	
"2006/05/15","148.2"	
"2006/05/16","147.16"	
"2006/05/17","148.48"	
"2006/05/18","145.04"	
"2006/05/19","143.85"	
"2006/05/20","143.85"	
"2006/05/21","143.85"	
"2006/05/22","139.72"	
"2006/05/23","139.29"	
"2006/05/24","139.27"	
"2006/05/25","137.35"	
"2006/05/26","139.95"	
"2006/05/27","139.95"	
"2006/05/28","139.95"	
"2006/05/29","140.92"	
"2006/05/30","141.48"	
"2006/05/31","141.48"	
"2006/06/01","138.77"	
"2006/06/02","140.81"	
"2006/06/03","140.81"	
"2006/06/04","140.81"	
"2006/06/05","139.88"	
"2006/06/06","137.96"	
"2006/06/07","134.8"	
"2006/06/08","129.09"	
"2006/06/09","131.72"	
"2006/06/10","131.72"	
"2006/06/11","131.72"	
"2006/06/12","131.71"	
"2006/06/13","127.23"	
"2006/06/14","128.17"	
"2006/06/15","128.14"	
"2006/06/16","132.04"	
"2006/06/17","132.04"	
"2006/06/18","132.04"	
"2006/06/19","129.96"	
"2006/06/20","127.78"	
"2006/06/21","128.12"	
"2006/06/22","131.11"	
"2006/06/23","129.95"	
"2006/06/24","129.95"	
"2006/06/25","129.95"	
