"基金名稱","亞洲股票基金"	
"貨幣","HKD"	
"成立日期","2004/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2017/01/01","190.04"	
"2017/01/02","190.04"	
"2017/01/03","191.73"	
"2017/01/04","192.59"	
"2017/01/05","195.24"	
"2017/01/06","194.85"	
"2017/01/07","194.85"	
"2017/01/08","194.85"	
"2017/01/09","195.16"	
"2017/01/10","196.28"	
"2017/01/11","197.45"	
"2017/01/12","200.06"	
"2017/01/13","198.99"	
"2017/01/14","198.99"	
"2017/01/15","198.99"	
"2017/01/16","198.17"	
"2017/01/17","199.42"	
"2017/01/18","199.42"	
"2017/01/19","199.17"	
"2017/01/20","198.4"	
"2017/01/21","198.4"	
"2017/01/22","198.4"	
"2017/01/23","198.94"	
"2017/01/24","200.51"	
"2017/01/25","202.18"	
"2017/01/26","202.18"	
"2017/01/27","202.17"	
"2017/01/28","202.17"	
"2017/01/29","202.17"	
"2017/01/30","202.17"	
"2017/01/31","202.17"	
"2017/02/01","202.49"	
"2017/02/02","204.56"	
"2017/02/03","204.25"	
"2017/02/04","204.25"	
"2017/02/05","204.25"	
"2017/02/06","204.9"	
"2017/02/07","204.28"	
"2017/02/08","204.23"	
"2017/02/09","203.92"	
"2017/02/10","205.55"	
"2017/02/11","205.55"	
"2017/02/12","205.55"	
"2017/02/13","206.12"	
"2017/02/14","206.05"	
"2017/02/15","207.36"	
"2017/02/16","208.22"	
"2017/02/17","207.43"	
"2017/02/18","207.43"	
"2017/02/19","207.43"	
"2017/02/20","207.56"	
"2017/02/21","207.94"	
"2017/02/22","208.68"	
"2017/02/23","209.04"	
"2017/02/24","207.05"	
"2017/02/25","207.05"	
"2017/02/26","207.05"	
"2017/02/27","206.72"	
"2017/02/28","206.98"	
"2017/03/01","206.55"	
"2017/03/02","207.67"	
"2017/03/03","205.07"	
"2017/03/04","205.07"	
"2017/03/05","205.07"	
"2017/03/06","206.28"	
"2017/03/07","207.67"	
"2017/03/08","207.43"	
"2017/03/09","205.55"	
"2017/03/10","206.64"	
"2017/03/11","206.64"	
"2017/03/12","206.64"	
"2017/03/13","209.0"	
"2017/03/14","210.01"	
"2017/03/15","210.73"	
"2017/03/16","213.7"	
"2017/03/17","214.63"	
"2017/03/18","214.63"	
"2017/03/19","214.63"	
"2017/03/20","215.31"	
"2017/03/21","216.12"	
"2017/03/22","213.08"	
"2017/03/23","213.2"	
"2017/03/24","212.65"	
"2017/03/25","212.65"	
"2017/03/26","212.65"	
"2017/03/27","212.72"	
"2017/03/28","214.13"	
"2017/03/29","214.94"	
"2017/03/30","215.16"	
"2017/03/31","213.93"	
"2017/04/01","213.93"	
"2017/04/02","213.93"	
"2017/04/03","214.31"	
"2017/04/04","214.31"	
"2017/04/05","214.67"	
"2017/04/06","212.76"	
"2017/04/07","212.08"	
"2017/04/08","212.08"	
"2017/04/09","212.08"	
"2017/04/10","211.81"	
"2017/04/11","211.47"	
"2017/04/12","212.16"	
"2017/04/13","213.21"	
"2017/04/14","213.21"	
"2017/04/15","213.21"	
"2017/04/16","213.21"	
"2017/04/17","213.21"	
"2017/04/18","210.77"	
"2017/04/19","209.51"	
"2017/04/20","210.35"	
"2017/04/21","212.37"	
"2017/04/22","212.37"	
"2017/04/23","212.37"	
"2017/04/24","214.79"	
"2017/04/25","216.56"	
"2017/04/26","217.02"	
"2017/04/27","217.02"	
"2017/04/28","216.84"	
"2017/04/29","216.84"	
"2017/04/30","216.84"	
"2017/05/01","216.84"	
"2017/05/02","219.17"	
"2017/05/03","219.17"	
"2017/05/04","217.16"	
"2017/05/05","216.27"	
"2017/05/06","216.27"	
"2017/05/07","216.27"	
"2017/05/08","218.84"	
"2017/05/09","218.18"	
"2017/05/10","217.8"	
"2017/05/11","219.26"	
"2017/05/12","218.51"	
"2017/05/13","218.51"	
"2017/05/14","218.51"	
"2017/05/15","219.34"	
"2017/05/16","220.74"	
"2017/05/17","219.33"	
"2017/05/18","217.7"	
"2017/05/19","217.62"	
"2017/05/20","217.62"	
"2017/05/21","217.62"	
"2017/05/22","220.72"	
"2017/05/23","219.8"	
"2017/05/24","219.4"	
"2017/05/25","222.16"	
"2017/05/26","222.01"	
"2017/05/27","222.01"	
"2017/05/28","222.01"	
"2017/05/29","221.5"	
"2017/05/30","221.5"	
"2017/05/31","220.12"	
"2017/06/01","220.01"	
"2017/06/02","222.22"	
"2017/06/03","222.22"	
"2017/06/04","222.22"	
"2017/06/05","222.77"	
"2017/06/06","221.88"	
"2017/06/07","221.63"	
"2017/06/08","221.77"	
"2017/06/09","222.67"	
"2017/06/10","222.67"	
"2017/06/11","222.67"	
"2017/06/12","221.15"	
"2017/06/13","222.7"	
"2017/06/14","224.55"	
"2017/06/15","222.57"	
"2017/06/16","222.8"	
"2017/06/17","222.8"	
"2017/06/18","222.8"	
"2017/06/19","224.38"	
"2017/06/20","224.99"	
"2017/06/21","222.04"	
"2017/06/22","223.41"	
"2017/06/23","223.82"	
"2017/06/24","223.82"	
"2017/06/25","223.82"	
