"基金名稱","富達增長基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2018/01/01","148.26"	
"2018/01/02","149.7"	
"2018/01/03","150.13"	
"2018/01/04","151.59"	
"2018/01/05","152.36"	
"2018/01/06","152.36"	
"2018/01/07","152.36"	
"2018/01/08","152.69"	
"2018/01/09","153.11"	
"2018/01/10","153.45"	
"2018/01/11","153.44"	
"2018/01/12","154.56"	
"2018/01/13","154.56"	
"2018/01/14","154.56"	
"2018/01/15","154.97"	
"2018/01/16","155.99"	
"2018/01/17","156.16"	
"2018/01/18","156.24"	
"2018/01/19","157.27"	
"2018/01/20","157.27"	
"2018/01/21","157.27"	
"2018/01/22","158.02"	
"2018/01/23","159.57"	
"2018/01/24","159.74"	
"2018/01/25","159.04"	
"2018/01/26","160.07"	
"2018/01/27","160.07"	
"2018/01/28","160.07"	
"2018/01/29","159.35"	
"2018/01/30","157.7"	
"2018/01/31","157.95"	
"2018/02/01","157.69"	
"2018/02/02","156.12"	
"2018/02/03","156.12"	
"2018/02/04","156.12"	
"2018/02/05","153.07"	
"2018/02/06","148.65"	
"2018/02/07","148.55"	
"2018/02/08","147.16"	
"2018/02/09","144.9"	
"2018/02/10","144.9"	
"2018/02/11","144.9"	
"2018/02/12","146.0"	
"2018/02/13","146.86"	
"2018/02/14","148.84"	
"2018/02/15","151.15"	
"2018/02/16","151.15"	
"2018/02/17","151.15"	
"2018/02/18","151.15"	
"2018/02/19","151.15"	
"2018/02/20","150.77"	
"2018/02/21","151.63"	
"2018/02/22","150.84"	
"2018/02/23","152.22"	
"2018/02/24","152.22"	
"2018/02/25","152.22"	
"2018/02/26","153.15"	
"2018/02/27","152.36"	
"2018/02/28","150.63"	
"2018/03/01","149.76"	
"2018/03/02","148.64"	
"2018/03/03","148.64"	
"2018/03/04","148.64"	
"2018/03/05","147.84"	
"2018/03/06","149.74"	
"2018/03/07","149.13"	
"2018/03/08","150.49"	
"2018/03/09","151.69"	
"2018/03/10","151.69"	
"2018/03/11","151.69"	
"2018/03/12","153.31"	
"2018/03/13","153.04"	
"2018/03/14","152.52"	
"2018/03/15","152.86"	
"2018/03/16","152.59"	
"2018/03/17","152.59"	
"2018/03/18","152.59"	
"2018/03/19","151.79"	
"2018/03/20","151.53"	
"2018/03/21","151.35"	
"2018/03/22","150.05"	
"2018/03/23","146.77"	
"2018/03/24","146.77"	
"2018/03/25","146.77"	
"2018/03/26","148.13"	
"2018/03/27","148.81"	
"2018/03/28","147.0"	
"2018/03/29","147.68"	
"2018/03/30","147.68"	
"2018/03/31","147.68"	
"2018/04/01","147.68"	
"2018/04/02","147.68"	
"2018/04/03","147.56"	
"2018/04/04","146.6"	
"2018/04/05","146.6"	
"2018/04/06","147.45"	
"2018/04/07","147.45"	
"2018/04/08","147.45"	
"2018/04/09","148.21"	
"2018/04/10","150.01"	
"2018/04/11","150.09"	
"2018/04/12","149.99"	
"2018/04/13","149.99"	
"2018/04/14","149.99"	
"2018/04/15","149.99"	
"2018/04/16","149.54"	
"2018/04/17","149.36"	
"2018/04/18","150.21"	
"2018/04/19","150.72"	
"2018/04/20","149.59"	
"2018/04/21","149.59"	
"2018/04/22","149.59"	
"2018/04/23","148.88"	
"2018/04/24","149.48"	
"2018/04/25","148.61"	
"2018/04/26","148.34"	
"2018/04/27","149.11"	
"2018/04/28","149.11"	
"2018/04/29","149.11"	
"2018/04/30","149.78"	
"2018/05/01","149.78"	
"2018/05/02","149.08"	
"2018/05/03","148.3"	
"2018/05/04","148.12"	
"2018/05/05","148.12"	
"2018/05/06","148.12"	
"2018/05/07","148.61"	
"2018/05/08","149.29"	
"2018/05/09","149.72"	
"2018/05/10","150.82"	
"2018/05/11","151.93"	
"2018/05/12","151.93"	
"2018/05/13","151.93"	
"2018/05/14","152.94"	
"2018/05/15","151.65"	
"2018/05/16","151.64"	
"2018/05/17","151.63"	
"2018/05/18","151.71"	
"2018/05/19","151.71"	
"2018/05/20","151.71"	
"2018/05/21","152.12"	
"2018/05/22","152.12"	
"2018/05/23","150.99"	
"2018/05/24","150.81"	
"2018/05/25","150.37"	
"2018/05/26","150.37"	
"2018/05/27","150.37"	
