"基金名稱","富達增長基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2019/01/01","129.3"	
"2019/01/02","128.02"	
"2019/01/03","127.33"	
"2019/01/04","129.1"	
"2019/01/05","129.1"	
"2019/01/06","129.1"	
"2019/01/07","130.36"	
"2019/01/08","130.78"	
"2019/01/09","132.55"	
"2019/01/10","132.63"	
"2019/01/11","132.88"	
"2019/01/12","132.88"	
"2019/01/13","132.88"	
"2019/01/14","132.01"	
"2019/01/15","133.53"	
"2019/01/16","133.69"	
"2019/01/17","133.6"	
"2019/01/18","135.04"	
"2019/01/19","135.04"	
"2019/01/20","135.04"	
"2019/01/21","135.27"	
"2019/01/22","134.25"	
"2019/01/23","134.07"	
"2019/01/24","134.4"	
"2019/01/25","136.01"	
"2019/01/26","136.01"	
"2019/01/27","136.01"	
"2019/01/28","135.56"	
"2019/01/29","135.47"	
"2019/01/30","136.06"	
"2019/01/31","137.67"	
"2019/02/01","137.74"	
"2019/02/02","137.74"	
"2019/02/03","137.74"	
"2019/02/04","137.98"	
"2019/02/05","137.98"	
"2019/02/06","137.98"	
"2019/02/07","137.98"	
"2019/02/08","137.02"	
"2019/02/09","137.02"	
"2019/02/10","137.02"	
"2019/02/11","137.34"	
"2019/02/12","138.35"	
"2019/02/13","139.36"	
"2019/02/14","139.1"	
"2019/02/15","138.58"	
"2019/02/16","138.58"	
"2019/02/17","138.58"	
"2019/02/18","139.83"	
"2019/02/19","139.74"	
"2019/02/20","140.58"	
"2019/02/21","140.74"	
"2019/02/22","141.5"	
"2019/02/23","141.5"	
"2019/02/24","141.5"	
"2019/02/25","142.41"	
"2019/02/26","142.15"	
"2019/02/27","141.89"	
"2019/02/28","141.21"	
"2019/03/01","142.13"	
"2019/03/02","142.13"	
"2019/03/03","142.13"	
"2019/03/04","142.62"	
"2019/03/05","142.53"	
"2019/03/06","142.6"	
"2019/03/07","141.33"	
"2019/03/08","139.46"	
"2019/03/09","139.46"	
"2019/03/10","139.46"	
"2019/03/11","140.71"	
"2019/03/12","141.97"	
"2019/03/13","141.96"	
"2019/03/14","142.04"	
"2019/03/15","142.88"	
"2019/03/16","142.88"	
"2019/03/17","142.88"	
"2019/03/18","144.12"	
"2019/03/19","144.28"	
"2019/03/20","143.94"	
"2019/03/21","143.94"	
"2019/03/22","143.34"	
"2019/03/23","143.34"	
"2019/03/24","143.34"	
"2019/03/25","141.63"	
"2019/03/26","142.38"	
"2019/03/27","142.8"	
"2019/03/28","142.54"	
"2019/03/29","143.71"	
"2019/03/30","143.71"	
"2019/03/31","143.71"	
"2019/04/01","145.13"	
"2019/04/02","145.38"	
"2019/04/03","146.64"	
"2019/04/04","146.46"	
"2019/04/05","146.46"	
"2019/04/06","146.46"	
"2019/04/07","146.46"	
"2019/04/08","146.94"	
"2019/04/09","146.94"	
"2019/04/10","147.01"	
"2019/04/11","146.42"	
"2019/04/12","146.83"	
"2019/04/13","146.83"	
"2019/04/14","146.83"	
"2019/04/15","146.89"	
"2019/04/16","147.48"	
"2019/04/17","147.64"	
"2019/04/18","147.13"	
"2019/04/19","147.13"	
"2019/04/20","147.13"	
"2019/04/21","147.13"	
"2019/04/22","147.13"	
"2019/04/23","147.34"	
"2019/04/24","147.17"	
"2019/04/25","146.4"	
"2019/04/26","146.65"	
"2019/04/27","146.65"	
"2019/04/28","146.65"	
"2019/04/29","147.22"	
"2019/04/30","147.21"	
"2019/05/01","147.21"	
"2019/05/02","146.94"	
"2019/05/03","147.78"	
"2019/05/04","147.78"	
"2019/05/05","147.78"	
"2019/05/06","145.56"	
"2019/05/07","144.88"	
"2019/05/08","143.86"	
"2019/05/09","142.09"	
"2019/05/10","142.84"	
"2019/05/11","142.84"	
"2019/05/12","142.84"	
"2019/05/13","142.84"	
"2019/05/14","140.96"	
"2019/05/15","141.96"	
"2019/05/16","142.54"	
"2019/05/17","141.69"	
"2019/05/18","141.69"	
"2019/05/19","141.69"	
"2019/05/20","140.75"	
"2019/05/21","140.91"	
"2019/05/22","140.82"	
"2019/05/23","139.38"	
"2019/05/24","139.96"	
"2019/05/25","139.96"	
"2019/05/26","139.96"	
"2019/05/27","139.94"	
