"基金名稱","富達增長基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2017/01/01","116.01"	
"2017/01/02","116.01"	
"2017/01/03","116.17"	
"2017/01/04","117.05"	
"2017/01/05","118.18"	
"2017/01/06","118.18"	
"2017/01/07","118.18"	
"2017/01/08","118.18"	
"2017/01/09","118.07"	
"2017/01/10","118.59"	
"2017/01/11","118.76"	
"2017/01/12","119.11"	
"2017/01/13","119.37"	
"2017/01/14","119.37"	
"2017/01/15","119.37"	
"2017/01/16","118.74"	
"2017/01/17","118.99"	
"2017/01/18","119.52"	
"2017/01/19","119.16"	
"2017/01/20","119.06"	
"2017/01/21","119.06"	
"2017/01/22","119.06"	
"2017/01/23","119.22"	
"2017/01/24","119.48"	
"2017/01/25","120.18"	
"2017/01/26","120.7"	
"2017/01/27","120.7"	
"2017/01/28","120.7"	
"2017/01/29","120.7"	
"2017/01/30","120.7"	
"2017/01/31","120.7"	
"2017/02/01","120.32"	
"2017/02/02","120.14"	
"2017/02/03","120.48"	
"2017/02/04","120.48"	
"2017/02/05","120.48"	
"2017/02/06","120.55"	
"2017/02/07","120.46"	
"2017/02/08","120.98"	
"2017/02/09","121.24"	
"2017/02/10","121.76"	
"2017/02/11","121.76"	
"2017/02/12","121.76"	
"2017/02/13","122.35"	
"2017/02/14","122.17"	
"2017/02/15","122.95"	
"2017/02/16","123.47"	
"2017/02/17","123.2"	
"2017/02/18","123.2"	
"2017/02/19","123.2"	
"2017/02/20","123.45"	
"2017/02/21","123.27"	
"2017/02/22","123.79"	
"2017/02/23","123.96"	
"2017/02/24","123.34"	
"2017/02/25","123.34"	
"2017/02/26","123.34"	
"2017/02/27","123.06"	
"2017/02/28","122.79"	
"2017/03/01","123.4"	
"2017/03/02","123.22"	
"2017/03/03","122.77"	
"2017/03/04","122.77"	
"2017/03/05","122.77"	
"2017/03/06","122.84"	
"2017/03/07","122.84"	
"2017/03/08","122.83"	
"2017/03/09","122.3"	
"2017/03/10","122.91"	
"2017/03/11","122.91"	
"2017/03/12","122.91"	
"2017/03/13","123.68"	
"2017/03/14","123.58"	
"2017/03/15","123.84"	
"2017/03/16","125.41"	
"2017/03/17","125.49"	
"2017/03/18","125.49"	
"2017/03/19","125.49"	
"2017/03/20","125.74"	
"2017/03/21","125.64"	
"2017/03/22","124.76"	
"2017/03/23","124.93"	
"2017/03/24","125.1"	
"2017/03/25","125.1"	
"2017/03/26","125.1"	
"2017/03/27","124.64"	
"2017/03/28","125.6"	
"2017/03/29","125.68"	
"2017/03/30","125.5"	
"2017/03/31","124.79"	
"2017/04/01","124.79"	
"2017/04/02","124.79"	
"2017/04/03","124.86"	
"2017/04/04","124.86"	
"2017/04/05","125.02"	
"2017/04/06","124.67"	
"2017/04/07","124.66"	
"2017/04/08","124.66"	
"2017/04/09","124.66"	
"2017/04/10","124.64"	
"2017/04/11","124.55"	
"2017/04/12","124.63"	
"2017/04/13","124.36"	
"2017/04/14","124.36"	
"2017/04/15","124.36"	
"2017/04/16","124.36"	
"2017/04/17","124.36"	
"2017/04/18","123.81"	
"2017/04/19","123.72"	
"2017/04/20","124.41"	
"2017/04/21","124.41"	
"2017/04/22","124.41"	
"2017/04/23","124.41"	
"2017/04/24","125.79"	
"2017/04/25","126.74"	
"2017/04/26","127.0"	
"2017/04/27","127.08"	
"2017/04/28","126.81"	
"2017/04/29","126.81"	
"2017/04/30","126.81"	
"2017/05/01","126.81"	
"2017/05/02","127.4"	
"2017/05/03","127.4"	
"2017/05/04","127.3"	
"2017/05/05","127.3"	
"2017/05/06","127.3"	
"2017/05/07","127.3"	
"2017/05/08","127.72"	
"2017/05/09","127.97"	
"2017/05/10","128.32"	
"2017/05/11","128.48"	
"2017/05/12","128.74"	
"2017/05/13","128.74"	
"2017/05/14","128.74"	
"2017/05/15","129.33"	
"2017/05/16","129.85"	
"2017/05/17","129.14"	
"2017/05/18","128.53"	
"2017/05/19","129.04"	
"2017/05/20","129.04"	
"2017/05/21","129.04"	
"2017/05/22","129.9"	
"2017/05/23","129.98"	
"2017/05/24","129.97"	
"2017/05/25","130.76"	
"2017/05/26","130.66"	
"2017/05/27","130.66"	
