"基金名稱","增長組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2013/01/01","175.99"	
"2013/01/02","179.66"	
"2013/01/03","180.01"	
"2013/01/04","180.04"	
"2013/01/05","180.04"	
"2013/01/06","180.04"	
"2013/01/07","180.08"	
"2013/01/08","178.99"	
"2013/01/09","179.87"	
"2013/01/10","180.83"	
"2013/01/11","180.66"	
"2013/01/12","180.66"	
"2013/01/13","180.66"	
"2013/01/14","181.35"	
"2013/01/15","181.32"	
"2013/01/16","180.93"	
"2013/01/17","181.31"	
"2013/01/18","182.4"	
"2013/01/19","182.4"	
"2013/01/20","182.4"	
"2013/01/21","182.43"	
"2013/01/22","182.94"	
"2013/01/23","182.58"	
"2013/01/24","182.47"	
"2013/01/25","182.74"	
"2013/01/26","182.74"	
"2013/01/27","182.74"	
"2013/01/28","182.69"	
"2013/01/29","183.45"	
"2013/01/30","184.08"	
"2013/01/31","183.56"	
"2013/02/01","184.14"	
"2013/02/02","184.14"	
"2013/02/03","184.14"	
"2013/02/04","183.41"	
"2013/02/05","182.12"	
"2013/02/06","182.78"	
"2013/02/07","181.94"	
"2013/02/08","182.56"	
"2013/02/09","182.56"	
"2013/02/10","182.56"	
"2013/02/11","182.56"	
"2013/02/12","182.56"	
"2013/02/13","182.56"	
"2013/02/14","183.7"	
"2013/02/15","183.62"	
"2013/02/16","183.62"	
"2013/02/17","183.62"	
"2013/02/18","183.58"	
"2013/02/19","183.38"	
"2013/02/20","183.88"	
"2013/02/21","181.37"	
"2013/02/22","181.5"	
"2013/02/23","181.5"	
"2013/02/24","181.5"	
"2013/02/25","180.82"	
"2013/02/26","179.74"	
"2013/02/27","180.91"	
"2013/02/28","183.13"	
"2013/03/01","182.99"	
"2013/03/02","182.99"	
"2013/03/03","182.99"	
"2013/03/04","181.5"	
"2013/03/05","182.77"	
"2013/03/06","183.93"	
"2013/03/07","183.61"	
"2013/03/08","184.61"	
"2013/03/09","184.61"	
"2013/03/10","184.61"	
"2013/03/11","184.72"	
"2013/03/12","183.95"	
"2013/03/13","182.87"	
"2013/03/14","183.7"	
"2013/03/15","183.58"	
"2013/03/16","183.58"	
"2013/03/17","183.58"	
"2013/03/18","181.28"	
"2013/03/19","181.43"	
"2013/03/20","182.73"	
"2013/03/21","182.37"	
"2013/03/22","182.2"	
"2013/03/23","182.2"	
"2013/03/24","182.2"	
"2013/03/25","182.84"	
"2013/03/26","183.21"	
"2013/03/27","183.95"	
"2013/03/28","183.58"	
"2013/03/29","183.58"	
"2013/03/30","183.58"	
"2013/03/31","183.58"	
"2013/04/01","183.58"	
"2013/04/02","183.33"	
"2013/04/03","182.92"	
"2013/04/04","182.92"	
"2013/04/05","180.92"	
"2013/04/06","180.92"	
"2013/04/07","180.92"	
"2013/04/08","181.22"	
"2013/04/09","182.22"	
"2013/04/10","184.2"	
"2013/04/11","185.48"	
"2013/04/12","185.02"	
"2013/04/13","185.02"	
"2013/04/14","185.02"	
"2013/04/15","182.51"	
"2013/04/16","182.92"	
"2013/04/17","182.12"	
"2013/04/18","181.07"	
"2013/04/19","183.1"	
