"基金名稱","增長組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2014/01/01","205.65"	
"2014/01/02","204.86"	
"2014/01/03","203.48"	
"2014/01/04","203.48"	
"2014/01/05","203.48"	
"2014/01/06","202.57"	
"2014/01/07","202.77"	
"2014/01/08","203.93"	
"2014/01/09","202.76"	
"2014/01/10","203.15"	
"2014/01/11","203.15"	
"2014/01/12","203.15"	
"2014/01/13","203.23"	
"2014/01/14","203.08"	
"2014/01/15","204.18"	
"2014/01/16","204.09"	
"2014/01/17","204.72"	
"2014/01/18","204.72"	
"2014/01/19","204.72"	
"2014/01/20","204.15"	
"2014/01/21","204.38"	
"2014/01/22","204.88"	
"2014/01/23","203.13"	
"2014/01/24","200.09"	
"2014/01/25","200.09"	
"2014/01/26","200.09"	
"2014/01/27","197.21"	
"2014/01/28","197.75"	
"2014/01/29","198.62"	
"2014/01/30","198.25"	
"2014/01/31","198.25"	
"2014/02/01","198.25"	
"2014/02/02","198.25"	
"2014/02/03","198.25"	
"2014/02/04","192.35"	
"2014/02/05","192.13"	
"2014/02/06","194.07"	
"2014/02/07","196.27"	
"2014/02/08","196.27"	
"2014/02/09","196.27"	
"2014/02/10","196.5"	
"2014/02/11","198.68"	
"2014/02/12","200.14"	
"2014/02/13","199.78"	
"2014/02/14","200.39"	
"2014/02/15","200.39"	
"2014/02/16","200.39"	
"2014/02/17","201.65"	
"2014/02/18","202.42"	
"2014/02/19","202.21"	
"2014/02/20","200.82"	
"2014/02/21","202.08"	
"2014/02/22","202.08"	
"2014/02/23","202.08"	
"2014/02/24","201.77"	
"2014/02/25","202.0"	
"2014/02/26","202.53"	
"2014/02/27","203.78"	
"2014/02/28","204.28"	
"2014/03/01","204.28"	
"2014/03/02","204.28"	
"2014/03/03","201.86"	
"2014/03/04","203.5"	
"2014/03/05","203.59"	
"2014/03/06","204.84"	
"2014/03/07","204.44"	
"2014/03/08","204.44"	
"2014/03/09","204.44"	
"2014/03/10","202.77"	
"2014/03/11","202.84"	
"2014/03/12","200.92"	
"2014/03/13","199.47"	
"2014/03/14","197.35"	
"2014/03/15","197.35"	
"2014/03/16","197.35"	
"2014/03/17","197.87"	
"2014/03/18","199.26"	
"2014/03/19","199.06"	
"2014/03/20","196.8"	
"2014/03/21","197.23"	
"2014/03/22","197.23"	
"2014/03/23","197.23"	
"2014/03/24","198.11"	
"2014/03/25","197.98"	
"2014/03/26","199.03"	
"2014/03/27","198.63"	
"2014/03/28","200.13"	
"2014/03/29","200.13"	
"2014/03/30","200.13"	
"2014/03/31","201.52"	
"2014/04/01","203.47"	
"2014/04/02","204.01"	
"2014/04/03","203.92"	
"2014/04/04","203.19"	
"2014/04/05","203.19"	
"2014/04/06","203.19"	
"2014/04/07","201.16"	
"2014/04/08","201.26"	
"2014/04/09","202.57"	
"2014/04/10","203.06"	
"2014/04/11","200.69"	
"2014/04/12","200.69"	
"2014/04/13","200.69"	
"2014/04/14","200.46"	
"2014/04/15","199.09"	
"2014/04/16","200.69"	
"2014/04/17","201.47"	
"2014/04/18","201.47"	
"2014/04/19","201.47"	
