"基金名稱","增長組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2001/01/01","100.06"	
"2001/01/02","100.06"	
"2001/01/03","100.29"	
"2001/01/04","101.66"	
"2001/01/05","102.0"	
"2001/01/06","101.85"	
"2001/01/07","101.85"	
"2001/01/08","101.85"	
"2001/01/09","101.43"	
"2001/01/10","101.14"	
"2001/01/11","100.55"	
"2001/01/12","100.9"	
"2001/01/13","100.79"	
"2001/01/14","100.79"	
"2001/01/15","100.79"	
"2001/01/16","101.19"	
"2001/01/17","101.52"	
"2001/01/18","102.79"	
"2001/01/19","103.24"	
"2001/01/20","103.4"	
"2001/01/21","103.4"	
"2001/01/22","103.4"	
"2001/01/23","103.54"	
"2001/01/24","103.2"	
"2001/01/25","103.2"	
"2001/01/26","103.2"	
"2001/01/27","103.2"	
"2001/01/28","103.2"	
"2001/01/29","103.2"	
"2001/01/30","103.36"	
"2001/01/31","103.96"	
"2001/02/01","104.37"	
"2001/02/02","103.45"	
"2001/02/03","102.83"	
"2001/02/04","102.83"	
"2001/02/05","102.83"	
"2001/02/06","102.75"	
"2001/02/07","102.41"	
"2001/02/08","101.78"	
"2001/02/09","101.45"	
"2001/02/10","101.83"	
"2001/02/11","101.83"	
"2001/02/12","101.83"	
"2001/02/13","101.7"	
"2001/02/14","101.25"	
"2001/02/15","101.28"	
"2001/02/16","100.79"	
"2001/02/17","100.55"	
"2001/02/18","100.55"	
"2001/02/19","100.55"	
"2001/02/20","100.2"	
"2001/02/21","99.54"	
"2001/02/22","98.96"	
"2001/02/23","98.9"	
"2001/02/24","99.4"	
"2001/02/25","99.4"	
"2001/02/26","99.4"	
"2001/02/27","99.13"	
"2001/02/28","98.71"	
"2001/03/01","97.92"	
"2001/03/02","97.05"	
"2001/03/03","97.31"	
"2001/03/04","97.31"	
"2001/03/05","97.31"	
"2001/03/06","98.29"	
"2001/03/07","98.34"	
"2001/03/08","98.33"	
"2001/03/09","97.53"	
"2001/03/10","95.29"	
"2001/03/11","95.29"	
"2001/03/12","95.29"	
"2001/03/13","94.34"	
"2001/03/14","93.38"	
"2001/03/15","93.93"	
"2001/03/16","93.29"	
"2001/03/17","93.32"	
"2001/03/18","93.32"	
"2001/03/19","93.32"	
"2001/03/20","92.87"	
"2001/03/21","92.51"	
"2001/03/22","90.87"	
"2001/03/23","91.97"	
"2001/03/24","93.65"	
"2001/03/25","93.65"	
"2001/03/26","93.65"	
"2001/03/27","93.92"	
"2001/03/28","93.39"	
"2001/03/29","92.49"	
"2001/03/30","92.72"	
"2001/03/31","92.2"	
"2001/04/01","92.2"	
"2001/04/02","92.2"	
"2001/04/03","91.26"	
"2001/04/04","90.77"	
"2001/04/05","92.09"	
"2001/04/06","92.09"	
"2001/04/07","91.7"	
"2001/04/08","91.7"	
"2001/04/09","91.7"	
"2001/04/10","92.19"	
"2001/04/11","93.1"	
"2001/04/12","94.38"	
"2001/04/13","93.52"	
"2001/04/14","93.52"	
"2001/04/15","93.52"	
"2001/04/16","93.52"	
"2001/04/17","93.52"	
"2001/04/18","95.42"	
"2001/04/19","97.21"	
