"基金名稱","增長組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2003/01/01","81.05"	
"2003/01/02","81.05"	
"2003/01/03","81.87"	
"2003/01/04","82.88"	
"2003/01/05","82.88"	
"2003/01/06","82.88"	
"2003/01/07","82.43"	
"2003/01/08","81.98"	
"2003/01/09","82.49"	
"2003/01/10","82.7"	
"2003/01/11","83.33"	
"2003/01/12","83.33"	
"2003/01/13","83.33"	
"2003/01/14","83.62"	
"2003/01/15","83.53"	
"2003/01/16","82.95"	
"2003/01/17","82.15"	
"2003/01/18","81.78"	
"2003/01/19","81.78"	
"2003/01/20","81.78"	
"2003/01/21","81.61"	
"2003/01/22","81.2"	
"2003/01/23","81.58"	
"2003/01/24","80.61"	
"2003/01/25","79.38"	
"2003/01/26","79.38"	
"2003/01/27","79.38"	
"2003/01/28","79.58"	
"2003/01/29","79.33"	
"2003/01/30","79.18"	
"2003/01/31","79.27"	
"2003/02/01","79.27"	
"2003/02/02","79.27"	
"2003/02/03","79.27"	
"2003/02/04","79.27"	
"2003/02/05","79.26"	
"2003/02/06","78.55"	
"2003/02/07","78.23"	
"2003/02/08","78.21"	
"2003/02/09","78.21"	
"2003/02/10","78.21"	
"2003/02/11","78.15"	
"2003/02/12","78.31"	
"2003/02/13","77.8"	
"2003/02/14","78.22"	
"2003/02/15","79.02"	
"2003/02/16","79.02"	
"2003/02/17","79.02"	
"2003/02/18","79.49"	
"2003/02/19","79.35"	
"2003/02/20","78.99"	
"2003/02/21","78.86"	
"2003/02/22","78.53"	
"2003/02/23","78.53"	
"2003/02/24","78.53"	
"2003/02/25","77.76"	
"2003/02/26","77.47"	
"2003/02/27","77.62"	
"2003/02/28","77.79"	
"2003/03/01","78.27"	
"2003/03/02","78.27"	
"2003/03/03","78.27"	
"2003/03/04","77.62"	
"2003/03/05","77.43"	
"2003/03/06","76.56"	
"2003/03/07","75.98"	
"2003/03/08","74.95"	
"2003/03/09","74.95"	
"2003/03/10","74.95"	
"2003/03/11","74.47"	
"2003/03/12","74.47"	
"2003/03/13","74.97"	
"2003/03/14","76.01"	
"2003/03/15","76.1"	
"2003/03/16","76.1"	
"2003/03/17","76.1"	
"2003/03/18","76.89"	
"2003/03/19","77.71"	
"2003/03/20","78.11"	
"2003/03/21","78.78"	
"2003/03/22","77.7"	
"2003/03/23","77.7"	
"2003/03/24","77.7"	
"2003/03/25","77.74"	
"2003/03/26","77.93"	
"2003/03/27","77.34"	
"2003/03/28","77.17"	
"2003/03/29","75.54"	
"2003/03/30","75.54"	
"2003/03/31","75.54"	
"2003/04/01","75.87"	
"2003/04/02","76.79"	
"2003/04/03","76.49"	
"2003/04/04","77.2"	
"2003/04/05","78.15"	
"2003/04/06","78.15"	
"2003/04/07","78.15"	
"2003/04/08","77.62"	
"2003/04/09","76.72"	
"2003/04/10","76.75"	
"2003/04/11","76.7"	
"2003/04/12","76.73"	
"2003/04/13","76.73"	
"2003/04/14","76.73"	
"2003/04/15","77.52"	
"2003/04/16","77.62"	
"2003/04/17","77.86"	
"2003/04/18","78.02"	
"2003/04/19","78.02"	
