"基金名稱","增長組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2010/01/01","162.23"	
"2010/01/02","162.23"	
"2010/01/03","162.23"	
"2010/01/04","163.57"	
"2010/01/05","165.62"	
"2010/01/06","166.0"	
"2010/01/07","165.32"	
"2010/01/08","165.58"	
"2010/01/09","165.58"	
"2010/01/10","165.58"	
"2010/01/11","166.73"	
"2010/01/12","166.38"	
"2010/01/13","164.37"	
"2010/01/14","165.02"	
"2010/01/15","164.42"	
"2010/01/16","164.42"	
"2010/01/17","164.42"	
"2010/01/18","163.8"	
"2010/01/19","164.66"	
"2010/01/20","162.51"	
"2010/01/21","159.89"	
"2010/01/22","157.99"	
"2010/01/23","157.99"	
"2010/01/24","157.99"	
"2010/01/25","157.46"	
"2010/01/26","155.15"	
"2010/01/27","154.0"	
"2010/01/28","154.56"	
"2010/01/29","153.27"	
"2010/01/30","153.27"	
"2010/01/31","153.27"	
"2010/02/01","153.69"	
"2010/02/02","154.8"	
"2010/02/03","156.04"	
"2010/02/04","152.08"	
"2010/02/05","149.61"	
"2010/02/06","149.61"	
"2010/02/07","149.61"	
"2010/02/08","148.94"	
"2010/02/09","150.23"	
"2010/02/10","150.92"	
"2010/02/11","152.3"	
"2010/02/12","152.29"	
"2010/02/13","152.29"	
"2010/02/14","152.29"	
"2010/02/15","152.29"	
"2010/02/16","152.29"	
"2010/02/17","154.86"	
"2010/02/18","154.57"	
"2010/02/19","152.57"	
"2010/02/20","152.57"	
"2010/02/21","152.57"	
"2010/02/22","154.77"	
"2010/02/23","154.77"	
"2010/02/24","154.2"	
"2010/02/25","153.18"	
"2010/02/26","154.31"	
"2010/02/27","154.31"	
"2010/02/28","154.31"	
"2010/03/01","156.08"	
"2010/03/02","156.56"	
"2010/03/03","157.19"	
"2010/03/04","156.44"	
"2010/03/05","157.98"	
"2010/03/06","157.98"	
"2010/03/07","157.98"	
"2010/03/08","159.84"	
"2010/03/09","159.84"	
"2010/03/10","160.29"	
"2010/03/11","160.5"	
"2010/03/12","160.65"	
"2010/03/13","160.65"	
"2010/03/14","160.65"	
"2010/03/15","159.71"	
"2010/03/16","160.19"	
"2010/03/17","162.39"	
"2010/03/18","161.89"	
"2010/03/19","161.83"	
"2010/03/20","161.83"	
"2010/03/21","161.83"	
"2010/03/22","160.59"	
"2010/03/23","161.17"	
"2010/03/24","160.84"	
"2010/03/25","160.34"	
"2010/03/26","161.16"	
"2010/03/27","161.16"	
"2010/03/28","161.16"	
"2010/03/29","162.35"	
"2010/03/30","163.01"	
"2010/03/31","162.28"	
"2010/04/01","164.27"	
"2010/04/02","164.27"	
"2010/04/03","164.27"	
"2010/04/04","164.27"	
"2010/04/05","164.27"	
"2010/04/06","164.27"	
"2010/04/07","165.63"	
"2010/04/08","164.91"	
"2010/04/09","166.34"	
"2010/04/10","166.34"	
"2010/04/11","166.34"	
"2010/04/12","166.5"	
"2010/04/13","165.83"	
"2010/04/14","166.93"	
"2010/04/15","167.52"	
"2010/04/16","165.44"	
"2010/04/17","165.44"	
"2010/04/18","165.44"	
"2010/04/19","163.35"	
