"基金名稱","增長組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2011/01/01","176.84"	
"2011/01/02","176.84"	
"2011/01/03","178.61"	
"2011/01/04","179.68"	
"2011/01/05","179.47"	
"2011/01/06","179.44"	
"2011/01/07","178.76"	
"2011/01/08","178.76"	
"2011/01/09","178.76"	
"2011/01/10","177.71"	
"2011/01/11","178.84"	
"2011/01/12","180.8"	
"2011/01/13","181.6"	
"2011/01/14","182.14"	
"2011/01/15","182.14"	
"2011/01/16","182.14"	
"2011/01/17","181.38"	
"2011/01/18","181.94"	
"2011/01/19","182.67"	
"2011/01/20","180.32"	
"2011/01/21","179.65"	
"2011/01/22","179.65"	
"2011/01/23","179.65"	
"2011/01/24","180.08"	
"2011/01/25","180.3"	
"2011/01/26","180.94"	
"2011/01/27","181.01"	
"2011/01/28","179.22"	
"2011/01/29","179.22"	
"2011/01/30","179.22"	
"2011/01/31","178.54"	
"2011/02/01","180.16"	
"2011/02/02","181.53"	
"2011/02/03","181.53"	
"2011/02/04","181.53"	
"2011/02/05","181.53"	
"2011/02/06","181.53"	
"2011/02/07","181.1"	
"2011/02/08","181.19"	
"2011/02/09","179.57"	
"2011/02/10","177.52"	
"2011/02/11","177.64"	
"2011/02/12","177.64"	
"2011/02/13","177.64"	
"2011/02/14","179.19"	
"2011/02/15","178.73"	
"2011/02/16","179.63"	
"2011/02/17","180.37"	
"2011/02/18","181.52"	
"2011/02/19","181.52"	
"2011/02/20","181.52"	
"2011/02/21","180.68"	
"2011/02/22","177.65"	
"2011/02/23","176.63"	
"2011/02/24","175.52"	
"2011/02/25","177.6"	
"2011/02/26","177.6"	
"2011/02/27","177.6"	
"2011/02/28","178.94"	
"2011/03/01","179.25"	
"2011/03/02","177.99"	
"2011/03/03","179.71"	
"2011/03/04","180.69"	
"2011/03/05","180.69"	
"2011/03/06","180.69"	
"2011/03/07","179.56"	
"2011/03/08","180.57"	
"2011/03/09","180.8"	
"2011/03/10","178.38"	
"2011/03/11","176.5"	
"2011/03/12","176.5"	
"2011/03/13","176.5"	
"2011/03/14","175.64"	
"2011/03/15","171.71"	
"2011/03/16","171.55"	
"2011/03/17","171.57"	
"2011/03/18","172.43"	
"2011/03/19","172.43"	
"2011/03/20","172.43"	
"2011/03/21","175.06"	
"2011/03/22","176.28"	
"2011/03/23","176.23"	
"2011/03/24","177.5"	
"2011/03/25","178.69"	
"2011/03/26","178.69"	
"2011/03/27","178.69"	
"2011/03/28","177.86"	
"2011/03/29","178.25"	
"2011/03/30","180.32"	
"2011/03/31","180.72"	
"2011/04/01","181.92"	
"2011/04/02","181.92"	
"2011/04/03","181.92"	
"2011/04/04","183.27"	
"2011/04/05","183.27"	
"2011/04/06","183.72"	
"2011/04/07","183.69"	
"2011/04/08","184.34"	
"2011/04/09","184.34"	
"2011/04/10","184.34"	
"2011/04/11","183.94"	
"2011/04/12","181.65"	
"2011/04/13","182.79"	
"2011/04/14","182.71"	
"2011/04/15","182.8"	
"2011/04/16","182.8"	
"2011/04/17","182.8"	
"2011/04/18","181.04"	
"2011/04/19","180.46"	
