"基金名稱","日本股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2005/01/01","145.8"	
"2005/01/02","145.8"	
"2005/01/03","145.86"	
"2005/01/04","144.41"	
"2005/01/05","144.03"	
"2005/01/06","143.09"	
"2005/01/07","143.47"	
"2005/01/08","143.47"	
"2005/01/09","143.47"	
"2005/01/10","143.46"	
"2005/01/11","146.27"	
"2005/01/12","147.44"	
"2005/01/13","146.4"	
"2005/01/14","147.18"	
"2005/01/15","147.18"	
"2005/01/16","147.18"	
"2005/01/17","149.32"	
"2005/01/18","147.99"	
"2005/01/19","147.98"	
"2005/01/20","145.73"	
"2005/01/21","145.23"	
"2005/01/22","145.23"	
"2005/01/23","145.23"	
"2005/01/24","147.15"	
"2005/01/25","144.99"	
"2005/01/26","148.08"	
"2005/01/27","147.05"	
"2005/01/28","146.25"	
"2005/01/29","146.25"	
"2005/01/30","146.25"	
"2005/01/31","147.27"	
"2005/02/01","146.23"	
"2005/02/02","147.26"	
"2005/02/03","145.77"	
"2005/02/04","146.56"	
"2005/02/05","146.56"	
"2005/02/06","146.56"	
"2005/02/07","146.2"	
"2005/02/08","144.28"	
"2005/02/09","144.28"	
"2005/02/10","144.28"	
"2005/02/11","144.28"	
"2005/02/12","144.28"	
"2005/02/13","144.28"	
"2005/02/14","147.38"	
"2005/02/15","148.03"	
"2005/02/16","146.63"	
"2005/02/17","146.26"	
"2005/02/18","146.71"	
"2005/02/19","146.71"	
"2005/02/20","146.71"	
"2005/02/21","147.52"	
"2005/02/22","148.48"	
"2005/02/23","146.17"	
"2005/02/24","146.09"	
"2005/02/25","147.93"	
"2005/02/26","147.93"	
"2005/02/27","147.93"	
"2005/02/28","150.93"	
"2005/03/01","151.34"	
"2005/03/02","150.96"	
"2005/03/03","150.97"	
"2005/03/04","152.68"	
"2005/03/05","152.68"	
"2005/03/06","152.68"	
"2005/03/07","152.16"	
"2005/03/08","152.23"	
"2005/03/09","153.44"	
"2005/03/10","152.57"	
"2005/03/11","153.46"	
"2005/03/12","153.46"	
"2005/03/13","153.46"	
"2005/03/14","151.19"	
"2005/03/15","151.39"	
"2005/03/16","152.04"	
"2005/03/17","150.85"	
"2005/03/18","151.51"	
"2005/03/19","151.51"	
"2005/03/20","151.51"	
"2005/03/21","151.5"	
"2005/03/22","151.27"	
