"基金名稱","日本股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2017/01/01","144.91"	
"2017/01/02","144.91"	
"2017/01/03","144.89"	
"2017/01/04","147.39"	
"2017/01/05","149.87"	
"2017/01/06","148.72"	
"2017/01/07","148.72"	
"2017/01/08","148.72"	
"2017/01/09","148.71"	
"2017/01/10","149.18"	
"2017/01/11","148.14"	
"2017/01/12","150.42"	
"2017/01/13","149.81"	
"2017/01/14","149.81"	
"2017/01/15","149.81"	
"2017/01/16","149.91"	
"2017/01/17","149.2"	
"2017/01/18","149.42"	
"2017/01/19","148.17"	
"2017/01/20","148.82"	
"2017/01/21","148.82"	
"2017/01/22","148.82"	
"2017/01/23","149.71"	
"2017/01/24","148.88"	
"2017/01/25","149.75"	
"2017/01/26","150.78"	
"2017/01/27","150.88"	
"2017/01/28","150.88"	
"2017/01/29","150.88"	
"2017/01/30","150.88"	
"2017/01/31","150.88"	
"2017/02/01","151.18"	
"2017/02/02","151.02"	
"2017/02/03","151.6"	
"2017/02/04","151.6"	
"2017/02/05","151.6"	
"2017/02/06","151.83"	
"2017/02/07","151.61"	
"2017/02/08","153.25"	
"2017/02/09","150.79"	
"2017/02/10","152.51"	
"2017/02/11","152.51"	
"2017/02/12","152.51"	
"2017/02/13","152.67"	
"2017/02/14","150.43"	
"2017/02/15","151.48"	
"2017/02/16","152.93"	
"2017/02/17","153.03"	
"2017/02/18","153.03"	
"2017/02/19","153.03"	
"2017/02/20","152.68"	
"2017/02/21","152.57"	
"2017/02/22","152.82"	
"2017/02/23","153.67"	
"2017/02/24","153.52"	
"2017/02/25","153.52"	
"2017/02/26","153.52"	
"2017/02/27","152.4"	
"2017/02/28","152.67"	
"2017/03/01","152.2"	
"2017/03/02","152.52"	
"2017/03/03","151.93"	
"2017/03/04","151.93"	
"2017/03/05","151.93"	
"2017/03/06","152.58"	
"2017/03/07","151.98"	
"2017/03/08","150.84"	
"2017/03/09","151.0"	
"2017/03/10","152.66"	
"2017/03/11","152.66"	
"2017/03/12","152.66"	
"2017/03/13","153.2"	
"2017/03/14","153.34"	
"2017/03/15","152.87"	
"2017/03/16","155.24"	
"2017/03/17","155.04"	
"2017/03/18","155.04"	
"2017/03/19","155.04"	
"2017/03/20","155.04"	
"2017/03/21","156.08"	
"2017/03/22","154.39"	
