"基金名稱","日本股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2020/01/01","184.87"	
"2020/01/02","184.92"	
"2020/01/03","184.76"	
"2020/01/04","184.76"	
"2020/01/05","184.76"	
"2020/01/06","183.66"	
"2020/01/07","186.0"	
"2020/01/08","183.73"	
"2020/01/09","185.18"	
"2020/01/10","185.94"	
"2020/01/11","185.94"	
"2020/01/12","185.94"	
"2020/01/13","185.99"	
"2020/01/14","185.9"	
"2020/01/15","184.83"	
"2020/01/16","184.72"	
"2020/01/17","185.12"	
"2020/01/18","185.12"	
"2020/01/19","185.12"	
"2020/01/20","185.98"	
"2020/01/21","185.42"	
"2020/01/22","187.02"	
"2020/01/23","186.61"	
"2020/01/24","186.65"	
"2020/01/25","186.65"	
"2020/01/26","186.65"	
"2020/01/27","186.65"	
"2020/01/28","186.65"	
"2020/01/29","184.02"	
"2020/01/30","181.75"	
"2020/01/31","182.62"	
"2020/02/01","182.62"	
"2020/02/02","182.62"	
"2020/02/03","181.26"	
"2020/02/04","182.03"	
"2020/02/05","183.23"	
"2020/02/06","186.59"	
"2020/02/07","186.59"	
"2020/02/08","186.59"	
"2020/02/09","186.59"	
"2020/02/10","185.15"	
"2020/02/11","185.12"	
"2020/02/12","184.92"	
"2020/02/13","184.67"	
"2020/02/14","183.72"	
"2020/02/15","183.72"	
"2020/02/16","183.72"	
"2020/02/17","181.94"	
"2020/02/18","179.52"	
"2020/02/19","178.59"	
"2020/02/20","177.55"	
"2020/02/21","178.62"	
"2020/02/22","178.62"	
"2020/02/23","178.62"	
"2020/02/24","178.62"	
"2020/02/25","171.17"	
"2020/02/26","173.33"	
"2020/02/27","165.77"	
"2020/02/28","167.02"	
"2020/02/29","167.02"	
"2020/03/01","167.02"	
"2020/03/02","168.47"	
"2020/03/03","166.79"	
"2020/03/04","166.9"	
"2020/03/05","166.17"	
"2020/03/06","167.57"	
"2020/03/07","167.57"	
"2020/03/08","167.57"	
"2020/03/09","155.97"	
"2020/03/10","162.53"	
"2020/03/11","157.39"	
"2020/03/12","139.87"	
"2020/03/13","140.52"	
"2020/03/14","140.52"	
"2020/03/15","140.52"	
"2020/03/16","135.14"	
"2020/03/17","139.28"	
"2020/03/18","137.82"	
"2020/03/19","139.34"	
"2020/03/20","139.28"	
"2020/03/21","139.28"	
