"基金名稱","日本股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2015/01/01","135.98"	
"2015/01/02","135.97"	
"2015/01/03","135.97"	
"2015/01/04","135.97"	
"2015/01/05","135.06"	
"2015/01/06","132.22"	
"2015/01/07","131.32"	
"2015/01/08","133.05"	
"2015/01/09","134.35"	
"2015/01/10","134.35"	
"2015/01/11","134.35"	
"2015/01/12","134.31"	
"2015/01/13","134.07"	
"2015/01/14","134.47"	
"2015/01/15","136.43"	
"2015/01/16","134.43"	
"2015/01/17","134.43"	
"2015/01/18","134.43"	
"2015/01/19","135.43"	
"2015/01/20","136.94"	
"2015/01/21","137.18"	
"2015/01/22","136.7"	
"2015/01/23","137.91"	
"2015/01/24","137.91"	
"2015/01/25","137.91"	
"2015/01/26","136.77"	
"2015/01/27","140.23"	
"2015/01/28","140.11"	
"2015/01/29","138.48"	
"2015/01/30","139.01"	
"2015/01/31","139.01"	
"2015/02/01","139.01"	
"2015/02/02","138.53"	
"2015/02/03","136.19"	
"2015/02/04","138.02"	
"2015/02/05","137.42"	
"2015/02/06","135.72"	
"2015/02/07","135.72"	
"2015/02/08","135.72"	
"2015/02/09","137.14"	
"2015/02/10","136.24"	
"2015/02/11","136.24"	
"2015/02/12","138.74"	
"2015/02/13","139.22"	
"2015/02/14","139.22"	
"2015/02/15","139.22"	
"2015/02/16","140.05"	
"2015/02/17","139.64"	
"2015/02/18","141.65"	
"2015/02/19","141.65"	
"2015/02/20","141.65"	
"2015/02/21","141.65"	
"2015/02/22","141.65"	
"2015/02/23","144.68"	
"2015/02/24","145.17"	
"2015/02/25","145.45"	
"2015/02/26","145.96"	
"2015/02/27","146.73"	
"2015/02/28","146.73"	
"2015/03/01","146.73"	
"2015/03/02","145.93"	
"2015/03/03","147.05"	
"2015/03/04","146.39"	
"2015/03/05","146.03"	
"2015/03/06","146.39"	
"2015/03/07","146.39"	
"2015/03/08","146.39"	
"2015/03/09","145.55"	
"2015/03/10","145.21"	
"2015/03/11","145.15"	
"2015/03/12","147.51"	
"2015/03/13","148.88"	
"2015/03/14","148.88"	
"2015/03/15","148.88"	
"2015/03/16","148.43"	
"2015/03/17","150.33"	
"2015/03/18","151.79"	
"2015/03/19","150.76"	
"2015/03/20","152.3"	
"2015/03/21","152.3"	
"2015/03/22","152.3"	
