"基金名稱","日本股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2018/01/01","189.83"	
"2018/01/02","189.81"	
"2018/01/03","189.81"	
"2018/01/04","195.02"	
"2018/01/05","195.89"	
"2018/01/06","195.89"	
"2018/01/07","195.89"	
"2018/01/08","195.89"	
"2018/01/09","198.41"	
"2018/01/10","200.68"	
"2018/01/11","199.63"	
"2018/01/12","198.99"	
"2018/01/13","198.99"	
"2018/01/14","198.99"	
"2018/01/15","201.58"	
"2018/01/16","202.71"	
"2018/01/17","202.3"	
"2018/01/18","200.71"	
"2018/01/19","202.27"	
"2018/01/20","202.27"	
"2018/01/21","202.27"	
"2018/01/22","202.25"	
"2018/01/23","205.19"	
"2018/01/24","205.51"	
"2018/01/25","204.46"	
"2018/01/26","203.9"	
"2018/01/27","203.9"	
"2018/01/28","203.9"	
"2018/01/29","203.16"	
"2018/01/30","200.96"	
"2018/01/31","198.13"	
"2018/02/01","201.79"	
"2018/02/02","199.06"	
"2018/02/03","199.06"	
"2018/02/04","199.06"	
"2018/02/05","187.14"	
"2018/02/06","192.31"	
"2018/02/07","188.75"	
"2018/02/08","185.59"	
"2018/02/09","188.34"	
"2018/02/10","188.34"	
"2018/02/11","188.34"	
"2018/02/12","188.29"	
"2018/02/13","188.8"	
"2018/02/14","188.1"	
"2018/02/15","191.86"	
"2018/02/16","191.86"	
"2018/02/17","191.86"	
"2018/02/18","191.86"	
"2018/02/19","191.86"	
"2018/02/20","194.4"	
"2018/02/21","193.45"	
"2018/02/22","193.23"	
"2018/02/23","194.89"	
"2018/02/24","194.89"	
"2018/02/25","194.89"	
"2018/02/26","195.9"	
"2018/02/27","196.91"	
"2018/02/28","195.93"	
"2018/03/01","191.9"	
"2018/03/02","191.71"	
"2018/03/03","191.71"	
"2018/03/04","191.71"	
"2018/03/05","189.28"	
"2018/03/06","192.12"	
"2018/03/07","190.6"	
"2018/03/08","191.31"	
"2018/03/09","190.58"	
"2018/03/10","190.58"	
"2018/03/11","190.58"	
"2018/03/12","194.08"	
"2018/03/13","195.04"	
"2018/03/14","194.61"	
"2018/03/15","195.32"	
"2018/03/16","194.52"	
"2018/03/17","194.52"	
"2018/03/18","194.52"	
"2018/03/19","193.08"	
"2018/03/20","190.74"	
"2018/03/21","190.76"	
"2018/03/22","190.48"	
