"基金名稱","日本股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2012/01/01","107.38"	
"2012/01/02","107.38"	
"2012/01/03","107.36"	
"2012/01/04","109.7"	
"2012/01/05","108.22"	
"2012/01/06","107.18"	
"2012/01/07","107.18"	
"2012/01/08","107.18"	
"2012/01/09","107.16"	
"2012/01/10","107.49"	
"2012/01/11","107.5"	
"2012/01/12","106.78"	
"2012/01/13","107.6"	
"2012/01/14","107.6"	
"2012/01/15","107.6"	
"2012/01/16","106.9"	
"2012/01/17","107.63"	
"2012/01/18","107.93"	
"2012/01/19","108.17"	
"2012/01/20","109.87"	
"2012/01/21","109.87"	
"2012/01/22","109.87"	
"2012/01/23","109.87"	
"2012/01/24","109.87"	
"2012/01/25","109.87"	
"2012/01/26","110.39"	
"2012/01/27","111.01"	
"2012/01/28","111.01"	
"2012/01/29","111.01"	
"2012/01/30","110.79"	
"2012/01/31","111.09"	
"2012/02/01","111.98"	
"2012/02/02","112.41"	
"2012/02/03","111.9"	
"2012/02/04","111.9"	
"2012/02/05","111.9"	
"2012/02/06","113.02"	
"2012/02/07","113.01"	
"2012/02/08","113.89"	
"2012/02/09","113.64"	
"2012/02/10","112.31"	
"2012/02/11","112.31"	
"2012/02/12","112.31"	
"2012/02/13","113.29"	
"2012/02/14","112.58"	
"2012/02/15","114.6"	
"2012/02/16","113.22"	
"2012/02/17","113.72"	
"2012/02/18","113.72"	
"2012/02/19","113.72"	
"2012/02/20","114.26"	
"2012/02/21","113.83"	
"2012/02/22","114.13"	
"2012/02/23","114.52"	
"2012/02/24","114.63"	
"2012/02/25","114.63"	
"2012/02/26","114.63"	
"2012/02/27","115.18"	
"2012/02/28","115.8"	
"2012/02/29","115.15"	
"2012/03/01","114.39"	
"2012/03/02","114.08"	
"2012/03/03","114.08"	
"2012/03/04","114.08"	
"2012/03/05","113.76"	
"2012/03/06","113.59"	
"2012/03/07","112.83"	
"2012/03/08","114.04"	
"2012/03/09","114.01"	
"2012/03/10","114.01"	
"2012/03/11","114.01"	
"2012/03/12","114.06"	
"2012/03/13","113.5"	
"2012/03/14","113.57"	
"2012/03/15","114.97"	
"2012/03/16","115.1"	
"2012/03/17","115.1"	
"2012/03/18","115.1"	
"2012/03/19","115.28"	
"2012/03/20","115.29"	
"2012/03/21","113.74"	
