"基金名稱","日本股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2019/01/01","154.73"	
"2019/01/02","154.73"	
"2019/01/03","154.68"	
"2019/01/04","158.45"	
"2019/01/05","158.45"	
"2019/01/06","158.45"	
"2019/01/07","159.25"	
"2019/01/08","159.46"	
"2019/01/09","161.66"	
"2019/01/10","159.53"	
"2019/01/11","160.15"	
"2019/01/12","160.15"	
"2019/01/13","160.15"	
"2019/01/14","160.13"	
"2019/01/15","162.08"	
"2019/01/16","160.98"	
"2019/01/17","161.17"	
"2019/01/18","161.58"	
"2019/01/19","161.58"	
"2019/01/20","161.58"	
"2019/01/21","162.56"	
"2019/01/22","161.36"	
"2019/01/23","159.98"	
"2019/01/24","160.76"	
"2019/01/25","162.75"	
"2019/01/26","162.75"	
"2019/01/27","162.75"	
"2019/01/28","162.09"	
"2019/01/29","161.43"	
"2019/01/30","160.47"	
"2019/01/31","163.88"	
"2019/02/01","162.66"	
"2019/02/02","162.66"	
"2019/02/03","162.66"	
"2019/02/04","163.36"	
"2019/02/05","163.36"	
"2019/02/06","163.36"	
"2019/02/07","163.36"	
"2019/02/08","158.76"	
"2019/02/09","158.76"	
"2019/02/10","158.76"	
"2019/02/11","158.75"	
"2019/02/12","161.56"	
"2019/02/13","163.15"	
"2019/02/14","163.39"	
"2019/02/15","162.66"	
"2019/02/16","162.66"	
"2019/02/17","162.66"	
"2019/02/18","164.97"	
"2019/02/19","165.55"	
"2019/02/20","165.96"	
"2019/02/21","165.67"	
"2019/02/22","165.14"	
"2019/02/23","165.14"	
"2019/02/24","165.14"	
"2019/02/25","166.38"	
"2019/02/26","166.05"	
"2019/02/27","165.73"	
"2019/02/28","163.69"	
"2019/03/01","163.8"	
"2019/03/02","163.8"	
"2019/03/03","163.8"	
"2019/03/04","165.05"	
"2019/03/05","163.83"	
"2019/03/06","163.96"	
"2019/03/07","162.41"	
"2019/03/08","160.14"	
"2019/03/09","160.14"	
"2019/03/10","160.14"	
"2019/03/11","160.41"	
"2019/03/12","162.22"	
"2019/03/13","161.28"	
"2019/03/14","159.95"	
"2019/03/15","161.91"	
"2019/03/16","161.91"	
"2019/03/17","161.91"	
"2019/03/18","163.09"	
"2019/03/19","162.98"	
"2019/03/20","163.27"	
"2019/03/21","163.24"	
"2019/03/22","166.09"	
