Date,HSI Close
12/1/2000,14441.43
12/4/2000,14559.24
12/5/2000,14573.21
12/6/2000,15098.95
12/7/2000,15011.52
12/8/2000,15189.33
12/11/2000,15408.54
12/12/2000,15329.6
2/1/2001,16163.99
3/1/2001,14360.56
6/1/2001,13141.38
8/1/2001,12478.74
11/1/2001,10158.85
1/2/2001,14869.94
2/2/2001,16071.29
3/2/2001,13966.43
4/2/2001,12727.3
5/2/2001,13814.24
8/2/2001,12466.37
11/2/2001,10186.06
1/3/2001,14589.58
4/3/2001,12584.22
5/3/2001,13718.14
7/3/2001,13184.75
8/3/2001,12269.08
9/3/2001,10902.64
10/3/2001,9897.14
12/3/2001,11155.15
1/4/2001,15235.03
4/4/2001,12063.71
5/4/2001,13390.99
6/4/2001,13207.49
7/4/2001,13207.53
9/4/2001,11136.86
10/4/2001,10286.39
12/4/2001,11427.28
1/5/2001,15447.61
2/5/2001,15830.84
3/5/2001,14135.26
6/5/2001,13451.87
7/5/2001,12999.48
9/5/2001,10943.14
10/5/2001,10277.38
11/5/2001,10430.72
12/5/2001,11678.44
2/6/2001,15913.24
3/6/2001,14321.05
4/6/2001,12386.61
6/6/2001,13576.01
8/6/2001,12148.81
9/6/2001,10664.32
11/6/2001,10356.05
12/6/2001,11745.84
2/7/2001,16049.47
3/7/2001,14177.36
5/7/2001,13600.78
6/7/2001,13703.43
8/7/2001,12007.19
9/7/2001,10384.2
11/7/2001,10269.79
12/7/2001,11832.18
1/8/2001,15436.53
2/8/2001,15909.4
3/8/2001,14208.95
5/8/2001,13540.81
6/8/2001,13808.89
8/8/2001,11958.01
10/8/2001,9967.83
11/8/2001,10538.62
1/9/2001,15500.59
2/9/2001,15873.28
3/9/2001,14194.35
4/9/2001,12202.1
5/9/2001,13585.14
7/9/2001,12690.68
8/9/2001,11716.77
10/9/2001,10358.93
11/9/2001,10609.25
1/10/2001,15435.79
4/10/2001,12213.67
5/10/2001,13604.8
7/10/2001,12713.9
8/10/2001,11765.81
9/10/2001,10366.32
10/10/2001,10298.24
12/10/2001,11784.92
1/11/2001,15090.77
4/11/2001,12706.43
5/11/2001,13636.61
6/11/2001,13675.49
7/11/2001,12527.9
9/11/2001,10417.36
10/11/2001,10522.61
12/11/2001,11693.05
1/12/2001,15295.42
2/12/2001,15693.11
3/12/2001,13776.72
4/12/2001,12989.47
6/12/2001,13526.68
7/12/2001,12660.2
9/12/2001,9493.62
10/12/2001,10274.13
11/12/2001,10592.45
12/12/2001,11847.06
2/1/2002,10691.25
3/1/2002,10425.31
8/1/2002,10180.02
11/1/2002,9407.68
1/2/2002,11350.85
4/2/2002,10878.04
5/2/2002,11780.11
7/2/2002,10491.76
8/2/2002,9991.72
9/2/2002,9896.98
10/2/2002,9109.35
12/2/2002,10205.16
1/3/2002,11423.52
4/3/2002,10833.96
5/3/2002,11797.22
6/3/2002,11359.8
7/3/2002,10579.19
9/3/2002,9790.68
10/3/2002,8984.32
12/3/2002,10227.01
1/4/2002,11702.15
2/4/2002,10721.32
3/4/2002,10704.12
4/4/2002,10831.37
6/4/2002,11312.55
7/4/2002,10765.58
9/4/2002,9820.33
10/4/2002,9051.37
11/4/2002,9720.83
12/4/2002,9995.73
2/5/2002,10609.19
3/5/2002,10985.84
6/5/2002,11402.38
7/5/2002,10806.16
8/5/2002,9862.33
9/5/2002,9726.03
11/5/2002,9655.36
12/5/2002,10009.88
2/6/2002,10592.39
3/6/2002,11003
5/6/2002,11736.2
6/6/2002,11380.77
8/6/2002,9700.69
9/6/2002,9720.86
11/6/2002,9773.98
12/6/2002,9973.75
1/7/2002,11892.64
2/7/2002,10409.68
3/7/2002,11188.07
5/7/2002,11795.98
6/7/2002,11284.71
8/7/2002,9977.74
10/7/2002,8931.4
11/7/2002,9844.38
1/8/2002,11713.71
2/8/2002,10518.99
3/8/2002,11233.23
4/8/2002,10723.68
5/8/2002,11768.31
7/8/2002,10803.45
8/8/2002,9962.24
10/8/2002,8977.41
11/8/2002,9770.68
1/9/2002,11440.72
4/9/2002,10733.69
5/9/2002,11700.76
7/9/2002,10843.15
8/9/2002,10014.06
9/9/2002,9723.67
10/9/2002,8977.35
12/9/2002,9868.48
1/10/2002,11256.07
4/10/2002,10643.14
5/10/2002,11645.9
6/10/2002,11288.84
7/10/2002,10787.54
9/10/2002,9885.77
10/10/2002,8858.69
12/10/2002,9857.99
1/11/2002,11166.46
2/11/2002,10832.74
3/11/2002,11318.87
4/11/2002,10744.91
6/11/2002,11215.02
7/11/2002,10558.81
9/11/2002,9882.35
10/11/2002,8965.73
11/11/2002,9580.88
12/11/2002,9784.57
3/12/2002,11273.86
4/12/2002,10710.48
6/12/2002,11147.97
7/12/2002,10648.3
8/12/2002,9959.92
9/12/2002,9896.33
11/12/2002,9613.84
12/12/2002,9813.78
4/1/2003,8596.89
8/1/2003,10248.6
9/1/2003,10903.4
12/1/2003,12456.99
1/2/2003,9365.52
4/2/2003,8706.19
5/2/2003,8808.18
6/2/2003,9637.53
7/2/2003,9602.62
9/2/2003,10939.94
10/2/2003,11546.12
12/2/2003,12412.23
1/3/2003,9583.85
3/3/2003,9268.77
4/3/2003,8648.16
6/3/2003,9662.82
7/3/2003,9646.1
9/3/2003,11102.36
10/3/2003,11608.72
11/3/2003,12386.81
12/3/2003,12361.18
2/4/2003,9252.71
3/4/2003,9181.89
4/4/2003,8822.45
7/4/2003,9636.81
8/4/2003,10183.14
9/4/2003,11138.62
11/4/2003,12440.72
12/4/2003,12342.65
2/5/2003,9180.47
3/5/2003,9109.18
5/5/2003,8916.49
6/5/2003,9639.01
8/5/2003,10177.38
9/5/2003,11170.61
11/5/2003,12438.92
12/5/2003,12314.73
1/6/2003,9665.96
2/6/2003,9126.15
3/6/2003,8962.26
5/6/2003,8889.22
6/6/2003,9694.63
8/6/2003,9987.54
10/6/2003,11734.48
11/6/2003,12150.09
1/7/2003,9652.4
2/7/2003,9150.95
3/7/2003,8907.1
4/7/2003,8962.21
5/7/2003,8901.05
7/7/2003,9892.4
8/7/2003,9958.05
10/7/2003,11723.92
11/7/2003,12215.17
1/8/2003,9688.21
4/8/2003,8806.66
7/8/2003,9992.87
8/8/2003,9945.22
9/8/2003,11165.28
10/8/2003,11720.8
12/8/2003,12177.44
1/9/2003,9675.41
4/9/2003,8636.85
5/9/2003,9084.16
6/9/2003,9733.51
7/9/2003,10027.41
9/9/2003,11046.82
10/9/2003,11800.37
12/9/2003,12393.64
1/10/2003,9721.5
2/10/2003,9232.14
3/10/2003,8861.87
4/10/2003,8625.72
6/10/2003,9703.72
7/10/2003,9983.31
9/10/2003,10810.31
10/10/2003,11935.83
11/10/2003,12156.68
12/10/2003,12398.38
2/11/2003,9194.91
3/11/2003,8859.93
4/11/2003,8645.65
6/11/2003,9662.06
7/11/2003,9911.5
8/11/2003,10093.54
9/11/2003,10883.52
11/11/2003,12003.62
12/11/2003,12554.58
2/12/2003,9314.9
3/12/2003,8874.99
5/12/2003,9155.57
6/12/2003,9736.84
8/12/2003,10184.17
11/12/2003,11971.48
12/12/2003,12594.42
3/1/2004,13918.65
4/1/2004,12676.25
6/1/2004,12105.55
9/1/2004,13023.87
11/1/2004,13094.25
12/1/2004,14162.8
1/2/2004,12801.48
2/2/2004,12999.98
3/2/2004,13731.35
4/2/2004,12731.76
6/2/2004,12201.75
7/2/2004,12220.13
8/2/2004,12201.39
9/2/2004,12999.07
11/2/2004,13308.74
12/2/2004,14261.79
2/3/2004,13090.01
3/3/2004,13454.09
5/3/2004,11950.62
6/3/2004,11929.93
8/3/2004,12357.12
9/3/2004,12948.1
11/3/2004,13397.67
12/3/2004,14211.84
2/4/2004,13086.73
3/4/2004,13451.56
5/4/2004,12098.3
6/4/2004,12022.64
8/4/2004,12280.26
10/4/2004,13359.25
11/4/2004,13369.09
1/5/2004,13005.33
2/5/2004,13030.94
3/5/2004,13454.76
5/5/2004,11950.46
7/5/2004,12252.11
8/5/2004,12491.92
10/5/2004,13331.1
