"基金名稱","亞洲債券基金"	
"貨幣","HKD"	
"成立日期","2011/09/23"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2016/01/01","101.16"	
"2016/01/02","101.16"	
"2016/01/03","101.16"	
"2016/01/04","100.78"	
"2016/01/05","100.68"	
"2016/01/06","100.49"	
"2016/01/07","100.58"	
"2016/01/08","100.3"	
"2016/01/09","100.3"	
"2016/01/10","100.3"	
"2016/01/11","100.39"	
"2016/01/12","100.2"	
"2016/01/13","100.57"	
"2016/01/14","100.57"	
"2016/01/15","100.47"	
"2016/01/16","100.47"	
"2016/01/17","100.47"	
"2016/01/18","100.56"	
"2016/01/19","100.65"	
"2016/01/20","99.91"	
"2016/01/21","100.28"	
"2016/01/22","100.74"	
"2016/01/23","100.74"	
"2016/01/24","100.74"	
"2016/01/25","100.83"	
"2016/01/26","100.92"	
"2016/01/27","101.02"	
"2016/01/28","101.01"	
"2016/01/29","101.48"	
"2016/01/30","101.48"	
"2016/01/31","101.48"	
"2016/02/01","101.76"	
"2016/02/02","101.47"	
"2016/02/03","101.47"	
"2016/02/04","102.22"	
"2016/02/05","102.03"	
"2016/02/06","102.03"	
"2016/02/07","102.03"	
"2016/02/08","102.03"	
"2016/02/09","102.03"	
"2016/02/10","102.03"	
"2016/02/11","102.76"	
"2016/02/12","102.39"	
"2016/02/13","102.39"	
"2016/02/14","102.39"	
"2016/02/15","102.48"	
"2016/02/16","102.2"	
"2016/02/17","102.1"	
"2016/02/18","102.1"	
"2016/02/19","101.91"	
"2016/02/20","101.91"	
"2016/02/21","101.91"	
"2016/02/22","102.28"	
"2016/02/23","102.19"	
"2016/02/24","102.09"	
"2016/02/25","102.18"	
"2016/02/26","102.28"	
"2016/02/27","102.28"	
"2016/02/28","102.28"	
"2016/02/29","102.18"	
"2016/03/01","102.46"	
"2016/03/02","102.64"	
"2016/03/03","102.92"	
"2016/03/04","103.2"	
"2016/03/05","103.2"	
"2016/03/06","103.2"	
"2016/03/07","103.28"	
"2016/03/08","103.28"	
"2016/03/09","103.47"	
"2016/03/10","103.37"	
"2016/03/11","103.65"	
"2016/03/12","103.65"	
"2016/03/13","103.65"	
"2016/03/14","103.46"	
"2016/03/15","103.27"	
"2016/03/16","103.18"	
"2016/03/17","104.67"	
"2016/03/18","104.76"	
"2016/03/19","104.76"	
"2016/03/20","104.76"	
"2016/03/21","104.66"	
"2016/03/22","104.75"	
"2016/03/23","104.28"	
"2016/03/24","104.19"	
"2016/03/25","104.19"	
"2016/03/26","104.19"	
"2016/03/27","104.19"	
"2016/03/28","104.19"	
"2016/03/29","104.46"	
"2016/03/30","105.39"	
"2016/03/31","105.86"	
"2016/04/01","105.57"	
"2016/04/02","105.57"	
"2016/04/03","105.57"	
"2016/04/04","105.57"	
"2016/04/05","105.38"	
"2016/04/06","105.38"	
"2016/04/07","105.38"	
"2016/04/08","105.56"	
"2016/04/09","105.56"	
"2016/04/10","105.56"	
"2016/04/11","105.84"	
"2016/04/12","105.83"	
"2016/04/13","105.74"	
"2016/04/14","105.46"	
"2016/04/15","105.55"	
"2016/04/16","105.55"	
"2016/04/17","105.55"	
"2016/04/18","105.73"	
"2016/04/19","106.19"	
"2016/04/20","106.28"	
"2016/04/21","105.72"	
"2016/04/22","105.44"	
"2016/04/23","105.44"	
"2016/04/24","105.44"	
"2016/04/25","105.34"	
"2016/04/26","105.15"	
"2016/04/27","104.96"	
"2016/04/28","105.62"	
"2016/04/29","105.71"	
"2016/04/30","105.71"	
"2016/05/01","105.71"	
"2016/05/02","105.71"	
"2016/05/03","105.42"	
"2016/05/04","105.04"	
"2016/05/05","105.04"	
"2016/05/06","104.95"	
"2016/05/07","104.95"	
"2016/05/08","104.95"	
"2016/05/09","104.76"	
"2016/05/10","104.66"	
"2016/05/11","104.94"	
"2016/05/12","104.94"	
"2016/05/13","104.66"	
"2016/05/14","104.66"	
"2016/05/15","104.66"	
"2016/05/16","104.74"	
"2016/05/17","104.74"	
"2016/05/18","104.27"	
"2016/05/19","103.71"	
"2016/05/20","103.9"	
"2016/05/21","103.9"	
"2016/05/22","103.9"	
"2016/05/23","103.99"	
"2016/05/24","103.71"	
"2016/05/25","103.8"	
"2016/05/26","104.07"	
"2016/05/27","104.07"	
"2016/05/28","104.07"	
"2016/05/29","104.07"	
"2016/05/30","103.7"	
"2016/05/31","103.69"	
"2016/06/01","103.79"	
"2016/06/02","103.88"	
"2016/06/03","104.34"	
"2016/06/04","104.34"	
"2016/06/05","104.34"	
"2016/06/06","104.99"	
"2016/06/07","105.27"	
"2016/06/08","105.55"	
"2016/06/09","105.55"	
"2016/06/10","105.64"	
"2016/06/11","105.64"	
"2016/06/12","105.64"	
"2016/06/13","105.63"	
"2016/06/14","105.44"	
"2016/06/15","105.44"	
"2016/06/16","105.44"	
"2016/06/17","105.44"	
"2016/06/18","105.44"	
"2016/06/19","105.44"	
"2016/06/20","105.71"	
"2016/06/21","105.8"	
"2016/06/22","105.89"	
"2016/06/23","106.08"	
"2016/06/24","105.98"	
"2016/06/25","105.98"	
"2016/06/26","105.98"	
"2016/06/27","105.7"	
"2016/06/28","106.07"	
"2016/06/29","106.44"	
"2016/06/30","106.44"	
"2016/07/01","106.44"	
"2016/07/02","106.44"	
"2016/07/03","106.44"	
"2016/07/04","107.08"	
"2016/07/05","106.89"	
"2016/07/06","106.8"	
"2016/07/07","107.08"	
"2016/07/08","107.17"	
"2016/07/09","107.17"	
"2016/07/10","107.17"	
"2016/07/11","107.44"	
"2016/07/12","107.34"	
"2016/07/13","107.34"	
"2016/07/14","107.53"	
"2016/07/15","107.34"	
"2016/07/16","107.34"	
"2016/07/17","107.34"	
"2016/07/18","107.24"	
"2016/07/19","107.05"	
"2016/07/20","106.86"	
"2016/07/21","106.77"	
"2016/07/22","106.77"	
"2016/07/23","106.77"	
"2016/07/24","106.77"	
"2016/07/25","106.58"	
"2016/07/26","106.85"	
"2016/07/27","106.76"	
"2016/07/28","107.22"	
"2016/07/29","107.6"	
"2016/07/30","107.6"	
"2016/07/31","107.6"	
"2016/08/01","107.87"	
"2016/08/02","107.87"	
"2016/08/03","107.41"	
"2016/08/04","107.5"	
"2016/08/05","107.68"	
"2016/08/06","107.68"	
"2016/08/07","107.68"	
"2016/08/08","107.58"	
"2016/08/09","107.67"	
"2016/08/10","108.32"	
"2016/08/11","108.23"	
"2016/08/12","108.04"	
"2016/08/13","108.04"	
"2016/08/14","108.04"	
"2016/08/15","108.22"	
"2016/08/16","108.4"	
"2016/08/17","108.03"	
"2016/08/18","108.21"	
"2016/08/19","107.84"	
"2016/08/20","107.84"	
"2016/08/21","107.84"	
"2016/08/22","107.56"	
"2016/08/23","107.84"	
"2016/08/24","107.74"	
"2016/08/25","107.93"	
"2016/08/26","108.02"	
"2016/08/27","108.02"	
"2016/08/28","108.02"	
"2016/08/29","107.45"	
"2016/08/30","107.45"	
"2016/08/31","107.54"	
"2016/09/01","107.45"	
"2016/09/02","107.44"	
"2016/09/03","107.44"	
"2016/09/04","107.44"	
"2016/09/05","107.62"	
"2016/09/06","107.9"	
"2016/09/07","108.36"	
"2016/09/08","108.45"	
"2016/09/09","107.8"	
"2016/09/10","107.8"	
"2016/09/11","107.8"	
"2016/09/12","107.24"	
"2016/09/13","107.05"	
"2016/09/14","106.77"	
"2016/09/15","106.86"	
"2016/09/16","106.86"	
"2016/09/17","106.86"	
"2016/09/18","106.86"	
"2016/09/19","106.94"	
"2016/09/20","106.94"	
"2016/09/21","106.94"	
"2016/09/22","107.59"	
"2016/09/23","107.49"	
"2016/09/24","107.49"	
