"基金名稱","全球基金"	
"貨幣","HKD"	
"成立日期","2007/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2014/01/01","109.22"	
"2014/01/02","107.6"	
"2014/01/03","107.61"	
"2014/01/04","107.61"	
"2014/01/05","107.61"	
"2014/01/06","107.33"	
"2014/01/07","107.89"	
"2014/01/08","107.76"	
"2014/01/09","107.61"	
"2014/01/10","108.35"	
"2014/01/11","108.35"	
"2014/01/12","108.35"	
"2014/01/13","107.11"	
"2014/01/14","108.11"	
"2014/01/15","108.59"	
"2014/01/16","108.31"	
"2014/01/17","107.95"	
"2014/01/18","107.95"	
"2014/01/19","107.95"	
"2014/01/20","107.96"	
"2014/01/21","108.17"	
"2014/01/22","108.37"	
"2014/01/23","107.28"	
"2014/01/24","104.78"	
"2014/01/25","104.78"	
"2014/01/26","104.78"	
"2014/01/27","104.31"	
"2014/01/28","105.03"	
"2014/01/29","103.82"	
"2014/01/30","104.78"	
"2014/01/31","104.78"	
"2014/02/01","104.78"	
"2014/02/02","104.78"	
"2014/02/03","104.78"	
"2014/02/04","102.5"	
"2014/02/05","102.41"	
"2014/02/06","104.12"	
"2014/02/07","105.37"	
"2014/02/08","105.37"	
"2014/02/09","105.37"	
"2014/02/10","105.15"	
"2014/02/11","106.61"	
"2014/02/12","106.53"	
"2014/02/13","107.01"	
"2014/02/14","107.56"	
"2014/02/15","107.56"	
"2014/02/16","107.56"	
"2014/02/17","107.55"	
"2014/02/18","107.64"	
"2014/02/19","106.91"	
"2014/02/20","107.48"	
"2014/02/21","107.6"	
"2014/02/22","107.6"	
"2014/02/23","107.6"	
"2014/02/24","108.16"	
"2014/02/25","107.96"	
"2014/02/26","107.74"	
"2014/02/27","108.53"	
"2014/02/28","108.53"	
"2014/03/01","108.53"	
"2014/03/02","108.53"	
"2014/03/03","107.12"	
"2014/03/04","108.92"	
"2014/03/05","108.9"	
"2014/03/06","109.63"	
"2014/03/07","109.1"	
"2014/03/08","109.1"	
"2014/03/09","109.1"	
"2014/03/10","108.64"	
"2014/03/11","108.04"	
"2014/03/12","108.01"	
"2014/03/13","106.51"	
"2014/03/14","106.26"	
"2014/03/15","106.26"	
"2014/03/16","106.26"	
"2014/03/17","107.35"	
"2014/03/18","108.27"	
"2014/03/19","107.46"	
"2014/03/20","108.02"	
"2014/03/21","107.77"	
"2014/03/22","107.77"	
"2014/03/23","107.77"	
"2014/03/24","107.74"	
"2014/03/25","108.32"	
"2014/03/26","108.02"	
"2014/03/27","108.64"	
"2014/03/28","109.19"	
"2014/03/29","109.19"	
"2014/03/30","109.19"	
"2014/03/31","109.99"	
"2014/04/01","110.69"	
"2014/04/02","111.25"	
"2014/04/03","110.86"	
"2014/04/04","110.21"	
"2014/04/05","110.21"	
"2014/04/06","110.21"	
"2014/04/07","109.77"	
"2014/04/08","109.98"	
"2014/04/09","111.03"	
"2014/04/10","109.0"	
"2014/04/11","108.44"	
"2014/04/12","108.44"	
"2014/04/13","108.44"	
"2014/04/14","109.07"	
"2014/04/15","108.96"	
"2014/04/16","110.18"	
"2014/04/17","110.66"	
"2014/04/18","110.66"	
"2014/04/19","110.66"	
"2014/04/20","110.66"	
"2014/04/21","110.66"	
"2014/04/22","111.16"	
"2014/04/23","110.91"	
"2014/04/24","111.16"	
"2014/04/25","110.27"	
"2014/04/26","110.27"	
"2014/04/27","110.27"	
"2014/04/28","110.59"	
"2014/04/29","111.24"	
"2014/04/30","111.52"	
"2014/05/01","111.52"	
"2014/05/02","111.84"	
"2014/05/03","111.84"	
"2014/05/04","111.84"	
"2014/05/05","111.78"	
"2014/05/06","111.78"	
"2014/05/07","111.95"	
"2014/05/08","111.76"	
"2014/05/09","111.77"	
"2014/05/10","111.77"	
"2014/05/11","111.77"	
"2014/05/12","112.77"	
"2014/05/13","112.91"	
"2014/05/14","112.63"	
"2014/05/15","111.7"	
"2014/05/16","112.17"	
"2014/05/17","112.17"	
"2014/05/18","112.17"	
"2014/05/19","112.09"	
"2014/05/20","111.22"	
"2014/05/21","112.09"	
"2014/05/22","112.35"	
"2014/05/23","112.55"	
"2014/05/24","112.55"	
"2014/05/25","112.55"	
"2014/05/26","112.54"	
"2014/05/27","112.93"	
"2014/05/28","112.91"	
"2014/05/29","113.4"	
"2014/05/30","113.06"	
"2014/05/31","113.06"	
"2014/06/01","113.06"	
"2014/06/02","113.06"	
"2014/06/03","113.17"	
"2014/06/04","113.06"	
"2014/06/05","113.87"	
"2014/06/06","114.81"	
"2014/06/07","114.81"	
"2014/06/08","114.81"	
"2014/06/09","115.15"	
"2014/06/10","115.09"	
"2014/06/11","114.78"	
"2014/06/12","114.15"	
"2014/06/13","114.45"	
"2014/06/14","114.45"	
"2014/06/15","114.45"	
"2014/06/16","114.41"	
"2014/06/17","114.33"	
"2014/06/18","115.46"	
"2014/06/19","115.6"	
"2014/06/20","115.68"	
"2014/06/21","115.68"	
"2014/06/22","115.68"	
"2014/06/23","115.54"	
"2014/06/24","114.45"	
"2014/06/25","114.67"	
"2014/06/26","114.67"	
"2014/06/27","114.82"	
"2014/06/28","114.82"	
"2014/06/29","114.82"	
"2014/06/30","114.69"	
"2014/07/01","114.69"	
"2014/07/02","115.47"	
"2014/07/03","116.04"	
"2014/07/04","116.05"	
"2014/07/05","116.05"	
"2014/07/06","116.05"	
"2014/07/07","115.53"	
"2014/07/08","114.72"	
"2014/07/09","115.41"	
"2014/07/10","114.73"	
"2014/07/11","114.92"	
"2014/07/12","114.92"	
"2014/07/13","114.92"	
"2014/07/14","115.78"	
"2014/07/15","115.64"	
"2014/07/16","116.1"	
"2014/07/17","114.68"	
"2014/07/18","116.02"	
"2014/07/19","116.02"	
"2014/07/20","116.02"	
"2014/07/21","115.93"	
"2014/07/22","116.52"	
"2014/07/23","116.51"	
"2014/07/24","116.75"	
"2014/07/25","116.22"	
"2014/07/26","116.22"	
"2014/07/27","116.22"	
"2014/07/28","116.24"	
"2014/07/29","115.73"	
"2014/07/30","115.48"	
"2014/07/31","113.27"	
"2014/08/01","112.91"	
"2014/08/02","112.91"	
"2014/08/03","112.91"	
"2014/08/04","113.69"	
"2014/08/05","112.45"	
"2014/08/06","112.49"	
"2014/08/07","111.66"	
"2014/08/08","112.51"	
"2014/08/09","112.51"	
"2014/08/10","112.51"	
"2014/08/11","113.2"	
"2014/08/12","113.06"	
"2014/08/13","113.49"	
"2014/08/14","114.02"	
"2014/08/15","114.19"	
"2014/08/16","114.19"	
"2014/08/17","114.19"	
"2014/08/18","115.13"	
"2014/08/19","115.73"	
"2014/08/20","115.83"	
"2014/08/21","116.18"	
"2014/08/22","115.7"	
"2014/08/23","115.7"	
"2014/08/24","115.7"	
"2014/08/25","116.45"	
"2014/08/26","116.63"	
"2014/08/27","117.02"	
"2014/08/28","116.65"	
"2014/08/29","117.15"	
"2014/08/30","117.15"	
"2014/08/31","117.15"	
"2014/09/01","117.14"	
"2014/09/02","117.36"	
"2014/09/03","117.7"	
"2014/09/04","117.15"	
"2014/09/05","117.53"	
"2014/09/06","117.53"	
"2014/09/07","117.53"	
"2014/09/08","116.52"	
"2014/09/09","116.52"	
"2014/09/10","115.98"	
"2014/09/11","115.82"	
"2014/09/12","114.93"	
"2014/09/13","114.93"	
"2014/09/14","114.93"	
"2014/09/15","115.0"	
"2014/09/16","116.04"	
"2014/09/17","115.64"	
"2014/09/18","116.09"	
"2014/09/19","115.67"	
"2014/09/20","115.67"	
"2014/09/21","115.67"	
"2014/09/22","114.69"	
"2014/09/23","113.89"	
"2014/09/24","114.58"	
"2014/09/25","112.63"	
"2014/09/26","113.63"	
"2014/09/27","113.63"	
"2014/09/28","113.63"	
"2014/09/29","112.45"	
"2014/09/30","112.21"	
"2014/10/01","112.21"	
"2014/10/02","112.21"	
"2014/10/03","111.11"	
"2014/10/04","111.11"	
"2014/10/05","111.11"	
"2014/10/06","111.98"	
"2014/10/07","110.55"	
"2014/10/08","112.23"	
"2014/10/09","109.99"	
"2014/10/10","108.25"	
"2014/10/11","108.25"	
"2014/10/12","108.25"	
"2014/10/13","107.84"	
"2014/10/14","108.05"	
"2014/10/15","106.74"	
"2014/10/16","106.02"	
"2014/10/17","107.78"	
"2014/10/18","107.78"	
"2014/10/19","107.78"	
"2014/10/20","108.16"	
"2014/10/21","109.38"	
"2014/10/22","108.58"	
"2014/10/23","109.22"	
"2014/10/24","110.27"	
"2014/10/25","110.27"	
"2014/10/26","110.27"	
"2014/10/27","109.48"	
"2014/10/28","111.22"	
"2014/10/29","110.78"	
"2014/10/30","111.93"	
"2014/10/31","113.34"	
"2014/11/01","113.34"	
"2014/11/02","113.34"	
"2014/11/03","112.79"	
"2014/11/04","112.44"	
"2014/11/05","112.79"	
"2014/11/06","112.41"	
"2014/11/07","112.71"	
"2014/11/08","112.71"	
"2014/11/09","112.71"	
"2014/11/10","112.83"	
"2014/11/11","113.08"	
"2014/11/12","112.72"	
"2014/11/13","112.67"	
"2014/11/14","112.67"	
"2014/11/15","112.67"	
"2014/11/16","112.67"	
"2014/11/17","112.47"	
"2014/11/18","113.47"	
"2014/11/19","113.6"	
"2014/11/20","113.54"	
"2014/11/21","115.02"	
"2014/11/22","115.02"	
"2014/11/23","115.02"	
"2014/11/24","115.02"	
"2014/11/25","115.05"	
"2014/11/26","115.44"	
"2014/11/27","115.43"	
"2014/11/28","114.46"	
"2014/11/29","114.46"	
"2014/11/30","114.46"	
"2014/12/01","113.46"	
"2014/12/02","113.77"	
"2014/12/03","114.06"	
"2014/12/04","113.61"	
"2014/12/05","113.83"	
"2014/12/06","113.83"	
"2014/12/07","113.83"	
"2014/12/08","112.65"	
"2014/12/09","112.38"	
"2014/12/10","110.51"	
"2014/12/11","110.62"	
"2014/12/12","108.59"	
"2014/12/13","108.59"	
"2014/12/14","108.59"	
"2014/12/15","107.19"	
"2014/12/16","106.83"	
"2014/12/17","108.67"	
"2014/12/18","111.37"	
"2014/12/19","111.75"	
"2014/12/20","111.75"	
"2014/12/21","111.75"	
"2014/12/22","112.21"	
"2014/12/23","112.23"	
"2014/12/24","112.46"	
"2014/12/25","112.46"	
"2014/12/26","112.46"	
"2014/12/27","112.46"	
"2014/12/28","112.46"	
"2014/12/29","112.55"	
"2014/12/30","111.89"	
"2014/12/31","110.97"	
