"基金名稱","強積金保守基金"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2015/01/01","111.34"	
"2015/01/02","111.34"	
"2015/01/03","111.34"	
"2015/01/04","111.34"	
"2015/01/05","111.34"	
"2015/01/06","111.34"	
"2015/01/07","111.34"	
"2015/01/08","111.34"	
"2015/01/09","111.34"	
"2015/01/10","111.34"	
"2015/01/11","111.34"	
"2015/01/12","111.34"	
"2015/01/13","111.34"	
"2015/01/14","111.34"	
"2015/01/15","111.34"	
"2015/01/16","111.34"	
"2015/01/17","111.34"	
"2015/01/18","111.34"	
"2015/01/19","111.34"	
"2015/01/20","111.34"	
"2015/01/21","111.34"	
"2015/01/22","111.34"	
"2015/01/23","111.34"	
"2015/01/24","111.34"	
"2015/01/25","111.34"	
"2015/01/26","111.34"	
"2015/01/27","111.34"	
"2015/01/28","111.34"	
"2015/01/29","111.34"	
"2015/01/30","111.35"	
"2015/01/31","111.35"	
"2015/02/01","111.35"	
"2015/02/02","111.35"	
"2015/02/03","111.35"	
"2015/02/04","111.35"	
"2015/02/05","111.35"	
"2015/02/06","111.35"	
"2015/02/07","111.35"	
"2015/02/08","111.35"	
"2015/02/09","111.35"	
"2015/02/10","111.35"	
"2015/02/11","111.35"	
"2015/02/12","111.35"	
"2015/02/13","111.35"	
"2015/02/14","111.35"	
"2015/02/15","111.35"	
"2015/02/16","111.35"	
"2015/02/17","111.35"	
"2015/02/18","111.35"	
"2015/02/19","111.35"	
"2015/02/20","111.35"	
"2015/02/21","111.35"	
"2015/02/22","111.35"	
"2015/02/23","111.35"	
"2015/02/24","111.35"	
"2015/02/25","111.35"	
"2015/02/26","111.35"	
"2015/02/27","111.36"	
"2015/02/28","111.36"	
"2015/03/01","111.36"	
"2015/03/02","111.36"	
"2015/03/03","111.36"	
"2015/03/04","111.36"	
"2015/03/05","111.36"	
"2015/03/06","111.36"	
"2015/03/07","111.36"	
"2015/03/08","111.36"	
"2015/03/09","111.36"	
"2015/03/10","111.36"	
"2015/03/11","111.36"	
"2015/03/12","111.36"	
"2015/03/13","111.36"	
"2015/03/14","111.36"	
"2015/03/15","111.36"	
"2015/03/16","111.36"	
"2015/03/17","111.36"	
"2015/03/18","111.36"	
"2015/03/19","111.36"	
"2015/03/20","111.36"	
"2015/03/21","111.36"	
"2015/03/22","111.36"	
"2015/03/23","111.36"	
"2015/03/24","111.36"	
"2015/03/25","111.36"	
"2015/03/26","111.36"	
"2015/03/27","111.36"	
"2015/03/28","111.36"	
"2015/03/29","111.36"	
"2015/03/30","111.36"	
"2015/03/31","111.37"	
"2015/04/01","111.37"	
"2015/04/02","111.37"	
"2015/04/03","111.37"	
"2015/04/04","111.37"	
"2015/04/05","111.37"	
"2015/04/06","111.37"	
"2015/04/07","111.37"	
"2015/04/08","111.37"	
"2015/04/09","111.37"	
"2015/04/10","111.37"	
"2015/04/11","111.37"	
"2015/04/12","111.37"	
"2015/04/13","111.37"	
"2015/04/14","111.37"	
"2015/04/15","111.37"	
"2015/04/16","111.37"	
"2015/04/17","111.37"	
"2015/04/18","111.37"	
