"基金名稱","強積金保守基金"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2005/01/01","102.99"	
"2005/01/02","102.99"	
"2005/01/03","102.99"	
"2005/01/04","102.99"	
"2005/01/05","102.99"	
"2005/01/06","102.99"	
"2005/01/07","102.99"	
"2005/01/08","102.99"	
"2005/01/09","102.99"	
"2005/01/10","102.99"	
"2005/01/11","102.99"	
"2005/01/12","102.99"	
"2005/01/13","102.99"	
"2005/01/14","102.99"	
"2005/01/15","102.99"	
"2005/01/16","102.99"	
"2005/01/17","102.99"	
"2005/01/18","102.99"	
"2005/01/19","102.99"	
"2005/01/20","102.99"	
"2005/01/21","102.99"	
"2005/01/22","102.99"	
"2005/01/23","102.99"	
"2005/01/24","102.99"	
"2005/01/25","103.0"	
"2005/01/26","103.0"	
"2005/01/27","103.0"	
"2005/01/28","103.0"	
"2005/01/29","103.0"	
"2005/01/30","103.0"	
"2005/01/31","103.0"	
"2005/02/01","103.0"	
"2005/02/02","103.0"	
"2005/02/03","103.0"	
"2005/02/04","103.0"	
"2005/02/05","103.0"	
"2005/02/06","103.0"	
"2005/02/07","103.0"	
"2005/02/08","103.0"	
"2005/02/09","103.0"	
"2005/02/10","103.0"	
"2005/02/11","103.0"	
"2005/02/12","103.0"	
"2005/02/13","103.0"	
"2005/02/14","103.0"	
"2005/02/15","103.0"	
"2005/02/16","103.0"	
"2005/02/17","103.0"	
"2005/02/18","103.0"	
"2005/02/19","103.0"	
"2005/02/20","103.0"	
"2005/02/21","103.0"	
"2005/02/22","103.0"	
"2005/02/23","103.0"	
"2005/02/24","103.0"	
"2005/02/25","103.01"	
"2005/02/26","103.01"	
"2005/02/27","103.01"	
"2005/02/28","103.01"	
"2005/03/01","103.01"	
"2005/03/02","103.01"	
"2005/03/03","103.01"	
"2005/03/04","103.01"	
"2005/03/05","103.01"	
"2005/03/06","103.01"	
"2005/03/07","103.01"	
"2005/03/08","103.01"	
"2005/03/09","103.01"	
"2005/03/10","103.01"	
"2005/03/11","103.01"	
"2005/03/12","103.01"	
"2005/03/13","103.01"	
"2005/03/14","103.01"	
"2005/03/15","103.01"	
"2005/03/16","103.01"	
"2005/03/17","103.01"	
"2005/03/18","103.01"	
"2005/03/19","103.01"	
"2005/03/20","103.01"	
"2005/03/21","103.01"	
"2005/03/22","103.01"	
"2005/03/23","103.01"	
"2005/03/24","103.02"	
"2005/03/25","103.02"	
"2005/03/26","103.02"	
"2005/03/27","103.02"	
"2005/03/28","103.02"	
"2005/03/29","103.02"	
"2005/03/30","103.02"	
"2005/03/31","103.02"	
"2005/04/01","103.02"	
"2005/04/02","103.02"	
"2005/04/03","103.02"	
"2005/04/04","103.02"	
"2005/04/05","103.02"	
"2005/04/06","103.02"	
"2005/04/07","103.03"	
"2005/04/08","103.03"	
"2005/04/09","103.03"	
"2005/04/10","103.03"	
"2005/04/11","103.03"	
"2005/04/12","103.03"	
"2005/04/13","103.03"	
"2005/04/14","103.03"	
"2005/04/15","103.03"	
"2005/04/16","103.03"	
"2005/04/17","103.03"	
"2005/04/18","103.04"	
