"基金名稱","強積金保守基金"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2001/01/01","100.41"	
"2001/01/02","100.41"	
"2001/01/03","100.42"	
"2001/01/04","100.43"	
"2001/01/05","100.45"	
"2001/01/06","100.48"	
"2001/01/07","100.48"	
"2001/01/08","100.48"	
"2001/01/09","100.49"	
"2001/01/10","100.51"	
"2001/01/11","100.52"	
"2001/01/12","100.53"	
"2001/01/13","100.57"	
"2001/01/14","100.57"	
"2001/01/15","100.57"	
"2001/01/16","100.58"	
"2001/01/17","100.59"	
"2001/01/18","100.6"	
"2001/01/19","100.61"	
"2001/01/20","100.65"	
"2001/01/21","100.65"	
"2001/01/22","100.65"	
"2001/01/23","100.66"	
"2001/01/24","100.73"	
"2001/01/25","100.73"	
"2001/01/26","100.73"	
"2001/01/27","100.73"	
"2001/01/28","100.73"	
"2001/01/29","100.73"	
"2001/01/30","100.74"	
"2001/01/31","100.75"	
"2001/02/01","100.76"	
"2001/02/02","100.77"	
"2001/02/03","100.81"	
"2001/02/04","100.81"	
"2001/02/05","100.81"	
"2001/02/06","100.82"	
"2001/02/07","100.83"	
"2001/02/08","100.84"	
"2001/02/09","100.85"	
"2001/02/10","100.88"	
"2001/02/11","100.88"	
"2001/02/12","100.88"	
"2001/02/13","100.89"	
"2001/02/14","100.9"	
"2001/02/15","100.91"	
"2001/02/16","100.92"	
"2001/02/17","100.95"	
"2001/02/18","100.95"	
"2001/02/19","100.95"	
"2001/02/20","100.96"	
"2001/02/21","100.97"	
"2001/02/22","100.98"	
"2001/02/23","100.99"	
"2001/02/24","101.02"	
"2001/02/25","101.02"	
"2001/02/26","101.02"	
"2001/02/27","101.03"	
"2001/02/28","101.04"	
"2001/03/01","101.06"	
"2001/03/02","101.07"	
"2001/03/03","101.1"	
"2001/03/04","101.1"	
"2001/03/05","101.1"	
"2001/03/06","101.11"	
"2001/03/07","101.12"	
"2001/03/08","101.13"	
"2001/03/09","101.14"	
"2001/03/10","101.17"	
"2001/03/11","101.17"	
"2001/03/12","101.17"	
"2001/03/13","101.18"	
"2001/03/14","101.19"	
"2001/03/15","101.2"	
"2001/03/16","101.21"	
"2001/03/17","101.24"	
"2001/03/18","101.24"	
"2001/03/19","101.24"	
"2001/03/20","101.25"	
"2001/03/21","101.26"	
"2001/03/22","101.27"	
"2001/03/23","101.28"	
"2001/03/24","101.31"	
"2001/03/25","101.31"	
"2001/03/26","101.31"	
"2001/03/27","101.32"	
"2001/03/28","101.33"	
"2001/03/29","101.34"	
"2001/03/30","101.35"	
"2001/03/31","101.38"	
"2001/04/01","101.38"	
"2001/04/02","101.38"	
"2001/04/03","101.38"	
"2001/04/04","101.39"	
"2001/04/05","101.41"	
"2001/04/06","101.41"	
"2001/04/07","101.44"	
"2001/04/08","101.44"	
"2001/04/09","101.44"	
"2001/04/10","101.45"	
"2001/04/11","101.46"	
"2001/04/12","101.47"	
"2001/04/13","101.51"	
"2001/04/14","101.51"	
"2001/04/15","101.51"	
"2001/04/16","101.51"	
"2001/04/17","101.51"	
"2001/04/18","101.52"	
