"基金名稱","強積金保守基金"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2018/01/01","111.7"	
"2018/01/02","111.7"	
"2018/01/03","111.7"	
"2018/01/04","111.7"	
"2018/01/05","111.7"	
"2018/01/06","111.7"	
"2018/01/07","111.7"	
"2018/01/08","111.7"	
"2018/01/09","111.7"	
"2018/01/10","111.7"	
"2018/01/11","111.7"	
"2018/01/12","111.7"	
"2018/01/13","111.7"	
"2018/01/14","111.7"	
"2018/01/15","111.7"	
"2018/01/16","111.7"	
"2018/01/17","111.7"	
"2018/01/18","111.7"	
"2018/01/19","111.7"	
"2018/01/20","111.7"	
"2018/01/21","111.7"	
"2018/01/22","111.7"	
"2018/01/23","111.7"	
"2018/01/24","111.7"	
"2018/01/25","111.7"	
"2018/01/26","111.7"	
"2018/01/27","111.7"	
"2018/01/28","111.7"	
"2018/01/29","111.7"	
"2018/01/30","111.7"	
"2018/01/31","111.71"	
"2018/02/01","111.71"	
"2018/02/02","111.71"	
"2018/02/03","111.71"	
"2018/02/04","111.71"	
"2018/02/05","111.71"	
"2018/02/06","111.71"	
"2018/02/07","111.71"	
"2018/02/08","111.71"	
"2018/02/09","111.71"	
"2018/02/10","111.71"	
"2018/02/11","111.71"	
"2018/02/12","111.71"	
"2018/02/13","111.71"	
"2018/02/14","111.71"	
"2018/02/15","111.71"	
"2018/02/16","111.71"	
"2018/02/17","111.71"	
"2018/02/18","111.71"	
"2018/02/19","111.71"	
"2018/02/20","111.71"	
"2018/02/21","111.71"	
"2018/02/22","111.71"	
"2018/02/23","111.71"	
"2018/02/24","111.71"	
"2018/02/25","111.71"	
"2018/02/26","111.71"	
"2018/02/27","111.71"	
"2018/02/28","111.72"	
"2018/03/01","111.72"	
"2018/03/02","111.72"	
"2018/03/03","111.72"	
"2018/03/04","111.72"	
"2018/03/05","111.72"	
"2018/03/06","111.72"	
"2018/03/07","111.72"	
"2018/03/08","111.72"	
"2018/03/09","111.72"	
"2018/03/10","111.72"	
"2018/03/11","111.72"	
"2018/03/12","111.72"	
"2018/03/13","111.72"	
"2018/03/14","111.72"	
"2018/03/15","111.72"	
"2018/03/16","111.72"	
"2018/03/17","111.72"	
"2018/03/18","111.72"	
"2018/03/19","111.72"	
"2018/03/20","111.72"	
"2018/03/21","111.72"	
"2018/03/22","111.72"	
"2018/03/23","111.72"	
"2018/03/24","111.72"	
"2018/03/25","111.72"	
"2018/03/26","111.72"	
"2018/03/27","111.72"	
"2018/03/28","111.72"	
"2018/03/29","111.73"	
"2018/03/30","111.73"	
"2018/03/31","111.73"	
"2018/04/01","111.73"	
"2018/04/02","111.73"	
"2018/04/03","111.73"	
"2018/04/04","111.73"	
"2018/04/05","111.73"	
"2018/04/06","111.73"	
"2018/04/07","111.73"	
"2018/04/08","111.73"	
"2018/04/09","111.73"	
"2018/04/10","111.73"	
"2018/04/11","111.73"	
"2018/04/12","111.73"	
"2018/04/13","111.73"	
"2018/04/14","111.73"	
"2018/04/15","111.73"	
"2018/04/16","111.73"	
"2018/04/17","111.73"	
"2018/04/18","111.73"	
