"基金名稱","強積金保守基金"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2009/01/01","110.51"	
"2009/01/02","110.51"	
"2009/01/03","110.51"	
"2009/01/04","110.51"	
"2009/01/05","110.51"	
"2009/01/06","110.51"	
"2009/01/07","110.51"	
"2009/01/08","110.51"	
"2009/01/09","110.51"	
"2009/01/10","110.51"	
"2009/01/11","110.51"	
"2009/01/12","110.51"	
"2009/01/13","110.51"	
"2009/01/14","110.51"	
"2009/01/15","110.51"	
"2009/01/16","110.51"	
"2009/01/17","110.51"	
"2009/01/18","110.51"	
"2009/01/19","110.51"	
"2009/01/20","110.51"	
"2009/01/21","110.51"	
"2009/01/22","110.51"	
"2009/01/23","110.51"	
"2009/01/24","110.51"	
"2009/01/25","110.51"	
"2009/01/26","110.51"	
"2009/01/27","110.51"	
"2009/01/28","110.51"	
"2009/01/29","110.51"	
"2009/01/30","110.51"	
"2009/01/31","110.51"	
"2009/02/01","110.51"	
"2009/02/02","110.51"	
"2009/02/03","110.51"	
"2009/02/04","110.51"	
"2009/02/05","110.51"	
"2009/02/06","110.51"	
"2009/02/07","110.51"	
"2009/02/08","110.51"	
"2009/02/09","110.51"	
"2009/02/10","110.51"	
"2009/02/11","110.51"	
"2009/02/12","110.51"	
"2009/02/13","110.51"	
"2009/02/14","110.51"	
"2009/02/15","110.51"	
"2009/02/16","110.51"	
"2009/02/17","110.51"	
"2009/02/18","110.51"	
"2009/02/19","110.51"	
"2009/02/20","110.51"	
"2009/02/21","110.51"	
"2009/02/22","110.51"	
"2009/02/23","110.51"	
"2009/02/24","110.51"	
"2009/02/25","110.51"	
"2009/02/26","110.51"	
"2009/02/27","110.51"	
"2009/02/28","110.51"	
"2009/03/01","110.51"	
"2009/03/02","110.51"	
"2009/03/03","110.51"	
"2009/03/04","110.51"	
"2009/03/05","110.51"	
"2009/03/06","110.51"	
"2009/03/07","110.51"	
"2009/03/08","110.51"	
"2009/03/09","110.51"	
"2009/03/10","110.51"	
"2009/03/11","110.51"	
"2009/03/12","110.51"	
"2009/03/13","110.51"	
"2009/03/14","110.51"	
"2009/03/15","110.51"	
"2009/03/16","110.51"	
"2009/03/17","110.51"	
"2009/03/18","110.51"	
"2009/03/19","110.51"	
"2009/03/20","110.51"	
"2009/03/21","110.51"	
"2009/03/22","110.51"	
"2009/03/23","110.51"	
"2009/03/24","110.51"	
"2009/03/25","110.51"	
"2009/03/26","110.51"	
"2009/03/27","110.51"	
"2009/03/28","110.51"	
"2009/03/29","110.51"	
"2009/03/30","110.51"	
"2009/03/31","110.51"	
"2009/04/01","110.51"	
"2009/04/02","110.51"	
"2009/04/03","110.51"	
"2009/04/04","110.51"	
"2009/04/05","110.51"	
"2009/04/06","110.51"	
"2009/04/07","110.51"	
"2009/04/08","110.51"	
"2009/04/09","110.51"	
"2009/04/10","110.51"	
"2009/04/11","110.51"	
"2009/04/12","110.51"	
"2009/04/13","110.51"	
"2009/04/14","110.51"	
"2009/04/15","110.51"	
"2009/04/16","110.51"	
"2009/04/17","110.51"	
"2009/04/18","110.51"	
