"基金名稱","核心累積基金"	
"貨幣","HKD"	
"成立日期","2017/04/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2020/01/01","1.2012"	
"2020/01/02","1.2074"	
"2020/01/03","1.2043"	
"2020/01/04","1.2043"	
"2020/01/05","1.2043"	
"2020/01/06","1.2028"	
"2020/01/07","1.2029"	
"2020/01/08","1.2026"	
"2020/01/09","1.2064"	
"2020/01/10","1.2068"	
"2020/01/11","1.2068"	
"2020/01/12","1.2068"	
"2020/01/13","1.2096"	
"2020/01/14","1.2108"	
"2020/01/15","1.2119"	
"2020/01/16","1.2156"	
"2020/01/17","1.2179"	
"2020/01/18","1.2179"	
"2020/01/19","1.2179"	
"2020/01/20","1.2177"	
"2020/01/21","1.2162"	
"2020/01/22","1.2179"	
"2020/01/23","1.2172"	
"2020/01/24","1.2153"	
"2020/01/25","1.2153"	
"2020/01/26","1.2153"	
"2020/01/27","1.2153"	
"2020/01/28","1.2153"	
"2020/01/29","1.2103"	
"2020/01/30","1.2084"	
"2020/01/31","1.2004"	
"2020/02/01","1.2004"	
"2020/02/02","1.2004"	
"2020/02/03","1.203"	
"2020/02/04","1.2114"	
"2020/02/05","1.2166"	
"2020/02/06","1.2212"	
"2020/02/07","1.2189"	
"2020/02/08","1.2189"	
"2020/02/09","1.2189"	
"2020/02/10","1.2217"	
"2020/02/11","1.2238"	
"2020/02/12","1.2281"	
"2020/02/13","1.2264"	
"2020/02/14","1.2271"	
"2020/02/15","1.2271"	
"2020/02/16","1.2271"	
"2020/02/17","1.2271"	
"2020/02/18","1.2242"	
"2020/02/19","1.228"	
"2020/02/20","1.2265"	
"2020/02/21","1.2226"	
"2020/02/22","1.2226"	
"2020/02/23","1.2226"	
"2020/02/24","1.2034"	
"2020/02/25","1.1878"	
"2020/02/26","1.1833"	
"2020/02/27","1.1611"	
"2020/02/28","1.1521"	
"2020/02/29","1.1521"	
"2020/03/01","1.1521"	
"2020/03/02","1.1727"	
"2020/03/03","1.164"	
"2020/03/04","1.183"	
"2020/03/05","1.1702"	
"2020/03/06","1.1608"	
"2020/03/07","1.1608"	
"2020/03/08","1.1608"	
"2020/03/09","1.1174"	
"2020/03/10","1.1289"	
"2020/03/11","1.1037"	
"2020/03/12","1.0396"	
"2020/03/13","1.065"	
"2020/03/14","1.065"	
"2020/03/15","1.065"	
"2020/03/16","1.0071"	
"2020/03/17","1.0238"	
"2020/03/18","0.9881"	
"2020/03/19","0.9924"	
"2020/03/20","0.9872"	
"2020/03/21","0.9872"	
"2020/03/22","0.9872"	
"2020/03/23","0.9721"	
"2020/03/24","1.0182"	
"2020/03/25","1.0334"	
"2020/03/26","1.0644"	
"2020/03/27","1.0504"	
"2020/03/28","1.0504"	
"2020/03/29","1.0504"	
"2020/03/30","1.0648"	
"2020/03/31","1.0588"	
"2020/04/01","1.0364"	
"2020/04/02","1.0434"	
"2020/04/03","1.0352"	
"2020/04/04","1.0352"	
"2020/04/05","1.0352"	
"2020/04/06","1.0678"	
"2020/04/07","1.0727"	
"2020/04/08","1.0859"	
"2020/04/09","1.0969"	
"2020/04/10","1.0969"	
"2020/04/11","1.0969"	
"2020/04/12","1.0969"	
"2020/04/13","1.0969"	
"2020/04/14","1.1085"	
"2020/04/15","1.0955"	
"2020/04/16","1.0972"	
"2020/04/17","1.1143"	
"2020/04/18","1.1143"	
"2020/04/19","1.1143"	
"2020/04/20","1.1071"	
"2020/04/21","1.0869"	
"2020/04/22","1.0975"	
"2020/04/23","1.101"	
"2020/04/24","1.105"	
"2020/04/25","1.105"	
"2020/04/26","1.105"	
"2020/04/27","1.116"	
"2020/04/28","1.1178"	
"2020/04/29","1.1337"	
"2020/04/30","1.1337"	
"2020/05/01","1.1337"	
"2020/05/02","1.1337"	
"2020/05/03","1.1337"	
"2020/05/04","1.1101"	
"2020/05/05","1.1164"	
"2020/05/06","1.112"	
"2020/05/07","1.1187"	
"2020/05/08","1.1304"	
"2020/05/09","1.1304"	
"2020/05/10","1.1304"	
"2020/05/11","1.1293"	
"2020/05/12","1.1222"	
"2020/05/13","1.1129"	
"2020/05/14","1.1128"	
"2020/05/15","1.1151"	
"2020/05/16","1.1151"	
"2020/05/17","1.1151"	
"2020/05/18","1.132"	
"2020/05/19","1.1313"	
"2020/05/20","1.1417"	
"2020/05/21","1.1373"	
"2020/05/22","1.135"	
"2020/05/23","1.135"	
"2020/05/24","1.135"	
"2020/05/25","1.1385"	
"2020/05/26","1.1478"	
"2020/05/27","1.1549"	
"2020/05/28","1.1583"	
"2020/05/29","1.1593"	
"2020/05/30","1.1593"	
"2020/05/31","1.1593"	
"2020/06/01","1.1646"	
"2020/06/02","1.1723"	
"2020/06/03","1.1825"	
"2020/06/04","1.1815"	
"2020/06/05","1.1953"	
"2020/06/06","1.1953"	
"2020/06/07","1.1953"	
"2020/06/08","1.2026"	
"2020/06/09","1.2"	
"2020/06/10","1.1988"	
"2020/06/11","1.1677"	
"2020/06/12","1.169"	
"2020/06/13","1.169"	
"2020/06/14","1.169"	
"2020/06/15","1.1688"	
"2020/06/16","1.1839"	
"2020/06/17","1.1842"	
"2020/06/18","1.1842"	
"2020/06/19","1.1828"	
"2020/06/20","1.1828"	
"2020/06/21","1.1828"	
"2020/06/22","1.1859"	
"2020/06/23","1.1918"	
"2020/06/24","1.1761"	
"2020/06/25","1.1761"	
"2020/06/26","1.17"	
"2020/06/27","1.17"	
"2020/06/28","1.17"	
"2020/06/29","1.175"	
"2020/06/30","1.1819"	
"2020/07/01","1.1819"	
"2020/07/02","1.1907"	
"2020/07/03","1.1915"	
"2020/07/04","1.1915"	
"2020/07/05","1.1915"	
"2020/07/06","1.204"	
"2020/07/07","1.1981"	
"2020/07/08","1.2017"	
"2020/07/09","1.1999"	
"2020/07/10","1.2045"	
"2020/07/11","1.2045"	
"2020/07/12","1.2045"	
"2020/07/13","1.2029"	
"2020/07/14","1.2075"	
"2020/07/15","1.216"	
"2020/07/16","1.2129"	
"2020/07/17","1.2142"	
"2020/07/18","1.2142"	
"2020/07/19","1.2142"	
"2020/07/20","1.2205"	
"2020/07/21","1.225"	
"2020/07/22","1.2269"	
"2020/07/23","1.2219"	
"2020/07/24","1.2156"	
"2020/07/25","1.2156"	
"2020/07/26","1.2156"	
"2020/07/27","1.2222"	
"2020/07/28","1.2201"	
"2020/07/29","1.2252"	
"2020/07/30","1.2215"	
"2020/07/31","1.2208"	
"2020/08/01","1.2208"	
"2020/08/02","1.2208"	
"2020/08/03","1.2254"	
"2020/08/04","1.2313"	
"2020/08/05","1.2368"	
"2020/08/06","1.2392"	
"2020/08/07","1.2367"	
"2020/08/08","1.2367"	
"2020/08/09","1.2367"	
"2020/08/10","1.2381"	
"2020/08/11","1.2366"	
"2020/08/12","1.2449"	
"2020/08/13","1.2436"	
"2020/08/14","1.2418"	
"2020/08/15","1.2418"	
"2020/08/16","1.2418"	
"2020/08/17","1.2452"	
"2020/08/18","1.2476"	
"2020/08/19","1.246"	
"2020/08/20","1.2434"	
"2020/08/21","1.245"	
"2020/08/22","1.245"	
"2020/08/23","1.245"	
"2020/08/24","1.2533"	
"2020/08/25","1.2535"	
"2020/08/26","1.2601"	
"2020/08/27","1.2578"	
"2020/08/28","1.2622"	
"2020/08/29","1.2622"	
"2020/08/30","1.2622"	
"2020/08/31","1.2607"	
"2020/09/01","1.2651"	
"2020/09/02","1.2743"	
"2020/09/03","1.2563"	
"2020/09/04","1.2463"	
"2020/09/05","1.2463"	
"2020/09/06","1.2463"	
"2020/09/07","1.2481"	
