"基金名稱","中港基金"	
"貨幣","HKD"	
"成立日期","2011/09/23"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2020/01/01","176.1"	
"2020/01/02","177.64"	
"2020/01/03","177.2"	
"2020/01/04","177.2"	
"2020/01/05","177.2"	
"2020/01/06","175.92"	
"2020/01/07","176.01"	
"2020/01/08","174.74"	
"2020/01/09","178.07"	
"2020/01/10","178.04"	
"2020/01/11","178.04"	
"2020/01/12","178.04"	
"2020/01/13","180.12"	
"2020/01/14","179.47"	
"2020/01/15","178.76"	
"2020/01/16","179.16"	
"2020/01/17","180.39"	
"2020/01/18","180.39"	
"2020/01/19","180.39"	
"2020/01/20","178.87"	
"2020/01/21","173.76"	
"2020/01/22","176.33"	
"2020/01/23","172.95"	
"2020/01/24","173.54"	
"2020/01/25","173.54"	
"2020/01/26","173.54"	
"2020/01/27","173.54"	
"2020/01/28","173.54"	
"2020/01/29","168.44"	
"2020/01/30","164.32"	
"2020/01/31","163.32"	
"2020/02/01","163.32"	
"2020/02/02","163.32"	
"2020/02/03","163.31"	
"2020/02/04","165.57"	
"2020/02/05","166.21"	
"2020/02/06","170.76"	
"2020/02/07","169.9"	
"2020/02/08","169.9"	
"2020/02/09","169.9"	
"2020/02/10","168.96"	
"2020/02/11","171.15"	
"2020/02/12","172.88"	
"2020/02/13","172.29"	
"2020/02/14","172.63"	
"2020/02/15","172.63"	
"2020/02/16","172.63"	
"2020/02/17","173.64"	
"2020/02/18","170.91"	
"2020/02/19","171.93"	
"2020/02/20","171.46"	
"2020/02/21","169.85"	
"2020/02/22","169.85"	
"2020/02/23","169.85"	
"2020/02/24","167.0"	
"2020/02/25","167.18"	
"2020/02/26","166.25"	
"2020/02/27","167.54"	
"2020/02/28","163.3"	
"2020/02/29","163.3"	
"2020/03/01","163.3"	
"2020/03/02","164.64"	
"2020/03/03","164.52"	
"2020/03/04","164.33"	
"2020/03/05","167.35"	
"2020/03/06","163.96"	
"2020/03/07","163.96"	
"2020/03/08","163.96"	
"2020/03/09","157.23"	
"2020/03/10","158.97"	
"2020/03/11","158.17"	
"2020/03/12","152.44"	
"2020/03/13","150.79"	
"2020/03/14","150.79"	
"2020/03/15","150.79"	
"2020/03/16","145.36"	
"2020/03/17","145.7"	
"2020/03/18","139.9"	
"2020/03/19","135.89"	
"2020/03/20","142.89"	
"2020/03/21","142.89"	
"2020/03/22","142.89"	
"2020/03/23","136.38"	
"2020/03/24","142.99"	
"2020/03/25","147.7"	
"2020/03/26","146.35"	
"2020/03/27","147.34"	
"2020/03/28","147.34"	
"2020/03/29","147.34"	
"2020/03/30","145.24"	
"2020/03/31","147.99"	
"2020/04/01","144.7"	
"2020/04/02","146.07"	
"2020/04/03","145.77"	
"2020/04/04","145.77"	
"2020/04/05","145.77"	
"2020/04/06","148.69"	
"2020/04/07","152.02"	
"2020/04/08","150.07"	
"2020/04/09","151.86"	
"2020/04/10","151.86"	
"2020/04/11","151.86"	
"2020/04/12","151.86"	
"2020/04/13","151.86"	
"2020/04/14","152.92"	
"2020/04/15","150.65"	
"2020/04/16","150.27"	
"2020/04/17","152.18"	
"2020/04/18","152.18"	
"2020/04/19","152.18"	
"2020/04/20","152.39"	
"2020/04/21","148.79"	
"2020/04/22","149.48"	
"2020/04/23","149.8"	
"2020/04/24","149.24"	
"2020/04/25","149.24"	
"2020/04/26","149.24"	
"2020/04/27","152.08"	
"2020/04/28","154.13"	
"2020/04/29","154.19"	
"2020/04/30","154.19"	
"2020/05/01","154.19"	
"2020/05/02","154.19"	
"2020/05/03","154.19"	
"2020/05/04","147.85"	
"2020/05/05","149.46"	
"2020/05/06","151.56"	
"2020/05/07","150.39"	
"2020/05/08","151.97"	
"2020/05/09","151.97"	
"2020/05/10","151.97"	
"2020/05/11","154.28"	
"2020/05/12","152.11"	
"2020/05/13","151.6"	
"2020/05/14","149.44"	
"2020/05/15","149.47"	
"2020/05/16","149.47"	
"2020/05/17","149.47"	
"2020/05/18","150.61"	
"2020/05/19","153.03"	
"2020/05/20","153.27"	
"2020/05/21","152.11"	
"2020/05/22","144.58"	
"2020/05/23","144.58"	
"2020/05/24","144.58"	
"2020/05/25","144.6"	
"2020/05/26","147.47"	
"2020/05/27","146.62"	
"2020/05/28","145.88"	
"2020/05/29","145.05"	
"2020/05/30","145.05"	
"2020/05/31","145.05"	
"2020/06/01","149.86"	
"2020/06/02","151.37"	
"2020/06/03","153.81"	
"2020/06/04","153.99"	
"2020/06/05","156.45"	
"2020/06/06","156.45"	
"2020/06/07","156.45"	
"2020/06/08","156.19"	
"2020/06/09","158.26"	
"2020/06/10","158.19"	
"2020/06/11","154.64"	
"2020/06/12","153.47"	
"2020/06/13","153.47"	
"2020/06/14","153.47"	
"2020/06/15","150.46"	
"2020/06/16","154.18"	
"2020/06/17","154.75"	
"2020/06/18","154.69"	
"2020/06/19","155.81"	
"2020/06/20","155.81"	
"2020/06/21","155.81"	
"2020/06/22","155.51"	
"2020/06/23","157.4"	
"2020/06/24","156.62"	
"2020/06/25","156.62"	
"2020/06/26","155.33"	
"2020/06/27","155.33"	
"2020/06/28","155.33"	
"2020/06/29","153.83"	
"2020/06/30","154.4"	
"2020/07/01","154.4"	
"2020/07/02","159.44"	
"2020/07/03","161.2"	
"2020/07/04","161.2"	
"2020/07/05","161.2"	
"2020/07/06","167.76"	
"2020/07/07","165.95"	
"2020/07/08","166.97"	
"2020/07/09","167.78"	
"2020/07/10","164.3"	
"2020/07/11","164.3"	
"2020/07/12","164.3"	
"2020/07/13","165.16"	
"2020/07/14","163.01"	
"2020/07/15","163.07"	
"2020/07/16","159.73"	
"2020/07/17","160.57"	
"2020/07/18","160.57"	
"2020/07/19","160.57"	
"2020/07/20","160.36"	
"2020/07/21","163.62"	
"2020/07/22","160.06"	
"2020/07/23","161.4"	
"2020/07/24","158.02"	
"2020/07/25","158.02"	
"2020/07/26","158.02"	
"2020/07/27","158.06"	
"2020/07/28","158.67"	
"2020/07/29","159.09"	
"2020/07/30","157.88"	
"2020/07/31","157.46"	
"2020/08/01","157.46"	
"2020/08/02","157.46"	
"2020/08/03","156.6"	
"2020/08/04","159.56"	
"2020/08/05","160.72"	
"2020/08/06","159.45"	
"2020/08/07","157.0"	
"2020/08/08","157.0"	
"2020/08/09","157.0"	
"2020/08/10","156.39"	
"2020/08/11","159.18"	
"2020/08/12","160.91"	
"2020/08/13","160.97"	
"2020/08/14","160.76"	
"2020/08/15","160.76"	
"2020/08/16","160.76"	
"2020/08/17","162.06"	
"2020/08/18","162.23"	
"2020/08/19","161.23"	
"2020/08/20","158.49"	
"2020/08/21","160.47"	
"2020/08/22","160.47"	
"2020/08/23","160.47"	
"2020/08/24","162.65"	
"2020/08/25","162.57"	
"2020/08/26","162.22"	
"2020/08/27","161.24"	
"2020/08/28","161.98"	
"2020/08/29","161.98"	
"2020/08/30","161.98"	
"2020/08/31","160.01"	
"2020/09/01","160.27"	
"2020/09/02","159.92"	
"2020/09/03","159.33"	
"2020/09/04","158.09"	
"2020/09/05","158.09"	
"2020/09/06","158.09"	
"2020/09/07","157.31"	
"2020/09/08","157.19"	
"2020/09/09","156.2"	
"2020/09/10","155.6"	
"2020/09/11","156.38"	
"2020/09/12","156.38"	
"2020/09/13","156.38"	
"2020/09/14","157.17"	
"2020/09/15","157.9"	
"2020/09/16","157.78"	
"2020/09/17","155.2"	
"2020/09/18","155.95"	
"2020/09/19","155.95"	
"2020/09/20","155.95"	
"2020/09/21","153.12"	
"2020/09/22","152.11"	
"2020/09/23","152.12"	
"2020/09/24","149.54"	
