"基金名稱","香港股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2019/01/01","308.71"	
"2019/01/02","300.87"	
"2019/01/03","299.71"	
"2019/01/04","305.61"	
"2019/01/05","305.61"	
"2019/01/06","305.61"	
"2019/01/07","308.21"	
"2019/01/08","309.01"	
"2019/01/09","315.36"	
"2019/01/10","316.41"	
"2019/01/11","318.61"	
"2019/01/12","318.61"	
"2019/01/13","318.61"	
"2019/01/14","314.68"	
"2019/01/15","320.48"	
"2019/01/16","321.76"	
"2019/01/17","320.19"	
"2019/01/18","324.06"	
"2019/01/19","324.06"	
"2019/01/20","324.06"	
"2019/01/21","324.9"	
"2019/01/22","322.79"	
"2019/01/23","322.57"	
"2019/01/24","324.17"	
"2019/01/25","329.5"	
"2019/01/26","329.5"	
"2019/01/27","329.5"	
"2019/01/28","329.32"	
"2019/01/29","329.43"	
"2019/01/30","330.68"	
"2019/01/31","334.93"	
"2019/02/01","335.02"	
"2019/02/02","335.02"	
"2019/02/03","335.02"	
"2019/02/04","336.0"	
"2019/02/05","336.0"	
"2019/02/06","336.0"	
"2019/02/07","336.0"	
"2019/02/08","335.78"	
"2019/02/09","335.78"	
"2019/02/10","335.78"	
"2019/02/11","338.12"	
"2019/02/12","337.98"	
"2019/02/13","342.2"	
"2019/02/14","341.38"	
"2019/02/15","334.81"	
"2019/02/16","334.81"	
"2019/02/17","334.81"	
"2019/02/18","340.15"	
"2019/02/19","338.49"	
"2019/02/20","342.28"	
"2019/02/21","345.0"	
"2019/02/22","347.43"	
"2019/02/23","347.43"	
"2019/02/24","347.43"	
"2019/02/25","349.64"	
"2019/02/26","347.49"	
"2019/02/27","346.58"	
"2019/02/28","344.57"	
"2019/03/01","347.91"	
"2019/03/02","347.91"	
"2019/03/03","347.91"	
"2019/03/04","350.67"	
"2019/03/05","350.85"	
"2019/03/06","351.97"	
"2019/03/07","348.21"	
"2019/03/08","340.19"	
"2019/03/09","340.19"	
"2019/03/10","340.19"	
"2019/03/11","343.25"	
"2019/03/12","347.95"	
"2019/03/13","346.82"	
"2019/03/14","346.31"	
"2019/03/15","348.38"	
"2019/03/16","348.38"	
"2019/03/17","348.38"	
"2019/03/18","354.34"	
"2019/03/19","354.69"	
"2019/03/20","352.83"	
"2019/03/21","350.24"	
"2019/03/22","350.33"	
