"基金名稱","香港股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2003/01/01","83.77"	
"2003/01/02","83.77"	
"2003/01/03","85.7"	
"2003/01/04","86.32"	
"2003/01/05","86.32"	
"2003/01/06","86.32"	
"2003/01/07","86.22"	
"2003/01/08","86.71"	
"2003/01/09","87.1"	
"2003/01/10","87.59"	
"2003/01/11","88.56"	
"2003/01/12","88.56"	
"2003/01/13","88.56"	
"2003/01/14","88.26"	
"2003/01/15","88.75"	
"2003/01/16","87.65"	
"2003/01/17","86.45"	
"2003/01/18","85.86"	
"2003/01/19","85.86"	
"2003/01/20","85.86"	
"2003/01/21","86.45"	
"2003/01/22","86.45"	
"2003/01/23","86.65"	
"2003/01/24","85.74"	
"2003/01/25","84.23"	
"2003/01/26","84.23"	
"2003/01/27","84.23"	
"2003/01/28","84.74"	
"2003/01/29","84.43"	
"2003/01/30","84.84"	
"2003/01/31","84.74"	
"2003/02/01","84.74"	
"2003/02/02","84.74"	
"2003/02/03","84.74"	
"2003/02/04","84.74"	
"2003/02/05","84.53"	
"2003/02/06","84.03"	
"2003/02/07","84.13"	
"2003/02/08","84.63"	
"2003/02/09","84.63"	
"2003/02/10","84.63"	
"2003/02/11","84.43"	
"2003/02/12","85.52"	
"2003/02/13","84.34"	
"2003/02/14","84.05"	
"2003/02/15","85.74"	
"2003/02/16","85.74"	
"2003/02/17","85.74"	
"2003/02/18","85.84"	
"2003/02/19","86.14"	
"2003/02/20","85.54"	
"2003/02/21","84.32"	
"2003/02/22","84.12"	
"2003/02/23","84.12"	
"2003/02/24","84.12"	
"2003/02/25","83.41"	
"2003/02/26","83.21"	
"2003/02/27","83.31"	
"2003/02/28","83.31"	
"2003/03/01","84.32"	
"2003/03/02","84.32"	
"2003/03/03","84.32"	
"2003/03/04","83.5"	
"2003/03/05","82.99"	
"2003/03/06","81.57"	
"2003/03/07","80.96"	
"2003/03/08","80.35"	
"2003/03/09","80.35"	
"2003/03/10","80.35"	
"2003/03/11","80.45"	
"2003/03/12","80.85"	
"2003/03/13","80.36"	
"2003/03/14","81.64"	
"2003/03/15","80.44"	
"2003/03/16","80.44"	
"2003/03/17","80.44"	
"2003/03/18","82.14"	
"2003/03/19","83.84"	
"2003/03/20","84.04"	
"2003/03/21","84.14"	
"2003/03/22","83.43"	
