"基金名稱","香港股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2005/01/01","144.3"	
"2005/01/02","144.3"	
"2005/01/03","144.27"	
"2005/01/04","142.63"	
"2005/01/05","139.1"	
"2005/01/06","138.68"	
"2005/01/07","137.16"	
"2005/01/08","137.16"	
"2005/01/09","137.16"	
"2005/01/10","137.23"	
"2005/01/11","136.62"	
"2005/01/12","137.2"	
"2005/01/13","137.58"	
"2005/01/14","136.77"	
"2005/01/15","136.77"	
"2005/01/16","136.77"	
"2005/01/17","137.9"	
"2005/01/18","138.6"	
"2005/01/19","139.19"	
"2005/01/20","137.87"	
"2005/01/21","137.26"	
"2005/01/22","137.26"	
"2005/01/23","137.26"	
"2005/01/24","135.93"	
"2005/01/25","137.84"	
"2005/01/26","138.24"	
"2005/01/27","138.13"	
"2005/01/28","138.63"	
"2005/01/29","138.63"	
"2005/01/30","138.63"	
"2005/01/31","139.41"	
"2005/02/01","138.1"	
"2005/02/02","138.39"	
"2005/02/03","138.29"	
"2005/02/04","138.88"	
"2005/02/05","138.88"	
"2005/02/06","138.88"	
"2005/02/07","140.98"	
"2005/02/08","141.37"	
"2005/02/09","141.37"	
"2005/02/10","141.37"	
"2005/02/11","141.37"	
"2005/02/12","141.37"	
"2005/02/13","141.37"	
"2005/02/14","142.73"	
"2005/02/15","142.43"	
"2005/02/16","142.42"	
"2005/02/17","141.6"	
"2005/02/18","142.7"	
"2005/02/19","142.7"	
"2005/02/20","142.7"	
"2005/02/21","143.18"	
"2005/02/22","142.77"	
"2005/02/23","141.96"	
"2005/02/24","142.86"	
"2005/02/25","143.96"	
"2005/02/26","143.96"	
"2005/02/27","143.96"	
"2005/02/28","144.44"	
"2005/03/01","143.63"	
"2005/03/02","141.81"	
"2005/03/03","142.2"	
"2005/03/04","140.69"	
"2005/03/05","140.69"	
"2005/03/06","140.69"	
"2005/03/07","140.87"	
"2005/03/08","142.17"	
"2005/03/09","143.07"	
"2005/03/10","142.36"	
"2005/03/11","142.66"	
"2005/03/12","142.66"	
"2005/03/13","142.66"	
"2005/03/14","142.74"	
"2005/03/15","141.73"	
"2005/03/16","142.83"	
"2005/03/17","142.72"	
"2005/03/18","142.61"	
"2005/03/19","142.61"	
"2005/03/20","142.61"	
"2005/03/21","142.79"	
"2005/03/22","141.88"	
