"基金名稱","香港股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2012/01/01","234.17"	
"2012/01/02","234.17"	
"2012/01/03","239.94"	
"2012/01/04","237.69"	
"2012/01/05","238.48"	
"2012/01/06","235.87"	
"2012/01/07","235.87"	
"2012/01/08","235.87"	
"2012/01/09","240.05"	
"2012/01/10","243.08"	
"2012/01/11","245.04"	
"2012/01/12","244.58"	
"2012/01/13","246.26"	
"2012/01/14","246.26"	
"2012/01/15","246.26"	
"2012/01/16","243.02"	
"2012/01/17","251.56"	
"2012/01/18","251.28"	
"2012/01/19","254.49"	
"2012/01/20","255.46"	
"2012/01/21","255.46"	
"2012/01/22","255.46"	
"2012/01/23","255.46"	
"2012/01/24","255.46"	
"2012/01/25","255.46"	
"2012/01/26","259.78"	
"2012/01/27","259.95"	
"2012/01/28","259.95"	
"2012/01/29","259.95"	
"2012/01/30","254.54"	
"2012/01/31","257.31"	
"2012/02/01","256.31"	
"2012/02/02","262.02"	
"2012/02/03","262.9"	
"2012/02/04","262.9"	
"2012/02/05","262.9"	
"2012/02/06","261.79"	
"2012/02/07","261.33"	
"2012/02/08","266.05"	
"2012/02/09","266.93"	
"2012/02/10","263.61"	
"2012/02/11","263.61"	
"2012/02/12","263.61"	
"2012/02/13","263.66"	
"2012/02/14","264.54"	
"2012/02/15","271.21"	
"2012/02/16","269.23"	
"2012/02/17","272.16"	
"2012/02/18","272.16"	
"2012/02/19","272.16"	
"2012/02/20","271.76"	
"2012/02/21","271.66"	
"2012/02/22","273.34"	
"2012/02/23","270.3"	
"2012/02/24","269.57"	
"2012/02/25","269.57"	
"2012/02/26","269.57"	
"2012/02/27","266.32"	
"2012/02/28","270.85"	
"2012/02/29","271.75"	
"2012/03/01","266.46"	
"2012/03/02","269.67"	
"2012/03/03","269.67"	
"2012/03/04","269.67"	
"2012/03/05","265.16"	
"2012/03/06","257.93"	
"2012/03/07","255.42"	
"2012/03/08","259.59"	
"2012/03/09","261.63"	
"2012/03/10","261.63"	
"2012/03/11","261.63"	
"2012/03/12","261.06"	
"2012/03/13","264.07"	
"2012/03/14","263.88"	
"2012/03/15","263.51"	
"2012/03/16","263.23"	
"2012/03/17","263.23"	
"2012/03/18","263.23"	
"2012/03/19","260.62"	
"2012/03/20","257.22"	
"2012/03/21","255.34"	
