"基金名稱","香港股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2007/01/01","237.05"	
"2007/01/02","242.15"	
"2007/01/03","243.21"	
"2007/01/04","238.82"	
"2007/01/05","240.85"	
"2007/01/06","240.85"	
"2007/01/07","240.85"	
"2007/01/08","240.13"	
"2007/01/09","237.69"	
"2007/01/10","233.4"	
"2007/01/11","232.51"	
"2007/01/12","236.09"	
"2007/01/13","236.09"	
"2007/01/14","236.09"	
"2007/01/15","242.17"	
"2007/01/16","242.54"	
"2007/01/17","243.11"	
"2007/01/18","244.84"	
"2007/01/19","245.12"	
"2007/01/20","245.12"	
"2007/01/21","245.12"	
"2007/01/22","249.65"	
"2007/01/23","248.96"	
"2007/01/24","248.85"	
"2007/01/25","246.12"	
"2007/01/26","241.64"	
"2007/01/27","241.64"	
"2007/01/28","241.64"	
"2007/01/29","241.51"	
"2007/01/30","244.51"	
"2007/01/31","240.7"	
"2007/02/01","243.41"	
"2007/02/02","245.73"	
"2007/02/03","245.73"	
"2007/02/04","245.73"	
"2007/02/05","244.92"	
"2007/02/06","247.62"	
"2007/02/07","249.26"	
"2007/02/08","251.29"	
"2007/02/09","250.99"	
"2007/02/10","250.99"	
"2007/02/11","250.99"	
"2007/02/12","250.76"	
"2007/02/13","245.13"	
"2007/02/14","245.89"	
"2007/02/15","249.17"	
"2007/02/16","250.51"	
"2007/02/17","250.51"	
"2007/02/18","250.51"	
"2007/02/19","250.51"	
"2007/02/20","250.51"	
"2007/02/21","251.42"	
"2007/02/22","253.06"	
"2007/02/23","252.36"	
"2007/02/24","252.36"	
"2007/02/25","252.36"	
"2007/02/26","250.77"	
"2007/02/27","245.24"	
"2007/02/28","238.36"	
"2007/03/01","233.89"	
"2007/03/02","233.41"	
"2007/03/03","233.41"	
"2007/03/04","233.41"	
"2007/03/05","221.43"	
"2007/03/06","227.02"	
"2007/03/07","227.88"	
"2007/03/08","232.21"	
"2007/03/09","233.07"	
"2007/03/10","233.07"	
"2007/03/11","233.07"	
"2007/03/12","237.0"	
"2007/03/13","235.92"	
"2007/03/14","229.94"	
"2007/03/15","231.75"	
"2007/03/16","231.55"	
"2007/03/17","231.55"	
"2007/03/18","231.55"	
"2007/03/19","234.71"	
"2007/03/20","236.16"	
"2007/03/21","238.1"	
"2007/03/22","240.61"	
