"基金名稱","歐洲股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2010/01/01","148.61"	
"2010/01/02","148.61"	
"2010/01/03","148.61"	
"2010/01/04","152.11"	
"2010/01/05","152.08"	
"2010/01/06","152.07"	
"2010/01/07","151.71"	
"2010/01/08","152.3"	
"2010/01/09","152.3"	
"2010/01/10","152.3"	
"2010/01/11","154.32"	
"2010/01/12","152.61"	
"2010/01/13","152.59"	
"2010/01/14","153.45"	
"2010/01/15","150.84"	
"2010/01/16","150.84"	
"2010/01/17","150.84"	
"2010/01/18","152.13"	
"2010/01/19","152.24"	
"2010/01/20","148.06"	
"2010/01/21","145.34"	
"2010/01/22","144.24"	
"2010/01/23","144.24"	
"2010/01/24","144.24"	
"2010/01/25","143.89"	
"2010/01/26","143.29"	
"2010/01/27","141.94"	
"2010/01/28","139.55"	
"2010/01/29","140.23"	
"2010/01/30","140.23"	
"2010/01/31","140.23"	
"2010/02/01","141.05"	
"2010/02/02","143.01"	
"2010/02/03","141.7"	
"2010/02/04","136.16"	
"2010/02/05","132.28"	
"2010/02/06","132.28"	
"2010/02/07","132.28"	
"2010/02/08","132.99"	
"2010/02/09","133.82"	
"2010/02/10","134.76"	
"2010/02/11","134.5"	
"2010/02/12","133.72"	
"2010/02/13","133.72"	
"2010/02/14","133.72"	
"2010/02/15","133.72"	
"2010/02/16","133.72"	
"2010/02/17","138.02"	
"2010/02/18","138.43"	
"2010/02/19","137.73"	
"2010/02/20","137.73"	
"2010/02/21","137.73"	
"2010/02/22","138.2"	
"2010/02/23","136.29"	
"2010/02/24","136.48"	
"2010/02/25","133.43"	
"2010/02/26","136.15"	
"2010/02/27","136.15"	
"2010/02/28","136.15"	
"2010/03/01","136.19"	
"2010/03/02","138.1"	
"2010/03/03","140.55"	
"2010/03/04","139.96"	
"2010/03/05","142.32"	
"2010/03/06","142.32"	
"2010/03/07","142.32"	
"2010/03/08","142.73"	
"2010/03/09","142.14"	
"2010/03/10","144.05"	
"2010/03/11","143.79"	
"2010/03/12","145.13"	
"2010/03/13","145.13"	
"2010/03/14","145.13"	
"2010/03/15","143.08"	
"2010/03/16","145.57"	
"2010/03/17","146.67"	
"2010/03/18","145.06"	
"2010/03/19","143.73"	
"2010/03/20","143.73"	
"2010/03/21","143.73"	
"2010/03/22","143.83"	
