"基金名稱","歐洲股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2017/01/01","188.35"	
"2017/01/02","188.35"	
"2017/01/03","187.95"	
"2017/01/04","189.13"	
"2017/01/05","191.47"	
"2017/01/06","190.88"	
"2017/01/07","190.88"	
"2017/01/08","190.88"	
"2017/01/09","189.67"	
"2017/01/10","190.92"	
"2017/01/11","189.42"	
"2017/01/12","191.49"	
"2017/01/13","192.81"	
"2017/01/14","192.81"	
"2017/01/15","192.81"	
"2017/01/16","191.1"	
"2017/01/17","192.2"	
"2017/01/18","192.57"	
"2017/01/19","190.87"	
"2017/01/20","192.13"	
"2017/01/21","192.13"	
"2017/01/22","192.13"	
"2017/01/23","192.54"	
"2017/01/24","193.56"	
"2017/01/25","195.93"	
"2017/01/26","195.26"	
"2017/01/27","195.41"	
"2017/01/28","195.41"	
"2017/01/29","195.41"	
"2017/01/30","195.41"	
"2017/01/31","195.41"	
"2017/02/01","194.7"	
"2017/02/02","195.0"	
"2017/02/03","195.5"	
"2017/02/04","195.5"	
"2017/02/05","195.5"	
"2017/02/06","193.15"	
"2017/02/07","192.55"	
"2017/02/08","193.22"	
"2017/02/09","194.02"	
"2017/02/10","194.0"	
"2017/02/11","194.0"	
"2017/02/12","194.0"	
"2017/02/13","195.4"	
"2017/02/14","194.73"	
"2017/02/15","195.86"	
"2017/02/16","197.03"	
"2017/02/17","195.69"	
"2017/02/18","195.69"	
"2017/02/19","195.69"	
"2017/02/20","195.81"	
"2017/02/21","195.43"	
"2017/02/22","195.03"	
"2017/02/23","195.82"	
"2017/02/24","193.61"	
"2017/02/25","193.61"	
"2017/02/26","193.61"	
"2017/02/27","194.17"	
"2017/02/28","194.68"	
"2017/03/01","196.72"	
"2017/03/02","196.04"	
"2017/03/03","196.42"	
"2017/03/04","196.42"	
"2017/03/05","196.42"	
"2017/03/06","195.97"	
"2017/03/07","195.67"	
"2017/03/08","195.68"	
"2017/03/09","195.68"	
"2017/03/10","197.27"	
"2017/03/11","197.27"	
"2017/03/12","197.27"	
"2017/03/13","198.38"	
"2017/03/14","197.31"	
"2017/03/15","197.85"	
"2017/03/16","201.17"	
"2017/03/17","201.49"	
"2017/03/18","201.49"	
"2017/03/19","201.49"	
"2017/03/20","201.64"	
"2017/03/21","201.42"	
"2017/03/22","200.3"	
