"基金名稱","歐洲股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2013/01/01","160.18"	
"2013/01/02","163.87"	
"2013/01/03","163.13"	
"2013/01/04","163.13"	
"2013/01/05","163.13"	
"2013/01/06","163.13"	
"2013/01/07","163.26"	
"2013/01/08","162.87"	
"2013/01/09","163.59"	
"2013/01/10","165.49"	
"2013/01/11","167.1"	
"2013/01/12","167.1"	
"2013/01/13","167.1"	
"2013/01/14","166.76"	
"2013/01/15","166.36"	
"2013/01/16","166.02"	
"2013/01/17","167.63"	
"2013/01/18","166.57"	
"2013/01/19","166.57"	
"2013/01/20","166.57"	
"2013/01/21","167.27"	
"2013/01/22","166.79"	
"2013/01/23","166.69"	
"2013/01/24","168.62"	
"2013/01/25","170.71"	
"2013/01/26","170.71"	
"2013/01/27","170.71"	
"2013/01/28","170.4"	
"2013/01/29","171.33"	
"2013/01/30","171.85"	
"2013/01/31","171.11"	
"2013/02/01","173.34"	
"2013/02/02","173.34"	
"2013/02/03","173.34"	
"2013/02/04","169.04"	
"2013/02/05","169.73"	
"2013/02/06","169.56"	
"2013/02/07","167.25"	
"2013/02/08","169.02"	
"2013/02/09","169.02"	
"2013/02/10","169.02"	
"2013/02/11","169.02"	
"2013/02/12","169.02"	
"2013/02/13","169.02"	
"2013/02/14","168.96"	
"2013/02/15","168.62"	
"2013/02/16","168.62"	
"2013/02/17","168.62"	
"2013/02/18","168.28"	
"2013/02/19","170.27"	
"2013/02/20","170.42"	
"2013/02/21","166.26"	
"2013/02/22","167.46"	
"2013/02/23","167.46"	
"2013/02/24","167.46"	
"2013/02/25","167.91"	
"2013/02/26","164.24"	
"2013/02/27","166.4"	
"2013/02/28","167.54"	
"2013/03/01","165.97"	
"2013/03/02","165.97"	
"2013/03/03","165.97"	
"2013/03/04","165.97"	
"2013/03/05","169.09"	
"2013/03/06","168.35"	
"2013/03/07","169.47"	
"2013/03/08","169.46"	
"2013/03/09","169.46"	
"2013/03/10","169.46"	
"2013/03/11","169.9"	
"2013/03/12","170.07"	
"2013/03/13","169.1"	
"2013/03/14","171.18"	
"2013/03/15","171.49"	
"2013/03/16","171.49"	
"2013/03/17","171.49"	
"2013/03/18","169.85"	
"2013/03/19","168.47"	
"2013/03/20","169.99"	
"2013/03/21","168.87"	
"2013/03/22","169.75"	
