"基金名稱","歐洲股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2009/01/01","110.15"	
"2009/01/02","113.83"	
"2009/01/03","113.83"	
"2009/01/04","113.83"	
"2009/01/05","113.41"	
"2009/01/06","113.67"	
"2009/01/07","114.7"	
"2009/01/08","114.62"	
"2009/01/09","112.45"	
"2009/01/10","112.45"	
"2009/01/11","112.45"	
"2009/01/12","109.65"	
"2009/01/13","106.94"	
"2009/01/14","102.63"	
"2009/01/15","101.06"	
"2009/01/16","103.5"	
"2009/01/17","103.5"	
"2009/01/18","103.5"	
"2009/01/19","101.04"	
"2009/01/20","97.21"	
"2009/01/21","96.34"	
"2009/01/22","96.34"	
"2009/01/23","94.76"	
"2009/01/24","94.76"	
"2009/01/25","94.76"	
"2009/01/26","94.76"	
"2009/01/27","94.76"	
"2009/01/28","94.76"	
"2009/01/29","101.14"	
"2009/01/30","99.65"	
"2009/01/31","99.65"	
"2009/02/01","99.65"	
"2009/02/02","97.11"	
"2009/02/03","99.71"	
"2009/02/04","101.52"	
"2009/02/05","101.35"	
"2009/02/06","103.35"	
"2009/02/07","103.35"	
"2009/02/08","103.35"	
"2009/02/09","105.5"	
"2009/02/10","102.54"	
"2009/02/11","101.13"	
"2009/02/12","99.05"	
"2009/02/13","100.53"	
"2009/02/14","100.53"	
"2009/02/15","100.53"	
"2009/02/16","98.44"	
"2009/02/17","94.55"	
"2009/02/18","93.94"	
"2009/02/19","94.98"	
"2009/02/20","91.57"	
"2009/02/21","91.57"	
"2009/02/22","91.57"	
"2009/02/23","91.46"	
"2009/02/24","90.51"	
"2009/02/25","90.03"	
"2009/02/26","91.94"	
"2009/02/27","90.18"	
"2009/02/28","90.18"	
"2009/03/01","90.18"	
"2009/03/02","85.33"	
"2009/03/03","83.76"	
"2009/03/04","86.71"	
"2009/03/05","83.68"	
"2009/03/06","83.33"	
"2009/03/07","83.33"	
"2009/03/08","83.33"	
"2009/03/09","82.41"	
"2009/03/10","86.77"	
"2009/03/11","86.86"	
"2009/03/12","87.79"	
"2009/03/13","88.99"	
"2009/03/14","88.99"	
"2009/03/15","88.99"	
"2009/03/16","91.72"	
"2009/03/17","90.93"	
"2009/03/18","91.19"	
"2009/03/19","95.83"	
"2009/03/20","94.89"	
"2009/03/21","94.89"	
"2009/03/22","94.89"	
