"基金名稱","歐洲股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2015/01/01","195.07"	
"2015/01/02","193.2"	
"2015/01/03","193.2"	
"2015/01/04","193.2"	
"2015/01/05","188.1"	
"2015/01/06","187.05"	
"2015/01/07","185.71"	
"2015/01/08","190.23"	
"2015/01/09","189.14"	
"2015/01/10","189.14"	
"2015/01/11","189.14"	
"2015/01/12","189.54"	
"2015/01/13","191.46"	
"2015/01/14","188.91"	
"2015/01/15","189.84"	
"2015/01/16","190.33"	
"2015/01/17","190.33"	
"2015/01/18","190.33"	
"2015/01/19","193.07"	
"2015/01/20","193.32"	
"2015/01/21","194.47"	
"2015/01/22","194.85"	
"2015/01/23","195.25"	
"2015/01/24","195.25"	
"2015/01/25","195.25"	
"2015/01/26","196.77"	
"2015/01/27","197.59"	
"2015/01/28","196.98"	
"2015/01/29","196.96"	
"2015/01/30","195.01"	
"2015/01/31","195.01"	
"2015/02/01","195.01"	
"2015/02/02","196.02"	
"2015/02/03","199.03"	
"2015/02/04","199.33"	
"2015/02/05","199.31"	
"2015/02/06","198.43"	
"2015/02/07","198.43"	
"2015/02/08","198.43"	
"2015/02/09","196.57"	
"2015/02/10","198.1"	
"2015/02/11","197.64"	
"2015/02/12","200.48"	
"2015/02/13","201.79"	
"2015/02/14","201.79"	
"2015/02/15","201.79"	
"2015/02/16","201.49"	
"2015/02/17","202.19"	
"2015/02/18","203.15"	
"2015/02/19","203.15"	
"2015/02/20","203.15"	
"2015/02/21","203.15"	
"2015/02/22","203.15"	
"2015/02/23","206.05"	
"2015/02/24","206.85"	
"2015/02/25","207.21"	
"2015/02/26","206.17"	
"2015/02/27","207.39"	
"2015/02/28","207.39"	
"2015/03/01","207.39"	
"2015/03/02","206.97"	
"2015/03/03","204.73"	
"2015/03/04","204.57"	
"2015/03/05","205.95"	
"2015/03/06","202.81"	
"2015/03/07","202.81"	
"2015/03/08","202.81"	
"2015/03/09","201.95"	
"2015/03/10","198.15"	
"2015/03/11","198.77"	
"2015/03/12","199.67"	
"2015/03/13","198.44"	
"2015/03/14","198.44"	
"2015/03/15","198.44"	
"2015/03/16","201.77"	
"2015/03/17","200.46"	
"2015/03/18","201.44"	
"2015/03/19","202.25"	
"2015/03/20","206.84"	
"2015/03/21","206.84"	
"2015/03/22","206.84"	
