"基金名稱","歐洲股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2008/01/01","222.44"	
"2008/01/02","221.69"	
"2008/01/03","220.83"	
"2008/01/04","216.5"	
"2008/01/05","216.5"	
"2008/01/06","216.5"	
"2008/01/07","215.36"	
"2008/01/08","216.36"	
"2008/01/09","212.42"	
"2008/01/10","211.0"	
"2008/01/11","210.93"	
"2008/01/12","210.93"	
"2008/01/13","210.93"	
"2008/01/14","213.54"	
"2008/01/15","207.74"	
"2008/01/16","202.87"	
"2008/01/17","201.81"	
"2008/01/18","198.55"	
"2008/01/19","198.55"	
"2008/01/20","198.55"	
"2008/01/21","185.31"	
"2008/01/22","192.2"	
"2008/01/23","185.03"	
"2008/01/24","197.37"	
"2008/01/25","197.46"	
"2008/01/26","197.46"	
"2008/01/27","197.46"	
"2008/01/28","197.33"	
"2008/01/29","200.76"	
"2008/01/30","199.29"	
"2008/01/31","199.7"	
"2008/02/01","203.86"	
"2008/02/02","203.86"	
"2008/02/03","203.86"	
"2008/02/04","204.97"	
"2008/02/05","195.76"	
"2008/02/06","196.43"	
"2008/02/07","196.43"	
"2008/02/08","196.43"	
"2008/02/09","196.43"	
"2008/02/10","196.43"	
"2008/02/11","189.57"	
"2008/02/12","197.34"	
"2008/02/13","197.02"	
"2008/02/14","198.07"	
"2008/02/15","195.18"	
"2008/02/16","195.18"	
"2008/02/17","195.18"	
"2008/02/18","198.46"	
"2008/02/19","200.39"	
"2008/02/20","197.46"	
"2008/02/21","200.45"	
"2008/02/22","199.42"	
"2008/02/23","199.42"	
"2008/02/24","199.42"	
"2008/02/25","203.01"	
"2008/02/26","207.03"	
"2008/02/27","209.38"	
"2008/02/28","206.68"	
"2008/02/29","204.03"	
"2008/03/01","204.03"	
"2008/03/02","204.03"	
"2008/03/03","201.7"	
"2008/03/04","199.41"	
"2008/03/05","203.6"	
"2008/03/06","202.76"	
"2008/03/07","199.72"	
"2008/03/08","199.72"	
"2008/03/09","199.72"	
"2008/03/10","197.14"	
"2008/03/11","199.19"	
"2008/03/12","203.8"	
"2008/03/13","202.69"	
"2008/03/14","201.02"	
"2008/03/15","201.02"	
"2008/03/16","201.02"	
"2008/03/17","194.72"	
"2008/03/18","200.92"	
"2008/03/19","197.2"	
"2008/03/20","194.03"	
"2008/03/21","194.03"	
