"基金名稱","美洲基金"	
"貨幣","HKD"	
"成立日期","2011/09/23"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2018/01/01","194.89"	
"2018/01/02","197.12"	
"2018/01/03","198.44"	
"2018/01/04","199.27"	
"2018/01/05","200.71"	
"2018/01/06","200.71"	
"2018/01/07","200.71"	
"2018/01/08","200.97"	
"2018/01/09","201.08"	
"2018/01/10","200.62"	
"2018/01/11","202.36"	
"2018/01/12","203.67"	
"2018/01/13","203.67"	
"2018/01/14","203.67"	
"2018/01/15","203.66"	
"2018/01/16","203.15"	
"2018/01/17","205.32"	
"2018/01/18","205.24"	
"2018/01/19","206.14"	
"2018/01/20","206.14"	
"2018/01/21","206.14"	
"2018/01/22","207.64"	
"2018/01/23","207.49"	
"2018/01/24","209.14"	
"2018/01/25","209.32"	
"2018/01/26","211.89"	
"2018/01/27","211.89"	
"2018/01/28","211.89"	
"2018/01/29","209.95"	
"2018/01/30","207.91"	
"2018/01/31","208.59"	
"2018/02/01","208.73"	
"2018/02/02","203.62"	
"2018/02/03","203.62"	
"2018/02/04","203.62"	
"2018/02/05","195.3"	
"2018/02/06","199.68"	
"2018/02/07","197.68"	
"2018/02/08","190.51"	
"2018/02/09","193.52"	
"2018/02/10","193.52"	
"2018/02/11","193.52"	
"2018/02/12","196.0"	
"2018/02/13","196.62"	
"2018/02/14","199.81"	
"2018/02/15","202.12"	
"2018/02/16","202.12"	
"2018/02/17","202.12"	
"2018/02/18","202.12"	
"2018/02/19","202.12"	
"2018/02/20","201.27"	
"2018/02/21","200.3"	
"2018/02/22","200.97"	
"2018/02/23","203.79"	
"2018/02/24","203.79"	
"2018/02/25","203.79"	
"2018/02/26","205.95"	
"2018/02/27","203.19"	
"2018/02/28","200.63"	
"2018/03/01","198.49"	
"2018/03/02","199.51"	
"2018/03/03","199.51"	
"2018/03/04","199.51"	
"2018/03/05","201.6"	
"2018/03/06","202.44"	
"2018/03/07","201.82"	
"2018/03/08","202.37"	
"2018/03/09","205.83"	
"2018/03/10","205.83"	
"2018/03/11","205.83"	
"2018/03/12","205.87"	
"2018/03/13","204.56"	
"2018/03/14","203.68"	
"2018/03/15","202.66"	
"2018/03/16","202.65"	
"2018/03/17","202.65"	
"2018/03/18","202.65"	
"2018/03/19","199.94"	
"2018/03/20","200.23"	
"2018/03/21","200.9"	
"2018/03/22","195.82"	
"2018/03/23","192.41"	
"2018/03/24","192.41"	
"2018/03/25","192.41"	
"2018/03/26","197.2"	
"2018/03/27","193.6"	
"2018/03/28","193.29"	
"2018/03/29","196.55"	
"2018/03/30","196.55"	
"2018/03/31","196.55"	
"2018/04/01","196.55"	
"2018/04/02","196.55"	
"2018/04/03","194.45"	
"2018/04/04","196.38"	
"2018/04/05","196.38"	
"2018/04/06","193.83"	
"2018/04/07","193.83"	
"2018/04/08","193.83"	
"2018/04/09","193.65"	
"2018/04/10","197.01"	
"2018/04/11","196.7"	
"2018/04/12","197.92"	
"2018/04/13","196.91"	
"2018/04/14","196.91"	
"2018/04/15","196.91"	
"2018/04/16","197.68"	
"2018/04/17","199.95"	
"2018/04/18","200.93"	
"2018/04/19","199.66"	
"2018/04/20","197.94"	
"2018/04/21","197.94"	
"2018/04/22","197.94"	
"2018/04/23","197.24"	
"2018/04/24","195.19"	
"2018/04/25","195.05"	
"2018/04/26","197.33"	
"2018/04/27","197.65"	
"2018/04/28","197.65"	
"2018/04/29","197.65"	
"2018/04/30","195.87"	
"2018/05/01","195.87"	
"2018/05/02","193.76"	
"2018/05/03","193.0"	
"2018/05/04","194.9"	
"2018/05/05","194.9"	
"2018/05/06","194.9"	
"2018/05/07","194.95"	
"2018/05/08","194.79"	
"2018/05/09","196.64"	
"2018/05/10","199.31"	
"2018/05/11","199.05"	
"2018/05/12","199.05"	
"2018/05/13","199.05"	
"2018/05/14","199.02"	
"2018/05/15","197.48"	
"2018/05/16","198.54"	
"2018/05/17","197.22"	
"2018/05/18","196.1"	
"2018/05/19","196.1"	
"2018/05/20","196.1"	
"2018/05/21","197.17"	
"2018/05/22","197.17"	
"2018/05/23","197.4"	
"2018/05/24","196.25"	
"2018/05/25","195.32"	
"2018/05/26","195.32"	
"2018/05/27","195.32"	
"2018/05/28","195.24"	
"2018/05/29","192.01"	
"2018/05/30","194.38"	
"2018/05/31","193.16"	
"2018/06/01","194.83"	
"2018/06/02","194.83"	
"2018/06/03","194.83"	
"2018/06/04","196.17"	
"2018/06/05","195.16"	
"2018/06/06","196.36"	
"2018/06/07","195.03"	
"2018/06/08","196.52"	
"2018/06/09","196.52"	
"2018/06/10","196.52"	
"2018/06/11","196.49"	
"2018/06/12","196.9"	
"2018/06/13","196.05"	
"2018/06/14","195.87"	
"2018/06/15","195.63"	
"2018/06/16","195.63"	
"2018/06/17","195.63"	
"2018/06/18","195.63"	
"2018/06/19","194.59"	
"2018/06/20","195.11"	
"2018/06/21","193.28"	
"2018/06/22","193.92"	
"2018/06/23","193.92"	
"2018/06/24","193.92"	
"2018/06/25","191.78"	
"2018/06/26","192.0"	
"2018/06/27","189.89"	
"2018/06/28","191.63"	
"2018/06/29","191.99"	
"2018/06/30","191.99"	
"2018/07/01","191.99"	
"2018/07/02","191.99"	
"2018/07/03","192.23"	
"2018/07/04","192.15"	
"2018/07/05","193.89"	
"2018/07/06","195.78"	
"2018/07/07","195.78"	
"2018/07/08","195.78"	
"2018/07/09","197.54"	
"2018/07/10","198.31"	
"2018/07/11","196.3"	
"2018/07/12","198.17"	
"2018/07/13","198.57"	
"2018/07/14","198.57"	
"2018/07/15","198.57"	
"2018/07/16","198.47"	
"2018/07/17","199.72"	
"2018/07/18","199.95"	
"2018/07/19","198.85"	
"2018/07/20","199.62"	
"2018/07/21","199.62"	
"2018/07/22","199.62"	
"2018/07/23","199.73"	
"2018/07/24","201.33"	
"2018/07/25","203.64"	
"2018/07/26","202.54"	
"2018/07/27","201.92"	
"2018/07/28","201.92"	
"2018/07/29","201.92"	
"2018/07/30","201.11"	
"2018/07/31","201.61"	
"2018/08/01","200.96"	
"2018/08/02","201.75"	
"2018/08/03","203.57"	
"2018/08/04","203.57"	
"2018/08/05","203.57"	
"2018/08/06","203.83"	
"2018/08/07","204.15"	
"2018/08/08","203.75"	
"2018/08/09","202.91"	
"2018/08/10","200.37"	
"2018/08/11","200.37"	
"2018/08/12","200.37"	
"2018/08/13","199.66"	
"2018/08/14","201.47"	
"2018/08/15","199.1"	
"2018/08/16","200.43"	
"2018/08/17","200.87"	
"2018/08/18","200.87"	
"2018/08/19","200.87"	
"2018/08/20","201.12"	
"2018/08/21","201.01"	
"2018/08/22","201.61"	
"2018/08/23","200.36"	
"2018/08/24","201.84"	
"2018/08/25","201.84"	
"2018/08/26","201.84"	
"2018/08/27","203.82"	
"2018/08/28","203.24"	
"2018/08/29","204.62"	
"2018/08/30","202.78"	
"2018/08/31","203.37"	
"2018/09/01","203.37"	
"2018/09/02","203.37"	
"2018/09/03","203.38"	
"2018/09/04","201.58"	
"2018/09/05","201.28"	
"2018/09/06","201.29"	
"2018/09/07","201.2"	
"2018/09/08","201.2"	
"2018/09/09","201.2"	
"2018/09/10","201.21"	
"2018/09/11","201.17"	
"2018/09/12","201.8"	
"2018/09/13","202.74"	
"2018/09/14","203.02"	
"2018/09/15","203.02"	
"2018/09/16","203.02"	
"2018/09/17","202.69"	
"2018/09/18","204.04"	
"2018/09/19","204.32"	
"2018/09/20","206.08"	
"2018/09/21","205.68"	
"2018/09/22","205.68"	
"2018/09/23","205.68"	
"2018/09/24","204.46"	
"2018/09/25","204.46"	
