"基金名稱","中港動態資產配置基金"	
"貨幣","HKD"	
"成立日期","2017/07/04"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2018/08/11","108.96"	
"2018/08/12","108.96"	
"2018/08/13","108.52"	
"2018/08/14","108.29"	
"2018/08/15","107.69"	
"2018/08/16","107.43"	
"2018/08/17","107.54"	
"2018/08/18","107.54"	
"2018/08/19","107.54"	
"2018/08/20","107.99"	
"2018/08/21","108.32"	
"2018/08/22","108.5"	
"2018/08/23","108.36"	
"2018/08/24","108.21"	
"2018/08/25","108.21"	
"2018/08/26","108.21"	
"2018/08/27","109.01"	
"2018/08/28","109.05"	
"2018/08/29","109.02"	
"2018/08/30","108.75"	
"2018/08/31","108.53"	
"2018/09/01","108.53"	
"2018/09/02","108.53"	
"2018/09/03","108.32"	
"2018/09/04","108.49"	
"2018/09/05","107.71"	
"2018/09/06","107.4"	
"2018/09/07","107.4"	
"2018/09/08","107.4"	
"2018/09/09","107.4"	
"2018/09/10","106.92"	
"2018/09/11","106.72"	
"2018/09/12","106.57"	
"2018/09/13","107.26"	
"2018/09/14","107.54"	
"2018/09/15","107.54"	
"2018/09/16","107.54"	
"2018/09/17","107.17"	
"2018/09/18","107.39"	
"2018/09/19","107.81"	
"2018/09/20","107.89"	
"2018/09/21","108.48"	
"2018/09/22","108.48"	
"2018/09/23","108.48"	
"2018/09/24","107.83"	
"2018/09/25","107.83"	
"2018/09/26","108.22"	
"2018/09/27","108.14"	
"2018/09/28","108.2"	
"2018/09/29","108.2"	
"2018/09/30","108.2"	
"2018/10/01","108.2"	
"2018/10/02","107.56"	
"2018/10/03","107.64"	
"2018/10/04","106.98"	
"2018/10/05","106.87"	
"2018/10/06","106.87"	
"2018/10/07","106.87"	
"2018/10/08","106.37"	
"2018/10/09","106.32"	
"2018/10/10","106.32"	
"2018/10/11","105.28"	
"2018/10/12","106.04"	
"2018/10/13","106.04"	
"2018/10/14","106.04"	
"2018/10/15","105.69"	
"2018/10/16","105.72"	
"2018/10/17","105.72"	
"2018/10/18","105.67"	
"2018/10/19","105.85"	
"2018/10/20","105.85"	
"2018/10/21","105.85"	
"2018/10/22","106.66"	
"2018/10/23","105.79"	
"2018/10/24","105.69"	
"2018/10/25","105.42"	
"2018/10/26","105.05"	
"2018/10/27","105.05"	
"2018/10/28","105.05"	
"2018/10/29","105.11"	
"2018/10/30","104.88"	
"2018/10/31","105.33"	
"2018/11/01","105.86"	
"2018/11/02","107.33"	
"2018/11/03","107.33"	
"2018/11/04","107.33"	
"2018/11/05","106.71"	
"2018/11/06","106.91"	
