"基金名稱","富達穩定增長基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2014/01/01","113.63"	
"2014/01/02","113.15"	
"2014/01/03","112.86"	
"2014/01/04","112.86"	
"2014/01/05","112.86"	
"2014/01/06","112.57"	
"2014/01/07","112.66"	
"2014/01/08","113.04"	
"2014/01/09","112.75"	
"2014/01/10","113.23"	
"2014/01/11","113.23"	
"2014/01/12","113.23"	
"2014/01/13","113.31"	
"2014/01/14","113.12"	
"2014/01/15","113.31"	
"2014/01/16","113.4"	
"2014/01/17","113.5"	
"2014/01/18","113.5"	
"2014/01/19","113.5"	
"2014/01/20","113.39"	
"2014/01/21","113.49"	
"2014/01/22","113.68"	
"2014/01/23","113.39"	
"2014/01/24","112.43"	
"2014/01/25","112.43"	
"2014/01/26","112.43"	
"2014/01/27","111.57"	
"2014/01/28","111.75"	
"2014/01/29","112.13"	
"2014/01/30","111.65"	
"2014/01/31","111.65"	
"2014/02/01","111.65"	
"2014/02/02","111.65"	
"2014/02/03","111.65"	
"2014/02/04","110.12"	
"2014/02/05","110.21"	
"2014/02/06","110.69"	
"2014/02/07","111.45"	
"2014/02/08","111.45"	
"2014/02/09","111.45"	
"2014/02/10","111.73"	
"2014/02/11","112.3"	
"2014/02/12","112.67"	
"2014/02/13","112.67"	
"2014/02/14","112.95"	
"2014/02/15","112.95"	
"2014/02/16","112.95"	
"2014/02/17","113.33"	
"2014/02/18","113.8"	
"2014/02/19","113.7"	
"2014/02/20","113.22"	
"2014/02/21","113.6"	
"2014/02/22","113.6"	
"2014/02/23","113.6"	
"2014/02/24","113.6"	
"2014/02/25","113.6"	
"2014/02/26","113.69"	
"2014/02/27","114.16"	
"2014/02/28","114.45"	
"2014/03/01","114.45"	
"2014/03/02","114.45"	
"2014/03/03","113.78"	
"2014/03/04","114.15"	
"2014/03/05","114.25"	
"2014/03/06","114.63"	
"2014/03/07","114.43"	
"2014/03/08","114.43"	
"2014/03/09","114.43"	
"2014/03/10","113.95"	
"2014/03/11","113.95"	
"2014/03/12","113.38"	
"2014/03/13","113.19"	
"2014/03/14","112.62"	
"2014/03/15","112.62"	
"2014/03/16","112.62"	
"2014/03/17","112.8"	
"2014/03/18","113.28"	
"2014/03/19","113.08"	
"2014/03/20","112.22"	
"2014/03/21","112.41"	
"2014/03/22","112.41"	
"2014/03/23","112.41"	
"2014/03/24","112.69"	
"2014/03/25","112.6"	
"2014/03/26","112.98"	
"2014/03/27","112.88"	
"2014/03/28","113.16"	
"2014/03/29","113.16"	
"2014/03/30","113.16"	
"2014/03/31","113.73"	
"2014/04/01","114.2"	
"2014/04/02","114.3"	
"2014/04/03","114.3"	
"2014/04/04","114.2"	
"2014/04/05","114.2"	
"2014/04/06","114.2"	
"2014/04/07","113.62"	
"2014/04/08","113.9"	
"2014/04/09","114.28"	
"2014/04/10","114.47"	
"2014/04/11","113.71"	
"2014/04/12","113.71"	
"2014/04/13","113.71"	
"2014/04/14","113.61"	
"2014/04/15","113.32"	
"2014/04/16","113.79"	
"2014/04/17","113.98"	
"2014/04/18","113.98"	
"2014/04/19","113.98"	
"2014/04/20","113.98"	
"2014/04/21","113.98"	
"2014/04/22","114.16"	
"2014/04/23","114.16"	
"2014/04/24","114.25"	
"2014/04/25","113.96"	
"2014/04/26","113.96"	
"2014/04/27","113.96"	
"2014/04/28","113.58"	
"2014/04/29","113.96"	
"2014/04/30","113.95"	
"2014/05/01","113.95"	
"2014/05/02","114.43"	
"2014/05/03","114.43"	
"2014/05/04","114.43"	
"2014/05/05","114.23"	
"2014/05/06","114.23"	
"2014/05/07","113.94"	
"2014/05/08","113.94"	
"2014/05/09","113.65"	
"2014/05/10","113.65"	
"2014/05/11","113.65"	
"2014/05/12","114.12"	
"2014/05/13","114.41"	
"2014/05/14","114.97"	
"2014/05/15","114.87"	
"2014/05/16","114.68"	
"2014/05/17","114.68"	
"2014/05/18","114.68"	
"2014/05/19","114.67"	
"2014/05/20","114.48"	
"2014/05/21","114.57"	
"2014/05/22","115.04"	
"2014/05/23","115.23"	
"2014/05/24","115.23"	
"2014/05/25","115.23"	
"2014/05/26","115.51"	
"2014/05/27","115.51"	
