"基金名稱","富達穩定增長基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2020/01/01","141.52"	
"2020/01/02","142.4"	
"2020/01/03","142.04"	
"2020/01/04","142.04"	
"2020/01/05","142.04"	
"2020/01/06","141.66"	
"2020/01/07","141.92"	
"2020/01/08","141.38"	
"2020/01/09","142.09"	
"2020/01/10","142.26"	
"2020/01/11","142.26"	
"2020/01/12","142.26"	
"2020/01/13","142.68"	
"2020/01/14","142.76"	
"2020/01/15","142.76"	
"2020/01/16","143.02"	
"2020/01/17","143.19"	
"2020/01/18","143.19"	
"2020/01/19","143.19"	
"2020/01/20","142.99"	
"2020/01/21","142.27"	
"2020/01/22","142.8"	
"2020/01/23","142.17"	
"2020/01/24","142.25"	
"2020/01/25","142.25"	
"2020/01/26","142.25"	
"2020/01/27","142.25"	
"2020/01/28","142.25"	
"2020/01/29","141.24"	
"2020/01/30","140.17"	
"2020/01/31","139.98"	
"2020/02/01","139.98"	
"2020/02/02","139.98"	
"2020/02/03","139.87"	
"2020/02/04","140.67"	
"2020/02/05","140.93"	
"2020/02/06","141.9"	
"2020/02/07","141.71"	
"2020/02/08","141.71"	
"2020/02/09","141.71"	
"2020/02/10","141.69"	
"2020/02/11","142.04"	
"2020/02/12","142.57"	
"2020/02/13","142.3"	
"2020/02/14","142.38"	
"2020/02/15","142.38"	
"2020/02/16","142.38"	
"2020/02/17","142.45"	
"2020/02/18","141.73"	
"2020/02/19","141.99"	
"2020/02/20","141.98"	
"2020/02/21","141.71"	
"2020/02/22","141.71"	
"2020/02/23","141.71"	
"2020/02/24","140.45"	
"2020/02/25","139.64"	
"2020/02/26","139.1"	
"2020/02/27","138.3"	
"2020/02/28","137.05"	
"2020/02/29","137.05"	
"2020/03/01","137.05"	
"2020/03/02","138.36"	
"2020/03/03","138.44"	
"2020/03/04","139.23"	
"2020/03/05","139.76"	
"2020/03/06","138.87"	
"2020/03/07","138.87"	
"2020/03/08","138.87"	
"2020/03/09","135.92"	
"2020/03/10","135.83"	
"2020/03/11","133.96"	
"2020/03/12","128.99"	
"2020/03/13","128.63"	
"2020/03/14","128.63"	
"2020/03/15","128.63"	
"2020/03/16","125.24"	
"2020/03/17","124.7"	
"2020/03/18","121.32"	
"2020/03/19","120.43"	
"2020/03/20","122.29"	
"2020/03/21","122.29"	
"2020/03/22","122.29"	
"2020/03/23","120.76"	
"2020/03/24","124.04"	
"2020/03/25","126.35"	
"2020/03/26","128.29"	
"2020/03/27","128.64"	
"2020/03/28","128.64"	
"2020/03/29","128.64"	
"2020/03/30","128.62"	
"2020/03/31","128.97"	
"2020/04/01","127.63"	
"2020/04/02","127.81"	
"2020/04/03","127.27"	
"2020/04/04","127.27"	
"2020/04/05","127.27"	
"2020/04/06","129.2"	
"2020/04/07","130.34"	
"2020/04/08","130.43"	
"2020/04/09","131.84"	
"2020/04/10","131.84"	
"2020/04/11","131.84"	
"2020/04/12","131.84"	
"2020/04/13","131.84"	
"2020/04/14","132.96"	
"2020/04/15","132.15"	
"2020/04/16","132.15"	
"2020/04/17","133.55"	
"2020/04/18","133.55"	
"2020/04/19","133.55"	
"2020/04/20","133.27"	
"2020/04/21","131.58"	
"2020/04/22","132.11"	
"2020/04/23","132.55"	
"2020/04/24","132.45"	
"2020/04/25","132.45"	
"2020/04/26","132.45"	
"2020/04/27","133.59"	
"2020/04/28","134.2"	
"2020/04/29","134.99"	
"2020/04/30","134.99"	
"2020/05/01","134.99"	
"2020/05/02","134.99"	
"2020/05/03","134.99"	
"2020/05/04","132.74"	
"2020/05/05","133.27"	
"2020/05/06","133.35"	
"2020/05/07","133.61"	
"2020/05/08","134.75"	
"2020/05/09","134.75"	
"2020/05/10","134.75"	
"2020/05/11","134.73"	
"2020/05/12","134.37"	
"2020/05/13","133.93"	
"2020/05/14","133.39"	
"2020/05/15","133.47"	
"2020/05/16","133.47"	
"2020/05/17","133.47"	
"2020/05/18","134.6"	
"2020/05/19","135.47"	
"2020/05/20","136.26"	
"2020/05/21","135.73"	
"2020/05/22","134.04"	
"2020/05/23","134.04"	
"2020/05/24","134.04"	
"2020/05/25","134.55"	
"2020/05/26","135.78"	
