"基金名稱","均衡組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2013/01/01","173.92"	
"2013/01/02","175.78"	
"2013/01/03","175.82"	
"2013/01/04","175.46"	
"2013/01/05","175.46"	
"2013/01/06","175.46"	
"2013/01/07","175.57"	
"2013/01/08","175.1"	
"2013/01/09","175.6"	
"2013/01/10","176.09"	
"2013/01/11","176.09"	
"2013/01/12","176.09"	
"2013/01/13","176.09"	
"2013/01/14","176.62"	
"2013/01/15","176.67"	
"2013/01/16","176.48"	
"2013/01/17","176.51"	
"2013/01/18","177.13"	
"2013/01/19","177.13"	
"2013/01/20","177.13"	
"2013/01/21","177.1"	
"2013/01/22","177.45"	
"2013/01/23","177.37"	
"2013/01/24","177.15"	
"2013/01/25","177.02"	
"2013/01/26","177.02"	
"2013/01/27","177.02"	
"2013/01/28","176.84"	
"2013/01/29","177.31"	
"2013/01/30","177.59"	
"2013/01/31","177.41"	
"2013/02/01","177.63"	
"2013/02/02","177.63"	
"2013/02/03","177.63"	
"2013/02/04","177.21"	
"2013/02/05","176.26"	
"2013/02/06","176.66"	
"2013/02/07","176.15"	
"2013/02/08","176.43"	
"2013/02/09","176.43"	
"2013/02/10","176.43"	
"2013/02/11","176.43"	
"2013/02/12","176.43"	
"2013/02/13","176.43"	
"2013/02/14","177.02"	
"2013/02/15","176.94"	
"2013/02/16","176.94"	
"2013/02/17","176.94"	
"2013/02/18","176.83"	
"2013/02/19","176.67"	
"2013/02/20","176.96"	
"2013/02/21","175.5"	
"2013/02/22","175.52"	
"2013/02/23","175.52"	
"2013/02/24","175.52"	
"2013/02/25","175.17"	
"2013/02/26","174.7"	
"2013/02/27","175.42"	
"2013/02/28","176.71"	
"2013/03/01","176.57"	
"2013/03/02","176.57"	
"2013/03/03","176.57"	
"2013/03/04","175.61"	
"2013/03/05","176.27"	
"2013/03/06","176.95"	
"2013/03/07","176.49"	
"2013/03/08","176.96"	
"2013/03/09","176.96"	
"2013/03/10","176.96"	
"2013/03/11","176.86"	
"2013/03/12","176.48"	
"2013/03/13","175.85"	
"2013/03/14","176.27"	
"2013/03/15","176.35"	
"2013/03/16","176.35"	
"2013/03/17","176.35"	
"2013/03/18","175.12"	
"2013/03/19","175.29"	
"2013/03/20","175.93"	
"2013/03/21","175.83"	
"2013/03/22","175.84"	
"2013/03/23","175.84"	
"2013/03/24","175.84"	
"2013/03/25","176.32"	
"2013/03/26","176.47"	
"2013/03/27","176.93"	
"2013/03/28","176.69"	
"2013/03/29","176.69"	
"2013/03/30","176.69"	
"2013/03/31","176.69"	
"2013/04/01","176.69"	
"2013/04/02","176.62"	
"2013/04/03","176.44"	
"2013/04/04","176.44"	
"2013/04/05","175.66"	
"2013/04/06","175.66"	
"2013/04/07","175.66"	
"2013/04/08","175.72"	
"2013/04/09","176.24"	
"2013/04/10","177.22"	
"2013/04/11","177.9"	
"2013/04/12","177.77"	
"2013/04/13","177.77"	
"2013/04/14","177.77"	
"2013/04/15","176.38"	
"2013/04/16","176.66"	
"2013/04/17","176.32"	
"2013/04/18","175.66"	
"2013/04/19","176.81"	
