"基金名稱","均衡組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2005/01/01","124.79"	
"2005/01/02","124.79"	
"2005/01/03","124.63"	
"2005/01/04","123.86"	
"2005/01/05","122.65"	
"2005/01/06","122.5"	
"2005/01/07","122.09"	
"2005/01/08","122.09"	
"2005/01/09","122.09"	
"2005/01/10","122.11"	
"2005/01/11","122.32"	
"2005/01/12","122.65"	
"2005/01/13","122.84"	
"2005/01/14","122.78"	
"2005/01/15","122.78"	
"2005/01/16","122.78"	
"2005/01/17","123.18"	
"2005/01/18","123.09"	
"2005/01/19","123.11"	
"2005/01/20","122.45"	
"2005/01/21","122.16"	
"2005/01/22","122.16"	
"2005/01/23","122.16"	
"2005/01/24","122.28"	
"2005/01/25","122.45"	
"2005/01/26","122.76"	
"2005/01/27","122.88"	
"2005/01/28","122.91"	
"2005/01/29","122.91"	
"2005/01/30","122.91"	
"2005/01/31","123.3"	
"2005/02/01","123.17"	
"2005/02/02","123.39"	
"2005/02/03","123.07"	
"2005/02/04","123.46"	
"2005/02/05","123.46"	
"2005/02/06","123.46"	
"2005/02/07","123.74"	
"2005/02/08","123.45"	
"2005/02/09","123.45"	
"2005/02/10","123.45"	
"2005/02/11","123.45"	
"2005/02/12","123.45"	
"2005/02/13","123.45"	
"2005/02/14","124.51"	
"2005/02/15","124.58"	
"2005/02/16","124.48"	
"2005/02/17","124.21"	
"2005/02/18","124.4"	
"2005/02/19","124.4"	
"2005/02/20","124.4"	
"2005/02/21","124.42"	
"2005/02/22","124.36"	
"2005/02/23","124.37"	
"2005/02/24","124.58"	
"2005/02/25","125.14"	
"2005/02/26","125.14"	
"2005/02/27","125.14"	
"2005/02/28","125.61"	
"2005/03/01","125.46"	
"2005/03/02","124.84"	
"2005/03/03","124.88"	
"2005/03/04","125.05"	
"2005/03/05","125.05"	
"2005/03/06","125.05"	
"2005/03/07","125.43"	
"2005/03/08","125.5"	
"2005/03/09","125.74"	
"2005/03/10","125.5"	
"2005/03/11","125.69"	
"2005/03/12","125.69"	
"2005/03/13","125.69"	
"2005/03/14","125.45"	
"2005/03/15","124.91"	
"2005/03/16","125.1"	
"2005/03/17","125.09"	
"2005/03/18","124.97"	
"2005/03/19","124.97"	
"2005/03/20","124.97"	
"2005/03/21","124.6"	
"2005/03/22","124.0"	
"2005/03/23","122.92"	
"2005/03/24","122.54"	
"2005/03/25","122.54"	
"2005/03/26","122.54"	
"2005/03/27","122.54"	
"2005/03/28","122.54"	
"2005/03/29","121.78"	
"2005/03/30","121.93"	
"2005/03/31","122.44"	
"2005/04/01","122.63"	
"2005/04/02","122.63"	
"2005/04/03","122.63"	
"2005/04/04","122.34"	
"2005/04/05","122.34"	
"2005/04/06","122.56"	
"2005/04/07","122.87"	
"2005/04/08","122.82"	
"2005/04/09","122.82"	
"2005/04/10","122.82"	
"2005/04/11","123.06"	
"2005/04/12","123.11"	
"2005/04/13","123.28"	
"2005/04/14","122.78"	
"2005/04/15","121.96"	
"2005/04/16","121.96"	
"2005/04/17","121.96"	
"2005/04/18","121.17"	
"2005/04/19","122.07"	
