"基金名稱","均衡組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2000/12/01","100.0"	
"2000/12/02","100.0"	
"2000/12/03","100.0"	
"2000/12/04","99.89"	
"2000/12/05","100.56"	
"2000/12/06","101.04"	
"2000/12/07","100.98"	
"2000/12/08","101.22"	
"2000/12/09","101.67"	
"2000/12/10","101.67"	
"2000/12/11","101.67"	
"2000/12/12","101.41"	
"2000/12/13","101.62"	
"2000/12/14","101.43"	
"2000/12/15","100.58"	
"2000/12/16","100.62"	
"2000/12/17","100.62"	
"2000/12/18","100.62"	
"2000/12/19","100.4"	
"2000/12/20","100.06"	
"2000/12/21","99.83"	
"2000/12/22","100.22"	
"2000/12/23","100.74"	
"2000/12/24","100.74"	
"2000/12/25","100.74"	
"2000/12/26","100.74"	
"2000/12/27","100.74"	
"2000/12/28","100.76"	
"2000/12/29","101.12"	
"2000/12/30","100.95"	
"2000/12/31","100.95"	
