"基金名稱","均衡組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2020/01/01","218.82"	
"2020/01/02","219.88"	
"2020/01/03","219.37"	
"2020/01/04","219.37"	
"2020/01/05","219.37"	
"2020/01/06","218.54"	
"2020/01/07","218.87"	
"2020/01/08","218.08"	
"2020/01/09","219.04"	
"2020/01/10","219.47"	
"2020/01/11","219.47"	
"2020/01/12","219.47"	
"2020/01/13","220.11"	
"2020/01/14","220.32"	
"2020/01/15","220.29"	
"2020/01/16","220.71"	
"2020/01/17","221.08"	
"2020/01/18","221.08"	
"2020/01/19","221.08"	
"2020/01/20","220.75"	
"2020/01/21","219.62"	
"2020/01/22","220.42"	
"2020/01/23","219.4"	
"2020/01/24","219.49"	
"2020/01/25","219.49"	
"2020/01/26","219.49"	
"2020/01/27","219.49"	
"2020/01/28","219.49"	
"2020/01/29","217.56"	
"2020/01/30","216.04"	
"2020/01/31","215.64"	
"2020/02/01","215.64"	
"2020/02/02","215.64"	
"2020/02/03","215.41"	
"2020/02/04","216.77"	
"2020/02/05","217.33"	
"2020/02/06","218.7"	
"2020/02/07","218.41"	
"2020/02/08","218.41"	
"2020/02/09","218.41"	
"2020/02/10","218.14"	
"2020/02/11","218.88"	
"2020/02/12","219.7"	
"2020/02/13","219.34"	
"2020/02/14","219.51"	
"2020/02/15","219.51"	
"2020/02/16","219.51"	
"2020/02/17","219.59"	
"2020/02/18","218.53"	
"2020/02/19","218.83"	
"2020/02/20","218.72"	
"2020/02/21","218.37"	
"2020/02/22","218.37"	
"2020/02/23","218.37"	
"2020/02/24","215.93"	
"2020/02/25","213.93"	
"2020/02/26","213.66"	
"2020/02/27","211.69"	
"2020/02/28","210.02"	
"2020/02/29","210.02"	
"2020/03/01","210.02"	
"2020/03/02","212.16"	
"2020/03/03","211.89"	
"2020/03/04","213.37"	
"2020/03/05","213.57"	
"2020/03/06","212.12"	
"2020/03/07","212.12"	
"2020/03/08","212.12"	
"2020/03/09","206.47"	
"2020/03/10","206.69"	
"2020/03/11","204.1"	
"2020/03/12","194.51"	
"2020/03/13","195.32"	
"2020/03/14","195.32"	
"2020/03/15","195.32"	
"2020/03/16","189.17"	
"2020/03/17","188.83"	
"2020/03/18","182.66"	
"2020/03/19","181.22"	
"2020/03/20","183.08"	
"2020/03/21","183.08"	
"2020/03/22","183.08"	
"2020/03/23","180.77"	
"2020/03/24","186.57"	
"2020/03/25","189.67"	
"2020/03/26","193.65"	
"2020/03/27","192.88"	
"2020/03/28","192.88"	
"2020/03/29","192.88"	
"2020/03/30","193.46"	
"2020/03/31","193.35"	
"2020/04/01","190.87"	
"2020/04/02","191.05"	
"2020/04/03","190.14"	
"2020/04/04","190.14"	
"2020/04/05","190.14"	
"2020/04/06","193.19"	
"2020/04/07","195.13"	
"2020/04/08","195.73"	
"2020/04/09","197.84"	
"2020/04/10","197.84"	
"2020/04/11","197.84"	
"2020/04/12","197.84"	
"2020/04/13","197.84"	
"2020/04/14","199.66"	
"2020/04/15","198.38"	
"2020/04/16","198.17"	
"2020/04/17","200.32"	
"2020/04/18","200.32"	
