"基金名稱","均衡組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2017/01/01","184.19"	
"2017/01/02","184.19"	
"2017/01/03","184.6"	
"2017/01/04","185.15"	
"2017/01/05","186.24"	
"2017/01/06","186.18"	
"2017/01/07","186.18"	
"2017/01/08","186.18"	
"2017/01/09","186.14"	
"2017/01/10","186.61"	
"2017/01/11","187.07"	
"2017/01/12","187.29"	
"2017/01/13","187.33"	
"2017/01/14","187.33"	
"2017/01/15","187.33"	
"2017/01/16","186.88"	
"2017/01/17","187.21"	
"2017/01/18","187.57"	
"2017/01/19","186.97"	
"2017/01/20","186.96"	
"2017/01/21","186.96"	
"2017/01/22","186.96"	
"2017/01/23","187.19"	
"2017/01/24","187.6"	
"2017/01/25","188.11"	
"2017/01/26","188.44"	
"2017/01/27","188.37"	
"2017/01/28","188.37"	
"2017/01/29","188.37"	
"2017/01/30","188.37"	
"2017/01/31","188.37"	
"2017/02/01","188.03"	
"2017/02/02","188.07"	
"2017/02/03","188.36"	
"2017/02/04","188.36"	
"2017/02/05","188.36"	
"2017/02/06","188.7"	
"2017/02/07","188.66"	
"2017/02/08","189.26"	
"2017/02/09","189.43"	
"2017/02/10","189.75"	
"2017/02/11","189.75"	
"2017/02/12","189.75"	
"2017/02/13","190.24"	
"2017/02/14","190.22"	
"2017/02/15","190.79"	
"2017/02/16","191.24"	
"2017/02/17","191.22"	
"2017/02/18","191.22"	
"2017/02/19","191.22"	
"2017/02/20","191.43"	
"2017/02/21","191.34"	
"2017/02/22","191.83"	
"2017/02/23","192.1"	
"2017/02/24","191.89"	
"2017/02/25","191.89"	
"2017/02/26","191.89"	
"2017/02/27","191.65"	
"2017/02/28","191.38"	
"2017/03/01","191.87"	
"2017/03/02","191.56"	
"2017/03/03","191.22"	
"2017/03/04","191.22"	
"2017/03/05","191.22"	
"2017/03/06","191.35"	
"2017/03/07","191.32"	
"2017/03/08","191.14"	
"2017/03/09","190.49"	
"2017/03/10","190.83"	
"2017/03/11","190.83"	
"2017/03/12","190.83"	
"2017/03/13","191.57"	
"2017/03/14","191.51"	
"2017/03/15","192.14"	
"2017/03/16","193.15"	
"2017/03/17","193.31"	
"2017/03/18","193.31"	
"2017/03/19","193.31"	
"2017/03/20","193.53"	
"2017/03/21","193.36"	
"2017/03/22","192.94"	
"2017/03/23","193.05"	
"2017/03/24","193.24"	
"2017/03/25","193.24"	
"2017/03/26","193.24"	
"2017/03/27","192.94"	
"2017/03/28","193.73"	
"2017/03/29","193.85"	
"2017/03/30","193.68"	
"2017/03/31","193.08"	
"2017/04/01","193.08"	
"2017/04/02","193.08"	
"2017/04/03","193.47"	
"2017/04/04","193.47"	
"2017/04/05","193.54"	
"2017/04/06","193.22"	
"2017/04/07","193.26"	
"2017/04/08","193.26"	
"2017/04/09","193.26"	
"2017/04/10","193.19"	
"2017/04/11","193.19"	
"2017/04/12","193.28"	
"2017/04/13","193.19"	
"2017/04/14","193.19"	
"2017/04/15","193.19"	
"2017/04/16","193.19"	
"2017/04/17","193.19"	
"2017/04/18","193.09"	
"2017/04/19","192.96"	
