"基金名稱","均衡組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2010/01/01","159.96"	
"2010/01/02","159.96"	
"2010/01/03","159.96"	
"2010/01/04","160.74"	
"2010/01/05","162.27"	
"2010/01/06","162.34"	
"2010/01/07","161.92"	
"2010/01/08","161.94"	
"2010/01/09","161.94"	
"2010/01/10","161.94"	
"2010/01/11","163.06"	
"2010/01/12","163.04"	
"2010/01/13","161.73"	
"2010/01/14","162.19"	
"2010/01/15","161.9"	
"2010/01/16","161.9"	
"2010/01/17","161.9"	
"2010/01/18","161.46"	
"2010/01/19","161.92"	
"2010/01/20","160.51"	
"2010/01/21","158.8"	
"2010/01/22","157.86"	
"2010/01/23","157.86"	
"2010/01/24","157.86"	
"2010/01/25","157.59"	
"2010/01/26","156.17"	
"2010/01/27","155.47"	
"2010/01/28","155.63"	
"2010/01/29","154.79"	
"2010/01/30","154.79"	
"2010/01/31","154.79"	
"2010/02/01","154.86"	
"2010/02/02","155.55"	
"2010/02/03","156.19"	
"2010/02/04","153.91"	
"2010/02/05","152.53"	
"2010/02/06","152.53"	
"2010/02/07","152.53"	
"2010/02/08","152.12"	
"2010/02/09","152.77"	
"2010/02/10","153.17"	
"2010/02/11","153.83"	
"2010/02/12","153.84"	
"2010/02/13","153.84"	
"2010/02/14","153.84"	
"2010/02/15","153.84"	
"2010/02/16","153.84"	
"2010/02/17","155.31"	
"2010/02/18","154.78"	
"2010/02/19","153.31"	
"2010/02/20","153.31"	
"2010/02/21","153.31"	
"2010/02/22","154.8"	
"2010/02/23","155.03"	
"2010/02/24","154.78"	
"2010/02/25","154.3"	
"2010/02/26","155.12"	
"2010/02/27","155.12"	
"2010/02/28","155.12"	
"2010/03/01","156.12"	
"2010/03/02","156.35"	
"2010/03/03","156.89"	
"2010/03/04","156.5"	
"2010/03/05","157.06"	
"2010/03/06","157.06"	
"2010/03/07","157.06"	
"2010/03/08","158.15"	
"2010/03/09","158.15"	
"2010/03/10","158.35"	
"2010/03/11","158.42"	
"2010/03/12","158.63"	
"2010/03/13","158.63"	
"2010/03/14","158.63"	
"2010/03/15","158.14"	
"2010/03/16","158.48"	
"2010/03/17","159.91"	
"2010/03/18","159.49"	
"2010/03/19","159.28"	
"2010/03/20","159.28"	
"2010/03/21","159.28"	
"2010/03/22","158.52"	
"2010/03/23","158.92"	
"2010/03/24","158.35"	
"2010/03/25","157.71"	
"2010/03/26","158.15"	
"2010/03/27","158.15"	
"2010/03/28","158.15"	
"2010/03/29","158.99"	
"2010/03/30","159.42"	
"2010/03/31","159.03"	
"2010/04/01","160.23"	
"2010/04/02","160.23"	
"2010/04/03","160.23"	
"2010/04/04","160.23"	
"2010/04/05","160.23"	
"2010/04/06","160.23"	
"2010/04/07","160.68"	
"2010/04/08","160.32"	
"2010/04/09","161.1"	
"2010/04/10","161.1"	
"2010/04/11","161.1"	
"2010/04/12","161.59"	
"2010/04/13","161.21"	
"2010/04/14","161.88"	
"2010/04/15","162.28"	
"2010/04/16","161.17"	
"2010/04/17","161.17"	
"2010/04/18","161.17"	
"2010/04/19","159.94"	
