"基金名稱","富達穩定資本基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2014/08/11","112.77"	
"2014/08/12","112.76"	
"2014/08/13","113.04"	
"2014/08/14","113.22"	
"2014/08/15","113.5"	
"2014/08/16","113.5"	
"2014/08/17","113.5"	
"2014/08/18","113.39"	
"2014/08/19","113.57"	
"2014/08/20","113.47"	
"2014/08/21","113.46"	
"2014/08/22","113.36"	
"2014/08/23","113.36"	
"2014/08/24","113.36"	
"2014/08/25","113.53"	
"2014/08/26","113.62"	
"2014/08/27","113.71"	
"2014/08/28","113.42"	
"2014/08/29","113.51"	
"2014/08/30","113.51"	
"2014/08/31","113.51"	
"2014/09/01","113.5"	
"2014/09/02","113.22"	
"2014/09/03","113.58"	
"2014/09/04","113.29"	
"2014/09/05","113.28"	
"2014/09/06","113.28"	
"2014/09/07","113.28"	
"2014/09/08","113.08"	
"2014/09/09","113.08"	
"2014/09/10","112.31"	
"2014/09/11","112.3"	
"2014/09/12","112.02"	
"2014/09/13","112.02"	
"2014/09/14","112.02"	
"2014/09/15","111.81"	
"2014/09/16","111.71"	
"2014/09/17","111.9"	
"2014/09/18","111.8"	
"2014/09/19","111.79"	
"2014/09/20","111.79"	
"2014/09/21","111.79"	
"2014/09/22","111.49"	
"2014/09/23","111.39"	
"2014/09/24","111.38"	
"2014/09/25","111.28"	
"2014/09/26","110.99"	
"2014/09/27","110.99"	
"2014/09/28","110.99"	
"2014/09/29","110.79"	
"2014/09/30","110.5"	
"2014/10/01","110.5"	
"2014/10/02","110.5"	
"2014/10/03","109.92"	
"2014/10/04","109.92"	
"2014/10/05","109.92"	
"2014/10/06","110.28"	
"2014/10/07","110.47"	
"2014/10/08","110.56"	
"2014/10/09","110.65"	
"2014/10/10","109.89"	
"2014/10/11","109.89"	
"2014/10/12","109.89"	
"2014/10/13","109.87"	
"2014/10/14","109.87"	
"2014/10/15","110.14"	
"2014/10/16","109.76"	
"2014/10/17","109.85"	
"2014/10/18","109.85"	
"2014/10/19","109.85"	
"2014/10/20","110.21"	
"2014/10/21","110.3"	
"2014/10/22","110.39"	
"2014/10/23","110.2"	
"2014/10/24","110.38"	
"2014/10/25","110.38"	
"2014/10/26","110.38"	
"2014/10/27","110.46"	
"2014/10/28","110.83"	
"2014/10/29","111.01"	
"2014/10/30","110.73"	
"2014/10/31","110.91"	
"2014/11/01","110.91"	
"2014/11/02","110.91"	
"2014/11/03","110.33"	
"2014/11/04","110.8"	
"2014/11/05","110.41"	
"2014/11/06","110.22"	
"2014/11/07","110.21"	
"2014/11/08","110.21"	
"2014/11/09","110.21"	
"2014/11/10","110.49"	
"2014/11/11","110.49"	
"2014/11/12","110.57"	
"2014/11/13","110.66"	
"2014/11/14","110.75"	
"2014/11/15","110.75"	
"2014/11/16","110.75"	
"2014/11/17","110.36"	
"2014/11/18","110.64"	
"2014/11/19","110.35"	
"2014/11/20","110.44"	
"2014/11/21","110.62"	
"2014/11/22","110.62"	
"2014/11/23","110.62"	
"2014/11/24","110.89"	
"2014/11/25","111.26"	
"2014/11/26","111.63"	
"2014/11/27","111.53"	
"2014/11/28","111.62"	
"2014/11/29","111.62"	
"2014/11/30","111.62"	
"2014/12/01","111.14"	
"2014/12/02","110.94"	
"2014/12/03","110.75"	
