"基金名稱","富達穩定資本基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2017/01/01","107.48"	
"2017/01/02","107.48"	
"2017/01/03","107.1"	
"2017/01/04","107.55"	
"2017/01/05","108.27"	
"2017/01/06","107.99"	
"2017/01/07","107.99"	
"2017/01/08","107.99"	
"2017/01/09","108.07"	
"2017/01/10","108.33"	
"2017/01/11","108.24"	
"2017/01/12","108.69"	
"2017/01/13","108.59"	
"2017/01/14","108.59"	
"2017/01/15","108.59"	
"2017/01/16","108.48"	
"2017/01/17","108.84"	
"2017/01/18","108.74"	
"2017/01/19","108.29"	
"2017/01/20","108.37"	
"2017/01/21","108.37"	
"2017/01/22","108.37"	
"2017/01/23","108.81"	
"2017/01/24","108.71"	
"2017/01/25","108.8"	
"2017/01/26","108.79"	
"2017/01/27","108.88"	
"2017/01/28","108.88"	
"2017/01/29","108.88"	
"2017/01/30","108.88"	
"2017/01/31","108.88"	
"2017/02/01","108.85"	
"2017/02/02","108.94"	
"2017/02/03","109.02"	
"2017/02/04","109.02"	
"2017/02/05","109.02"	
"2017/02/06","109.01"	
"2017/02/07","108.91"	
"2017/02/08","109.36"	
"2017/02/09","109.35"	
"2017/02/10","109.35"	
"2017/02/11","109.35"	
"2017/02/12","109.35"	
"2017/02/13","109.52"	
"2017/02/14","109.24"	
"2017/02/15","109.5"	
"2017/02/16","109.95"	
"2017/02/17","109.86"	
"2017/02/18","109.86"	
"2017/02/19","109.86"	
"2017/02/20","109.93"	
"2017/02/21","109.65"	
"2017/02/22","109.92"	
"2017/02/23","110.28"	
"2017/02/24","110.18"	
"2017/02/25","110.18"	
"2017/02/26","110.18"	
"2017/02/27","110.17"	
"2017/02/28","110.07"	
"2017/03/01","109.79"	
"2017/03/02","109.61"	
"2017/03/03","109.6"	
"2017/03/04","109.6"	
"2017/03/05","109.6"	
"2017/03/06","109.59"	
"2017/03/07","109.58"	
"2017/03/08","109.3"	
"2017/03/09","109.03"	
"2017/03/10","109.2"	
"2017/03/11","109.2"	
"2017/03/12","109.2"	
"2017/03/13","109.46"	
"2017/03/14","109.54"	
"2017/03/15","109.81"	
"2017/03/16","110.35"	
"2017/03/17","110.52"	
"2017/03/18","110.52"	
"2017/03/19","110.52"	
"2017/03/20","110.78"	
"2017/03/21","110.86"	
"2017/03/22","110.77"	
"2017/03/23","110.76"	
"2017/03/24","110.94"	
"2017/03/25","110.94"	
"2017/03/26","110.94"	
"2017/03/27","111.01"	
"2017/03/28","111.19"	
"2017/03/29","111.18"	
"2017/03/30","111.08"	
"2017/03/31","110.81"	
"2017/04/01","110.81"	
"2017/04/02","110.81"	
"2017/04/03","110.88"	
"2017/04/04","110.88"	
"2017/04/05","110.96"	
"2017/04/06","110.87"	
"2017/04/07","110.77"	
"2017/04/08","110.77"	
"2017/04/09","110.77"	
"2017/04/10","110.76"	
"2017/04/11","111.02"	
"2017/04/12","111.11"	
"2017/04/13","111.1"	
"2017/04/14","111.1"	
"2017/04/15","111.1"	
"2017/04/16","111.1"	
"2017/04/17","111.1"	
"2017/04/18","111.16"	
"2017/04/19","111.07"	
"2017/04/20","111.33"	
"2017/04/21","111.15"	
"2017/04/22","111.15"	
"2017/04/23","111.15"	
"2017/04/24","111.85"	
"2017/04/25","112.03"	
"2017/04/26","112.02"	
"2017/04/27","112.11"	
"2017/04/28","112.1"	
"2017/04/29","112.1"	
"2017/04/30","112.1"	
"2017/05/01","112.1"	
"2017/05/02","112.27"	
"2017/05/03","112.27"	
"2017/05/04","112.07"	
"2017/05/05","112.25"	
"2017/05/06","112.25"	
"2017/05/07","112.25"	
"2017/05/08","112.23"	
"2017/05/09","112.14"	
"2017/05/10","112.22"	
"2017/05/11","112.31"	
"2017/05/12","112.66"	
"2017/05/13","112.66"	
"2017/05/14","112.66"	
"2017/05/15","112.83"	
"2017/05/16","113.18"	
"2017/05/17","113.35"	
"2017/05/18","113.17"	
"2017/05/19","113.43"	
"2017/05/20","113.43"	
"2017/05/21","113.43"	
"2017/05/22","113.68"	
"2017/05/23","113.68"	
"2017/05/24","113.58"	
"2017/05/25","114.03"	
"2017/05/26","114.02"	
"2017/05/27","114.02"	
