"基金名稱","富達穩定資本基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2018/01/01","120.8"	
"2018/01/02","121.04"	
"2018/01/03","121.22"	
"2018/01/04","121.84"	
"2018/01/05","121.92"	
"2018/01/06","121.92"	
"2018/01/07","121.92"	
"2018/01/08","121.99"	
"2018/01/09","121.9"	
"2018/01/10","122.07"	
"2018/01/11","122.15"	
"2018/01/12","122.68"	
"2018/01/13","122.68"	
"2018/01/14","122.68"	
"2018/01/15","123.02"	
"2018/01/16","123.37"	
"2018/01/17","123.36"	
"2018/01/18","123.27"	
"2018/01/19","123.53"	
"2018/01/20","123.53"	
"2018/01/21","123.53"	
"2018/01/22","123.87"	
"2018/01/23","124.48"	
"2018/01/24","124.65"	
"2018/01/25","124.64"	
"2018/01/26","124.81"	
"2018/01/27","124.81"	
"2018/01/28","124.81"	
"2018/01/29","124.27"	
"2018/01/30","123.82"	
"2018/01/31","123.99"	
"2018/02/01","123.81"	
"2018/02/02","123.11"	
"2018/02/03","123.11"	
"2018/02/04","123.11"	
"2018/02/05","122.38"	
"2018/02/06","120.96"	
"2018/02/07","120.69"	
"2018/02/08","120.25"	
"2018/02/09","119.53"	
"2018/02/10","119.53"	
"2018/02/11","119.53"	
"2018/02/12","119.87"	
"2018/02/13","120.31"	
"2018/02/14","120.83"	
"2018/02/15","121.63"	
"2018/02/16","121.63"	
"2018/02/17","121.63"	
"2018/02/18","121.63"	
"2018/02/19","121.63"	
"2018/02/20","121.42"	
"2018/02/21","121.59"	
"2018/02/22","121.41"	
"2018/02/23","121.93"	
"2018/02/24","121.93"	
"2018/02/25","121.93"	
"2018/02/26","122.27"	
"2018/02/27","121.82"	
"2018/02/28","121.37"	
"2018/03/01","121.18"	
"2018/03/02","121.0"	
"2018/03/03","121.0"	
"2018/03/04","121.0"	
"2018/03/05","120.72"	
"2018/03/06","121.42"	
"2018/03/07","121.33"	
"2018/03/08","121.68"	
"2018/03/09","121.85"	
"2018/03/10","121.85"	
"2018/03/11","121.85"	
"2018/03/12","122.45"	
"2018/03/13","122.54"	
"2018/03/14","122.44"	
"2018/03/15","122.53"	
"2018/03/16","122.43"	
"2018/03/17","122.43"	
"2018/03/18","122.43"	
"2018/03/19","122.24"	
"2018/03/20","121.96"	
"2018/03/21","121.96"	
"2018/03/22","121.95"	
"2018/03/23","121.06"	
"2018/03/24","121.06"	
"2018/03/25","121.06"	
"2018/03/26","121.57"	
"2018/03/27","121.83"	
"2018/03/28","121.21"	
"2018/03/29","121.47"	
"2018/03/30","121.47"	
"2018/03/31","121.47"	
"2018/04/01","121.47"	
"2018/04/02","121.47"	
"2018/04/03","121.26"	
"2018/04/04","120.99"	
"2018/04/05","120.99"	
"2018/04/06","121.16"	
"2018/04/07","121.16"	
"2018/04/08","121.16"	
"2018/04/09","121.5"	
"2018/04/10","122.02"	
"2018/04/11","122.19"	
"2018/04/12","121.92"	
"2018/04/13","121.92"	
"2018/04/14","121.92"	
"2018/04/15","121.92"	
"2018/04/16","121.81"	
"2018/04/17","121.8"	
"2018/04/18","121.98"	
"2018/04/19","121.79"	
"2018/04/20","121.25"	
"2018/04/21","121.25"	
"2018/04/22","121.25"	
"2018/04/23","120.79"	
"2018/04/24","120.96"	
"2018/04/25","120.51"	
"2018/04/26","120.51"	
"2018/04/27","120.86"	
"2018/04/28","120.86"	
"2018/04/29","120.86"	
"2018/04/30","121.02"	
"2018/05/01","121.02"	
"2018/05/02","120.48"	
"2018/05/03","120.38"	
"2018/05/04","120.29"	
"2018/05/05","120.29"	
"2018/05/06","120.29"	
"2018/05/07","120.45"	
"2018/05/08","120.44"	
"2018/05/09","120.52"	
"2018/05/10","120.96"	
"2018/05/11","121.4"	
"2018/05/12","121.4"	
"2018/05/13","121.4"	
"2018/05/14","121.65"	
"2018/05/15","120.84"	
"2018/05/16","120.66"	
"2018/05/17","120.57"	
"2018/05/18","120.65"	
"2018/05/19","120.65"	
"2018/05/20","120.65"	
"2018/05/21","120.81"	
"2018/05/22","120.81"	
"2018/05/23","120.53"	
"2018/05/24","120.7"	
"2018/05/25","120.61"	
"2018/05/26","120.61"	
"2018/05/27","120.61"	
