"基金名稱","富達穩定資本基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2016/01/01","106.78"	
"2016/01/02","106.78"	
"2016/01/03","106.78"	
"2016/01/04","106.02"	
"2016/01/05","105.74"	
"2016/01/06","105.64"	
"2016/01/07","104.9"	
"2016/01/08","105.08"	
"2016/01/09","105.08"	
"2016/01/10","105.08"	
"2016/01/11","104.42"	
"2016/01/12","104.14"	
"2016/01/13","104.41"	
"2016/01/14","104.31"	
"2016/01/15","104.21"	
"2016/01/16","104.21"	
"2016/01/17","104.21"	
"2016/01/18","103.74"	
"2016/01/19","104.29"	
"2016/01/20","103.54"	
"2016/01/21","103.07"	
"2016/01/22","103.72"	
"2016/01/23","103.72"	
"2016/01/24","103.72"	
"2016/01/25","103.89"	
"2016/01/26","103.79"	
"2016/01/27","103.97"	
"2016/01/28","104.24"	
"2016/01/29","104.88"	
"2016/01/30","104.88"	
"2016/01/31","104.88"	
"2016/02/01","104.96"	
"2016/02/02","104.77"	
"2016/02/03","104.86"	
"2016/02/04","105.13"	
"2016/02/05","104.94"	
"2016/02/06","104.94"	
"2016/02/07","104.94"	
"2016/02/08","104.94"	
"2016/02/09","104.94"	
"2016/02/10","104.94"	
"2016/02/11","104.36"	
"2016/02/12","103.62"	
"2016/02/13","103.62"	
"2016/02/14","103.62"	
"2016/02/15","104.34"	
"2016/02/16","104.6"	
"2016/02/17","104.69"	
"2016/02/18","105.24"	
"2016/02/19","105.05"	
"2016/02/20","105.05"	
"2016/02/21","105.05"	
"2016/02/22","105.31"	
"2016/02/23","105.12"	
"2016/02/24","104.84"	
"2016/02/25","105.02"	
"2016/02/26","105.01"	
"2016/02/27","105.01"	
"2016/02/28","105.01"	
"2016/02/29","104.91"	
"2016/03/01","105.27"	
"2016/03/02","105.82"	
"2016/03/03","106.28"	
"2016/03/04","106.55"	
"2016/03/05","106.55"	
"2016/03/06","106.55"	
"2016/03/07","106.44"	
"2016/03/08","106.62"	
"2016/03/09","106.34"	
"2016/03/10","106.43"	
"2016/03/11","106.97"	
"2016/03/12","106.97"	
"2016/03/13","106.97"	
"2016/03/14","107.23"	
"2016/03/15","106.95"	
"2016/03/16","106.85"	
"2016/03/17","108.13"	
"2016/03/18","108.31"	
"2016/03/19","108.31"	
"2016/03/20","108.31"	
"2016/03/21","108.11"	
"2016/03/22","108.11"	
"2016/03/23","107.83"	
"2016/03/24","107.45"	
"2016/03/25","107.45"	
"2016/03/26","107.45"	
"2016/03/27","107.45"	
"2016/03/28","107.45"	
"2016/03/29","107.89"	
"2016/03/30","108.71"	
"2016/03/31","108.8"	
"2016/04/01","108.34"	
"2016/04/02","108.34"	
"2016/04/03","108.34"	
"2016/04/04","108.34"	
"2016/04/05","107.95"	
"2016/04/06","108.03"	
"2016/04/07","108.31"	
"2016/04/08","108.48"	
"2016/04/09","108.48"	
"2016/04/10","108.48"	
"2016/04/11","108.56"	
"2016/04/12","108.46"	
"2016/04/13","109.19"	
"2016/04/14","109.28"	
"2016/04/15","109.45"	
"2016/04/16","109.45"	
"2016/04/17","109.45"	
"2016/04/18","109.25"	
"2016/04/19","109.8"	
"2016/04/20","109.61"	
"2016/04/21","109.51"	
"2016/04/22","109.05"	
"2016/04/23","109.05"	
"2016/04/24","109.05"	
"2016/04/25","108.85"	
"2016/04/26","108.93"	
"2016/04/27","108.93"	
"2016/04/28","109.11"	
"2016/04/29","109.1"	
"2016/04/30","109.1"	
"2016/05/01","109.1"	
"2016/05/02","109.1"	
"2016/05/03","108.99"	
"2016/05/04","108.53"	
"2016/05/05","108.43"	
"2016/05/06","108.24"	
"2016/05/07","108.24"	
"2016/05/08","108.24"	
"2016/05/09","108.13"	
"2016/05/10","108.31"	
"2016/05/11","108.4"	
"2016/05/12","108.12"	
"2016/05/13","107.75"	
"2016/05/14","107.75"	
"2016/05/15","107.75"	
"2016/05/16","107.92"	
"2016/05/17","108.09"	
"2016/05/18","107.63"	
"2016/05/19","107.26"	
"2016/05/20","107.53"	
"2016/05/21","107.53"	
"2016/05/22","107.53"	
"2016/05/23","107.51"	
"2016/05/24","107.6"	
"2016/05/25","108.24"	
"2016/05/26","108.41"	
