"基金名稱","富達穩定資本基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2020/01/01","124.84"	
"2020/01/02","125.34"	
"2020/01/03","125.25"	
"2020/01/04","125.25"	
"2020/01/05","125.25"	
"2020/01/06","124.97"	
"2020/01/07","125.05"	
"2020/01/08","124.7"	
"2020/01/09","124.96"	
"2020/01/10","125.12"	
"2020/01/11","125.12"	
"2020/01/12","125.12"	
"2020/01/13","125.36"	
"2020/01/14","125.44"	
"2020/01/15","125.52"	
"2020/01/16","125.69"	
"2020/01/17","125.68"	
"2020/01/18","125.68"	
"2020/01/19","125.68"	
"2020/01/20","125.58"	
"2020/01/21","125.31"	
"2020/01/22","125.65"	
"2020/01/23","125.39"	
"2020/01/24","125.47"	
"2020/01/25","125.47"	
"2020/01/26","125.47"	
"2020/01/27","125.47"	
"2020/01/28","125.47"	
"2020/01/29","125.1"	
"2020/01/30","124.58"	
"2020/01/31","124.57"	
"2020/02/01","124.57"	
"2020/02/02","124.57"	
"2020/02/03","124.55"	
"2020/02/04","124.8"	
"2020/02/05","124.71"	
"2020/02/06","125.22"	
"2020/02/07","125.22"	
"2020/02/08","125.22"	
"2020/02/09","125.22"	
"2020/02/10","125.2"	
"2020/02/11","125.37"	
"2020/02/12","125.62"	
"2020/02/13","125.44"	
"2020/02/14","125.52"	
"2020/02/15","125.52"	
"2020/02/16","125.52"	
"2020/02/17","125.5"	
"2020/02/18","125.15"	
"2020/02/19","125.32"	
"2020/02/20","125.48"	
"2020/02/21","125.39"	
"2020/02/22","125.39"	
"2020/02/23","125.39"	
"2020/02/24","124.94"	
"2020/02/25","124.51"	
"2020/02/26","124.16"	
"2020/02/27","123.9"	
"2020/02/28","123.46"	
"2020/02/29","123.46"	
"2020/03/01","123.46"	
"2020/03/02","124.22"	
"2020/03/03","124.56"	
"2020/03/04","124.89"	
"2020/03/05","125.4"	
"2020/03/06","125.4"	
"2020/03/07","125.4"	
"2020/03/08","125.4"	
"2020/03/09","124.43"	
"2020/03/10","123.66"	
"2020/03/11","122.36"	
"2020/03/12","119.27"	
"2020/03/13","118.57"	
"2020/03/14","118.57"	
"2020/03/15","118.57"	
"2020/03/16","117.02"	
"2020/03/17","115.81"	
"2020/03/18","113.39"	
"2020/03/19","112.69"	
"2020/03/20","114.33"	
"2020/03/21","114.33"	
"2020/03/22","114.33"	
"2020/03/23","113.62"	
"2020/03/24","115.34"	
"2020/03/25","116.62"	
"2020/03/26","118.16"	
"2020/03/27","118.76"	
"2020/03/28","118.76"	
"2020/03/29","118.76"	
"2020/03/30","118.66"	
"2020/03/31","118.91"	
"2020/04/01","118.3"	
"2020/04/02","118.3"	
"2020/04/03","117.95"	
"2020/04/04","117.95"	
"2020/04/05","117.95"	
"2020/04/06","118.88"	
"2020/04/07","119.56"	
"2020/04/08","119.55"	
"2020/04/09","120.66"	
"2020/04/10","120.66"	
"2020/04/11","120.66"	
"2020/04/12","120.66"	
"2020/04/13","120.66"	
"2020/04/14","121.32"	
"2020/04/15","121.06"	
"2020/04/16","121.05"	
"2020/04/17","121.82"	
"2020/04/18","121.82"	
"2020/04/19","121.82"	
"2020/04/20","121.63"	
"2020/04/21","120.68"	
"2020/04/22","120.85"	
"2020/04/23","121.18"	
"2020/04/24","121.18"	
"2020/04/25","121.18"	
"2020/04/26","121.18"	
"2020/04/27","121.76"	
"2020/04/28","122.27"	
"2020/04/29","122.69"	
"2020/04/30","122.69"	
"2020/05/01","122.69"	
"2020/05/02","122.69"	
"2020/05/03","122.69"	
"2020/05/04","121.63"	
"2020/05/05","121.8"	
"2020/05/06","121.62"	
"2020/05/07","121.87"	
"2020/05/08","122.56"	
"2020/05/09","122.56"	
"2020/05/10","122.56"	
"2020/05/11","122.37"	
"2020/05/12","122.28"	
"2020/05/13","122.01"	
"2020/05/14","121.75"	
"2020/05/15","121.74"	
"2020/05/16","121.74"	
"2020/05/17","121.74"	
"2020/05/18","122.24"	
"2020/05/19","122.92"	
"2020/05/20","123.43"	
"2020/05/21","123.25"	
"2020/05/22","122.22"	
"2020/05/23","122.22"	
"2020/05/24","122.22"	
"2020/05/25","122.46"	
"2020/05/26","123.22"	
