"基金名稱","亞歐基金"	
"貨幣","HKD"	
"成立日期","2011/09/23"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2013/01/01","126.25"	
"2013/01/02","128.5"	
"2013/01/03","127.56"	
"2013/01/04","128.01"	
"2013/01/05","128.01"	
"2013/01/06","128.01"	
"2013/01/07","127.57"	
"2013/01/08","126.75"	
"2013/01/09","127.48"	
"2013/01/10","128.91"	
"2013/01/11","129.01"	
"2013/01/12","129.01"	
"2013/01/13","129.01"	
"2013/01/14","129.23"	
"2013/01/15","129.07"	
"2013/01/16","128.52"	
"2013/01/17","129.33"	
"2013/01/18","129.49"	
"2013/01/19","129.49"	
"2013/01/20","129.49"	
"2013/01/21","129.49"	
"2013/01/22","129.54"	
"2013/01/23","129.48"	
"2013/01/24","129.91"	
"2013/01/25","131.02"	
"2013/01/26","131.02"	
"2013/01/27","131.02"	
"2013/01/28","130.65"	
"2013/01/29","131.38"	
"2013/01/30","131.57"	
"2013/01/31","131.12"	
"2013/02/01","131.87"	
"2013/02/02","131.87"	
"2013/02/03","131.87"	
"2013/02/04","130.01"	
"2013/02/05","129.86"	
"2013/02/06","129.94"	
"2013/02/07","129.07"	
"2013/02/08","129.83"	
"2013/02/09","129.83"	
"2013/02/10","129.83"	
"2013/02/11","129.83"	
"2013/02/12","129.83"	
"2013/02/13","129.83"	
"2013/02/14","130.06"	
"2013/02/15","129.79"	
"2013/02/16","129.79"	
"2013/02/17","129.79"	
"2013/02/18","129.72"	
"2013/02/19","130.65"	
"2013/02/20","129.79"	
"2013/02/21","127.8"	
"2013/02/22","129.17"	
"2013/02/23","129.17"	
"2013/02/24","129.17"	
"2013/02/25","126.76"	
"2013/02/26","127.2"	
"2013/02/27","128.57"	
"2013/02/28","128.88"	
"2013/03/01","128.55"	
"2013/03/02","128.55"	
"2013/03/03","128.55"	
"2013/03/04","128.61"	
"2013/03/05","129.62"	
"2013/03/06","130.1"	
"2013/03/07","130.45"	
"2013/03/08","131.05"	
"2013/03/09","131.05"	
"2013/03/10","131.05"	
"2013/03/11","131.36"	
"2013/03/12","130.62"	
"2013/03/13","130.08"	
"2013/03/14","131.15"	
"2013/03/15","131.25"	
"2013/03/16","131.25"	
"2013/03/17","131.25"	
"2013/03/18","129.69"	
"2013/03/19","129.26"	
"2013/03/20","130.3"	
"2013/03/21","129.28"	
"2013/03/22","130.07"	
"2013/03/23","130.07"	
"2013/03/24","130.07"	
"2013/03/25","128.93"	
"2013/03/26","129.59"	
"2013/03/27","129.21"	
"2013/03/28","129.6"	
"2013/03/29","129.6"	
"2013/03/30","129.6"	
"2013/03/31","129.6"	
"2013/04/01","129.6"	
"2013/04/02","129.4"	
"2013/04/03","128.76"	
"2013/04/04","128.76"	
"2013/04/05","128.54"	
"2013/04/06","128.54"	
"2013/04/07","128.54"	
"2013/04/08","128.94"	
"2013/04/09","129.48"	
"2013/04/10","131.14"	
"2013/04/11","131.96"	
"2013/04/12","131.8"	
"2013/04/13","131.8"	
"2013/04/14","131.8"	
"2013/04/15","129.28"	
"2013/04/16","130.7"	
"2013/04/17","128.41"	
"2013/04/18","128.04"	
"2013/04/19","129.49"	
"2013/04/20","129.49"	
"2013/04/21","129.49"	
"2013/04/22","129.87"	
"2013/04/23","131.07"	
"2013/04/24","132.47"	
"2013/04/25","133.25"	
"2013/04/26","133.55"	
"2013/04/27","133.55"	
"2013/04/28","133.55"	
"2013/04/29","134.68"	
"2013/04/30","135.13"	
"2013/05/01","135.13"	
"2013/05/02","134.79"	
"2013/05/03","136.15"	
"2013/05/04","136.15"	
"2013/05/05","136.15"	
"2013/05/06","136.22"	
"2013/05/07","136.51"	
"2013/05/08","137.8"	
"2013/05/09","136.86"	
"2013/05/10","137.08"	
"2013/05/11","137.08"	
"2013/05/12","137.08"	
"2013/05/13","136.59"	
"2013/05/14","136.85"	
"2013/05/15","137.41"	
"2013/05/16","136.69"	
"2013/05/17","136.69"	
"2013/05/18","136.69"	
"2013/05/19","136.69"	
"2013/05/20","138.53"	
"2013/05/21","138.63"	
"2013/05/22","137.39"	
"2013/05/23","135.11"	
"2013/05/24","134.22"	
"2013/05/25","134.22"	
"2013/05/26","134.22"	
"2013/05/27","134.26"	
"2013/05/28","134.81"	
"2013/05/29","133.34"	
"2013/05/30","133.76"	
"2013/05/31","131.56"	
"2013/06/01","131.56"	
"2013/06/02","131.56"	
"2013/06/03","131.84"	
"2013/06/04","132.22"	
"2013/06/05","129.6"	
"2013/06/06","129.9"	
"2013/06/07","131.06"	
"2013/06/08","131.06"	
"2013/06/09","131.06"	
"2013/06/10","131.23"	
"2013/06/11","129.67"	
"2013/06/12","129.67"	
"2013/06/13","130.75"	
"2013/06/14","129.62"	
"2013/06/15","129.62"	
"2013/06/16","129.62"	
"2013/06/17","131.42"	
"2013/06/18","132.15"	
"2013/06/19","129.92"	
"2013/06/20","125.35"	
"2013/06/21","125.57"	
"2013/06/22","125.57"	
"2013/06/23","125.57"	
"2013/06/24","123.47"	
"2013/06/25","124.81"	
"2013/06/26","125.77"	
"2013/06/27","124.86"	
"2013/06/28","125.05"	
"2013/06/29","125.05"	
"2013/06/30","125.05"	
"2013/07/01","125.05"	
"2013/07/02","126.71"	
"2013/07/03","126.16"	
"2013/07/04","126.55"	
"2013/07/05","127.47"	
"2013/07/06","127.47"	
"2013/07/07","127.47"	
"2013/07/08","127.77"	
"2013/07/09","128.47"	
"2013/07/10","129.0"	
"2013/07/11","132.41"	
"2013/07/12","131.38"	
"2013/07/13","131.38"	
"2013/07/14","131.38"	
"2013/07/15","132.08"	
"2013/07/16","132.05"	
"2013/07/17","132.48"	
"2013/07/18","133.11"	
"2013/07/19","133.08"	
"2013/07/20","133.08"	
"2013/07/21","133.08"	
"2013/07/22","133.61"	
"2013/07/23","134.45"	
"2013/07/24","134.42"	
"2013/07/25","134.51"	
"2013/07/26","133.95"	
"2013/07/27","133.95"	
"2013/07/28","133.95"	
"2013/07/29","132.82"	
"2013/07/30","132.84"	
"2013/07/31","132.96"	
"2013/08/01","134.67"	
"2013/08/02","135.6"	
"2013/08/03","135.6"	
"2013/08/04","135.6"	
"2013/08/05","135.47"	
"2013/08/06","134.92"	
"2013/08/07","134.04"	
"2013/08/08","135.18"	
"2013/08/09","135.4"	
"2013/08/10","135.4"	
"2013/08/11","135.4"	
"2013/08/12","135.66"	
"2013/08/13","136.74"	
"2013/08/14","136.74"	
"2013/08/15","135.81"	
"2013/08/16","136.0"	
"2013/08/17","136.0"	
"2013/08/18","136.0"	
"2013/08/19","135.12"	
"2013/08/20","134.36"	
"2013/08/21","133.02"	
"2013/08/22","134.19"	
"2013/08/23","135.06"	
"2013/08/24","135.06"	
"2013/08/25","135.06"	
"2013/08/26","134.49"	
"2013/08/27","132.49"	
"2013/08/28","131.94"	
"2013/08/29","131.94"	
"2013/08/30","130.63"	
"2013/08/31","130.63"	
"2013/09/01","130.63"	
"2013/09/02","131.24"	
"2013/09/03","133.36"	
"2013/09/04","134.23"	
"2013/09/05","134.49"	
"2013/09/06","135.13"	
"2013/09/07","135.13"	
"2013/09/08","135.13"	
"2013/09/09","136.71"	
"2013/09/10","138.15"	
"2013/09/11","138.54"	
"2013/09/12","137.94"	
"2013/09/13","138.41"	
"2013/09/14","138.41"	
"2013/09/15","138.41"	
"2013/09/16","139.72"	
"2013/09/17","139.62"	
"2013/09/18","142.53"	
"2013/09/19","142.43"	
"2013/09/20","142.43"	
"2013/09/21","142.43"	
"2013/09/22","142.43"	
"2013/09/23","141.44"	
"2013/09/24","141.04"	
"2013/09/25","141.15"	
