"基金名稱","亞歐基金"	
"貨幣","HKD"	
"成立日期","2011/09/23"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2016/01/01","135.27"	
"2016/01/02","135.27"	
"2016/01/03","135.27"	
"2016/01/04","132.87"	
"2016/01/05","132.64"	
"2016/01/06","130.59"	
"2016/01/07","127.72"	
"2016/01/08","126.69"	
"2016/01/09","126.69"	
"2016/01/10","126.69"	
"2016/01/11","126.5"	
"2016/01/12","126.72"	
"2016/01/13","125.45"	
"2016/01/14","126.7"	
"2016/01/15","122.78"	
"2016/01/16","122.78"	
"2016/01/17","122.78"	
"2016/01/18","122.57"	
"2016/01/19","124.0"	
"2016/01/20","120.96"	
"2016/01/21","121.35"	
"2016/01/22","124.66"	
"2016/01/23","124.66"	
"2016/01/24","124.66"	
"2016/01/25","123.47"	
"2016/01/26","124.79"	
"2016/01/27","124.28"	
"2016/01/28","124.81"	
"2016/01/29","127.09"	
"2016/01/30","127.09"	
"2016/01/31","127.09"	
"2016/02/01","126.8"	
"2016/02/02","124.16"	
"2016/02/03","124.75"	
"2016/02/04","124.98"	
"2016/02/05","123.55"	
"2016/02/06","123.55"	
"2016/02/07","123.55"	
"2016/02/08","123.55"	
"2016/02/09","123.55"	
"2016/02/10","123.55"	
"2016/02/11","118.01"	
"2016/02/12","119.53"	
"2016/02/13","119.53"	
"2016/02/14","119.53"	
"2016/02/15","120.14"	
"2016/02/16","122.35"	
"2016/02/17","123.87"	
"2016/02/18","123.79"	
"2016/02/19","123.48"	
"2016/02/20","123.48"	
"2016/02/21","123.48"	
"2016/02/22","124.83"	
"2016/02/23","123.05"	
"2016/02/24","122.42"	
"2016/02/25","123.32"	
"2016/02/26","123.59"	
"2016/02/27","123.59"	
"2016/02/28","123.59"	
"2016/02/29","122.74"	
"2016/03/01","125.64"	
"2016/03/02","127.09"	
"2016/03/03","128.06"	
"2016/03/04","129.03"	
"2016/03/05","129.03"	
"2016/03/06","129.03"	
"2016/03/07","128.96"	
"2016/03/08","127.73"	
"2016/03/09","128.12"	
"2016/03/10","127.93"	
"2016/03/11","130.87"	
"2016/03/12","130.87"	
"2016/03/13","130.87"	
"2016/03/14","130.83"	
"2016/03/15","129.72"	
"2016/03/16","130.61"	
"2016/03/17","131.62"	
"2016/03/18","131.63"	
"2016/03/19","131.63"	
"2016/03/20","131.63"	
"2016/03/21","131.38"	
"2016/03/22","131.18"	
"2016/03/23","130.13"	
"2016/03/24","129.09"	
"2016/03/25","129.09"	
"2016/03/26","129.09"	
"2016/03/27","129.09"	
"2016/03/28","129.09"	
"2016/03/29","130.86"	
"2016/03/30","132.23"	
"2016/03/31","131.06"	
"2016/04/01","129.57"	
"2016/04/02","129.57"	
"2016/04/03","129.57"	
"2016/04/04","129.57"	
"2016/04/05","126.88"	
"2016/04/06","128.7"	
"2016/04/07","127.2"	
"2016/04/08","129.31"	
"2016/04/09","129.31"	
"2016/04/10","129.31"	
"2016/04/11","129.54"	
"2016/04/12","131.09"	
"2016/04/13","133.56"	
"2016/04/14","134.16"	
"2016/04/15","133.79"	
"2016/04/16","133.79"	
"2016/04/17","133.79"	
"2016/04/18","134.54"	
"2016/04/19","136.8"	
"2016/04/20","136.62"	
"2016/04/21","136.45"	
"2016/04/22","136.34"	
"2016/04/23","136.34"	
"2016/04/24","136.34"	
"2016/04/25","135.48"	
"2016/04/26","136.03"	
"2016/04/27","136.06"	
"2016/04/28","134.56"	
"2016/04/29","133.7"	
"2016/04/30","133.7"	
"2016/05/01","133.7"	
"2016/05/02","133.7"	
"2016/05/03","132.48"	
"2016/05/04","131.17"	
"2016/05/05","130.78"	
"2016/05/06","130.71"	
"2016/05/07","130.71"	
"2016/05/08","130.71"	
"2016/05/09","130.57"	
"2016/05/10","132.29"	
"2016/05/11","131.06"	
"2016/05/12","130.84"	
"2016/05/13","129.58"	
"2016/05/14","129.58"	
"2016/05/15","129.58"	
"2016/05/16","131.04"	
"2016/05/17","130.52"	
"2016/05/18","130.19"	
"2016/05/19","129.36"	
"2016/05/20","130.54"	
"2016/05/21","130.54"	
"2016/05/22","130.54"	
"2016/05/23","130.04"	
"2016/05/24","131.71"	
"2016/05/25","133.41"	
"2016/05/26","133.75"	
"2016/05/27","133.79"	
"2016/05/28","133.79"	
"2016/05/29","133.79"	
"2016/05/30","133.88"	
"2016/05/31","133.6"	
"2016/06/01","133.4"	
"2016/06/02","133.59"	
"2016/06/03","134.45"	
"2016/06/04","134.45"	
"2016/06/05","134.45"	
"2016/06/06","135.1"	
"2016/06/07","136.19"	
"2016/06/08","136.43"	
"2016/06/09","136.43"	
"2016/06/10","131.54"	
"2016/06/11","131.54"	
"2016/06/12","131.54"	
"2016/06/13","129.46"	
"2016/06/14","127.62"	
"2016/06/15","128.31"	
"2016/06/16","128.12"	
"2016/06/17","129.34"	
"2016/06/18","129.34"	
"2016/06/19","129.34"	
"2016/06/20","132.24"	
"2016/06/21","133.33"	
"2016/06/22","132.88"	
"2016/06/23","135.91"	
"2016/06/24","125.76"	
"2016/06/25","125.76"	
"2016/06/26","125.76"	
"2016/06/27","123.73"	
"2016/06/28","126.36"	
"2016/06/29","128.57"	
"2016/06/30","130.51"	
"2016/07/01","130.51"	
"2016/07/02","130.51"	
"2016/07/03","130.51"	
"2016/07/04","130.82"	
"2016/07/05","128.4"	
"2016/07/06","127.94"	
"2016/07/07","127.74"	
"2016/07/08","129.18"	
"2016/07/09","129.18"	
"2016/07/10","129.18"	
"2016/07/11","130.97"	
"2016/07/12","132.85"	
"2016/07/13","132.84"	
"2016/07/14","134.0"	
"2016/07/15","133.61"	
"2016/07/16","133.61"	
"2016/07/17","133.61"	
"2016/07/18","133.93"	
"2016/07/19","132.92"	
"2016/07/20","134.21"	
"2016/07/21","133.82"	
"2016/07/22","133.97"	
"2016/07/23","133.97"	
"2016/07/24","133.97"	
"2016/07/25","133.9"	
"2016/07/26","134.58"	
"2016/07/27","134.87"	
"2016/07/28","134.85"	
"2016/07/29","135.81"	
"2016/07/30","135.81"	
"2016/07/31","135.81"	
"2016/08/01","135.45"	
"2016/08/02","135.45"	
"2016/08/03","134.01"	
"2016/08/04","134.73"	
"2016/08/05","135.6"	
"2016/08/06","135.6"	
"2016/08/07","135.6"	
"2016/08/08","136.16"	
"2016/08/09","137.05"	
"2016/08/10","137.42"	
"2016/08/11","138.32"	
"2016/08/12","138.26"	
"2016/08/13","138.26"	
"2016/08/14","138.26"	
"2016/08/15","138.96"	
"2016/08/16","138.68"	
"2016/08/17","138.52"	
"2016/08/18","139.42"	
"2016/08/19","138.4"	
"2016/08/20","138.4"	
"2016/08/21","138.4"	
"2016/08/22","138.62"	
"2016/08/23","139.1"	
"2016/08/24","138.61"	
"2016/08/25","138.14"	
"2016/08/26","137.65"	
"2016/08/27","137.65"	
"2016/08/28","137.65"	
"2016/08/29","137.89"	
"2016/08/30","137.9"	
"2016/08/31","137.67"	
"2016/09/01","138.73"	
"2016/09/02","140.01"	
"2016/09/03","140.01"	
"2016/09/04","140.01"	
"2016/09/05","140.44"	
"2016/09/06","141.37"	
"2016/09/07","141.44"	
"2016/09/08","141.22"	
"2016/09/09","139.37"	
"2016/09/10","139.37"	
"2016/09/11","139.37"	
"2016/09/12","139.39"	
"2016/09/13","137.06"	
"2016/09/14","136.85"	
"2016/09/15","137.97"	
"2016/09/16","137.97"	
"2016/09/17","137.97"	
"2016/09/18","137.97"	
"2016/09/19","137.27"	
"2016/09/20","137.97"	
"2016/09/21","139.89"	
"2016/09/22","141.19"	
"2016/09/23","140.07"	
"2016/09/24","140.07"	
