"基金名稱","亞歐基金"	
"貨幣","HKD"	
"成立日期","2011/09/23"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2012/01/01","107.2"	
"2012/01/02","107.2"	
"2012/01/03","110.02"	
"2012/01/04","109.36"	
"2012/01/05","108.18"	
"2012/01/06","106.73"	
"2012/01/07","106.73"	
"2012/01/08","106.73"	
"2012/01/09","107.43"	
"2012/01/10","108.75"	
"2012/01/11","108.7"	
"2012/01/12","108.97"	
"2012/01/13","108.15"	
"2012/01/14","108.15"	
"2012/01/15","108.15"	
"2012/01/16","107.93"	
"2012/01/17","109.42"	
"2012/01/18","110.72"	
"2012/01/19","112.08"	
"2012/01/20","112.61"	
"2012/01/21","112.61"	
"2012/01/22","112.61"	
"2012/01/23","112.61"	
"2012/01/24","112.61"	
"2012/01/25","112.61"	
"2012/01/26","113.64"	
"2012/01/27","113.87"	
"2012/01/28","113.87"	
"2012/01/29","113.87"	
"2012/01/30","112.22"	
"2012/01/31","112.92"	
"2012/02/01","113.88"	
"2012/02/02","114.27"	
"2012/02/03","116.2"	
"2012/02/04","116.2"	
"2012/02/05","116.2"	
"2012/02/06","115.65"	
"2012/02/07","116.1"	
"2012/02/08","116.69"	
"2012/02/09","116.89"	
"2012/02/10","115.01"	
"2012/02/11","115.01"	
"2012/02/12","115.01"	
"2012/02/13","115.97"	
"2012/02/14","115.41"	
"2012/02/15","116.04"	
"2012/02/16","117.09"	
"2012/02/17","117.7"	
"2012/02/18","117.7"	
"2012/02/19","117.7"	
"2012/02/20","117.65"	
"2012/02/21","117.76"	
"2012/02/22","117.46"	
"2012/02/23","118.12"	
"2012/02/24","118.61"	
"2012/02/25","118.61"	
"2012/02/26","118.61"	
"2012/02/27","117.96"	
"2012/02/28","119.27"	
"2012/02/29","118.11"	
"2012/03/01","118.78"	
"2012/03/02","118.12"	
"2012/03/03","118.12"	
"2012/03/04","118.12"	
"2012/03/05","117.14"	
"2012/03/06","113.82"	
"2012/03/07","114.67"	
"2012/03/08","116.76"	
"2012/03/09","116.61"	
"2012/03/10","116.61"	
"2012/03/11","116.61"	
"2012/03/12","116.43"	
"2012/03/13","118.2"	
"2012/03/14","117.38"	
"2012/03/15","118.4"	
"2012/03/16","119.08"	
"2012/03/17","119.08"	
"2012/03/18","119.08"	
"2012/03/19","119.25"	
"2012/03/20","117.99"	
"2012/03/21","117.39"	
"2012/03/22","116.76"	
"2012/03/23","117.14"	
"2012/03/24","117.14"	
"2012/03/25","117.14"	
"2012/03/26","118.39"	
"2012/03/27","118.2"	
"2012/03/28","117.36"	
"2012/03/29","116.48"	
"2012/03/30","117.23"	
"2012/03/31","117.23"	
"2012/04/01","117.23"	
"2012/04/02","118.2"	
"2012/04/03","116.87"	
"2012/04/04","116.87"	
"2012/04/05","114.14"	
"2012/04/06","114.14"	
"2012/04/07","114.14"	
"2012/04/08","114.14"	
"2012/04/09","114.14"	
"2012/04/10","111.67"	
"2012/04/11","112.61"	
"2012/04/12","114.21"	
"2012/04/13","113.0"	
"2012/04/14","113.0"	
"2012/04/15","113.0"	
"2012/04/16","113.49"	
"2012/04/17","114.9"	
"2012/04/18","114.7"	
"2012/04/19","114.36"	
"2012/04/20","115.2"	
"2012/04/21","115.2"	
"2012/04/22","115.2"	
"2012/04/23","113.02"	
"2012/04/24","113.88"	
"2012/04/25","115.34"	
"2012/04/26","116.08"	
"2012/04/27","116.2"	
"2012/04/28","116.2"	
"2012/04/29","116.2"	
"2012/04/30","116.24"	
"2012/05/01","116.24"	
"2012/05/02","116.16"	
"2012/05/03","115.35"	
"2012/05/04","113.99"	
"2012/05/05","113.99"	
"2012/05/06","113.99"	
"2012/05/07","113.96"	
"2012/05/08","112.68"	
"2012/05/09","111.57"	
"2012/05/10","111.87"	
"2012/05/11","111.02"	
"2012/05/12","111.02"	
"2012/05/13","111.02"	
"2012/05/14","109.08"	
"2012/05/15","108.24"	
"2012/05/16","106.81"	
"2012/05/17","105.94"	
"2012/05/18","105.16"	
"2012/05/19","105.16"	
"2012/05/20","105.16"	
"2012/05/21","106.9"	
"2012/05/22","106.7"	
"2012/05/23","105.69"	
"2012/05/24","105.01"	
"2012/05/25","104.77"	
"2012/05/26","104.77"	
"2012/05/27","104.77"	
"2012/05/28","104.87"	
"2012/05/29","106.22"	
"2012/05/30","103.69"	
"2012/05/31","104.08"	
"2012/06/01","102.02"	
"2012/06/02","102.02"	
"2012/06/03","102.02"	
"2012/06/04","102.17"	
"2012/06/05","102.8"	
"2012/06/06","105.56"	
"2012/06/07","105.79"	
"2012/06/08","105.31"	
"2012/06/09","105.31"	
"2012/06/10","105.31"	
"2012/06/11","105.06"	
"2012/06/12","106.32"	
"2012/06/13","105.85"	
"2012/06/14","106.31"	
"2012/06/15","107.97"	
"2012/06/16","107.97"	
"2012/06/17","107.97"	
"2012/06/18","107.9"	
"2012/06/19","109.22"	
"2012/06/20","109.78"	
"2012/06/21","105.32"	
"2012/06/22","105.74"	
"2012/06/23","105.74"	
"2012/06/24","105.74"	
"2012/06/25","105.17"	
"2012/06/26","105.77"	
"2012/06/27","106.76"	
"2012/06/28","106.73"	
"2012/06/29","110.27"	
"2012/06/30","110.27"	
"2012/07/01","110.27"	
"2012/07/02","110.27"	
"2012/07/03","112.03"	
"2012/07/04","111.98"	
"2012/07/05","110.65"	
"2012/07/06","109.78"	
"2012/07/07","109.78"	
"2012/07/08","109.78"	
"2012/07/09","109.23"	
"2012/07/10","108.66"	
"2012/07/11","108.96"	
"2012/07/12","107.69"	
"2012/07/13","108.91"	
"2012/07/14","108.91"	
"2012/07/15","108.91"	
"2012/07/16","108.9"	
"2012/07/17","109.52"	
"2012/07/18","109.95"	
"2012/07/19","111.18"	
"2012/07/20","109.14"	
"2012/07/21","109.14"	
"2012/07/22","109.14"	
"2012/07/23","106.73"	
"2012/07/24","105.63"	
"2012/07/25","106.09"	
"2012/07/26","108.57"	
"2012/07/27","110.74"	
"2012/07/28","110.74"	
"2012/07/29","110.74"	
"2012/07/30","110.97"	
"2012/07/31","110.61"	
"2012/08/01","110.61"	
"2012/08/02","109.32"	
"2012/08/03","112.24"	
"2012/08/04","112.24"	
"2012/08/05","112.24"	
"2012/08/06","113.19"	
"2012/08/07","114.03"	
"2012/08/08","113.92"	
"2012/08/09","114.25"	
"2012/08/10","114.24"	
"2012/08/11","114.24"	
"2012/08/12","114.24"	
"2012/08/13","113.74"	
"2012/08/14","114.2"	
"2012/08/15","113.69"	
"2012/08/16","114.67"	
"2012/08/17","115.01"	
"2012/08/18","115.01"	
"2012/08/19","115.01"	
"2012/08/20","114.84"	
"2012/08/21","115.4"	
"2012/08/22","115.03"	
"2012/08/23","114.76"	
"2012/08/24","114.36"	
"2012/08/25","114.36"	
"2012/08/26","114.36"	
"2012/08/27","114.36"	
"2012/08/28","114.26"	
"2012/08/29","113.93"	
"2012/08/30","112.32"	
"2012/08/31","113.03"	
"2012/09/01","113.03"	
"2012/09/02","113.03"	
"2012/09/03","113.13"	
"2012/09/04","112.53"	
"2012/09/05","111.98"	
"2012/09/06","114.35"	
"2012/09/07","116.42"	
"2012/09/08","116.42"	
"2012/09/09","116.42"	
"2012/09/10","115.68"	
"2012/09/11","116.71"	
"2012/09/12","117.58"	
"2012/09/13","118.9"	
"2012/09/14","120.42"	
"2012/09/15","120.42"	
"2012/09/16","120.42"	
"2012/09/17","119.97"	
"2012/09/18","119.52"	
"2012/09/19","120.22"	
"2012/09/20","119.3"	
"2012/09/21","119.52"	
"2012/09/22","119.52"	
"2012/09/23","119.52"	
"2012/09/24","119.11"	
