"基金名稱","大中華股票基金"	
"貨幣","HKD"	
"成立日期","2004/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2008/08/10","169.41"	
"2008/08/11","169.67"	
"2008/08/12","167.36"	
"2008/08/13","166.12"	
"2008/08/14","167.92"	
"2008/08/15","166.0"	
"2008/08/16","166.0"	
"2008/08/17","166.0"	
"2008/08/18","163.1"	
"2008/08/19","160.61"	
"2008/08/20","163.95"	
"2008/08/21","160.88"	
"2008/08/22","160.88"	
"2008/08/23","160.88"	
"2008/08/24","160.88"	
"2008/08/25","164.97"	
"2008/08/26","164.48"	
"2008/08/27","167.93"	
"2008/08/28","165.72"	
"2008/08/29","167.05"	
"2008/08/30","167.05"	
"2008/08/31","167.05"	
"2008/09/01","163.38"	
"2008/09/02","162.51"	
"2008/09/03","158.86"	
"2008/09/04","155.88"	
"2008/09/05","153.0"	
"2008/09/06","153.0"	
"2008/09/07","153.0"	
"2008/09/08","158.73"	
"2008/09/09","155.36"	
"2008/09/10","152.67"	
"2008/09/11","147.59"	
"2008/09/12","148.06"	
"2008/09/13","148.06"	
"2008/09/14","148.06"	
"2008/09/15","148.06"	
"2008/09/16","139.14"	
"2008/09/17","136.45"	
"2008/09/18","134.95"	
"2008/09/19","144.95"	
"2008/09/20","144.95"	
"2008/09/21","144.95"	
"2008/09/22","147.4"	
"2008/09/23","144.45"	
"2008/09/24","143.69"	
"2008/09/25","142.92"	
"2008/09/26","140.42"	
"2008/09/27","140.42"	
"2008/09/28","140.42"	
"2008/09/29","136.48"	
"2008/09/30","135.13"	
"2008/10/01","135.13"	
"2008/10/02","136.08"	
"2008/10/03","133.48"	
"2008/10/04","133.48"	
"2008/10/05","133.48"	
"2008/10/06","126.78"	
"2008/10/07","126.78"	
"2008/10/08","117.02"	
"2008/10/09","118.26"	
"2008/10/10","112.13"	
"2008/10/11","112.13"	
"2008/10/12","112.13"	
"2008/10/13","118.9"	
"2008/10/14","124.45"	
"2008/10/15","119.86"	
"2008/10/16","114.53"	
"2008/10/17","110.71"	
"2008/10/18","110.71"	
"2008/10/19","110.71"	
"2008/10/20","114.22"	
"2008/10/21","113.07"	
"2008/10/22","108.37"	
"2008/10/23","104.74"	
"2008/10/24","98.79"	
"2008/10/25","98.79"	
"2008/10/26","98.79"	
"2008/10/27","90.08"	
"2008/10/28","96.6"	
"2008/10/29","97.36"	
"2008/10/30","107.03"	
"2008/10/31","108.66"	
"2008/11/01","108.66"	
