"基金名稱","大中華股票基金"	
"貨幣","HKD"	
"成立日期","2004/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2010/01/01","182.84"	
"2010/01/02","182.84"	
"2010/01/03","182.84"	
"2010/01/04","183.92"	
"2010/01/05","187.55"	
"2010/01/06","188.2"	
"2010/01/07","186.6"	
"2010/01/08","186.69"	
"2010/01/09","186.69"	
"2010/01/10","186.69"	
"2010/01/11","187.97"	
"2010/01/12","188.05"	
"2010/01/13","183.3"	
"2010/01/14","183.47"	
"2010/01/15","183.65"	
"2010/01/16","183.65"	
"2010/01/17","183.65"	
"2010/01/18","182.6"	
"2010/01/19","183.52"	
"2010/01/20","181.18"	
"2010/01/21","176.97"	
"2010/01/22","174.06"	
"2010/01/23","174.06"	
"2010/01/24","174.06"	
"2010/01/25","173.2"	
"2010/01/26","167.87"	
"2010/01/27","166.83"	
"2010/01/28","169.62"	
"2010/01/29","167.94"	
"2010/01/30","167.94"	
"2010/01/31","167.94"	
"2010/02/01","167.72"	
"2010/02/02","167.62"	
"2010/02/03","171.53"	
"2010/02/04","169.19"	
"2010/02/05","162.47"	
"2010/02/06","162.47"	
"2010/02/07","162.47"	
"2010/02/08","161.05"	
"2010/02/09","163.27"	
"2010/02/10","165.31"	
"2010/02/11","167.35"	
"2010/02/12","167.52"	
"2010/02/13","167.52"	
"2010/02/14","167.52"	
"2010/02/15","167.52"	
"2010/02/16","167.52"	
"2010/02/17","168.78"	
"2010/02/18","168.21"	
"2010/02/19","165.14"	
"2010/02/20","165.14"	
"2010/02/21","165.14"	
"2010/02/22","167.91"	
"2010/02/23","169.2"	
"2010/02/24","168.26"	
"2010/02/25","167.14"	
"2010/02/26","168.15"	
"2010/02/27","168.15"	
"2010/02/28","168.15"	
"2010/03/01","171.3"	
"2010/03/02","171.75"	
"2010/03/03","172.21"	
"2010/03/04","170.34"	
"2010/03/05","172.38"	
"2010/03/06","172.38"	
"2010/03/07","172.38"	
"2010/03/08","175.89"	
"2010/03/09","175.88"	
"2010/03/10","175.97"	
"2010/03/11","176.24"	
"2010/03/12","175.76"	
"2010/03/13","175.76"	
"2010/03/14","175.76"	
"2010/03/15","173.97"	
"2010/03/16","173.97"	
"2010/03/17","177.4"	
"2010/03/18","177.21"	
"2010/03/19","177.38"	
"2010/03/20","177.38"	
"2010/03/21","177.38"	
"2010/03/22","174.56"	
"2010/03/23","174.09"	
"2010/03/24","174.45"	
"2010/03/25","173.88"	
"2010/03/26","175.55"	
"2010/03/27","175.55"	
"2010/03/28","175.55"	
"2010/03/29","177.39"	
"2010/03/30","178.22"	
"2010/03/31","177.1"	
"2010/04/01","179.61"	
"2010/04/02","179.61"	
"2010/04/03","179.61"	
"2010/04/04","179.61"	
"2010/04/05","179.61"	
"2010/04/06","179.61"	
"2010/04/07","182.34"	
"2010/04/08","180.85"	
"2010/04/09","182.61"	
"2010/04/10","182.61"	
"2010/04/11","182.61"	
"2010/04/12","181.83"	
"2010/04/13","180.43"	
"2010/04/14","181.26"	
"2010/04/15","181.9"	
"2010/04/16","179.57"	
"2010/04/17","179.57"	
"2010/04/18","179.57"	
"2010/04/19","175.09"	
"2010/04/20","176.38"	
"2010/04/21","177.12"	
"2010/04/22","176.64"	
"2010/04/23","175.8"	
"2010/04/24","175.8"	
"2010/04/25","175.8"	
"2010/04/26","178.47"	
"2010/04/27","177.06"	
"2010/04/28","174.92"	
"2010/04/29","173.33"	
"2010/04/30","174.06"	
"2010/05/01","174.06"	
"2010/05/02","174.06"	
"2010/05/03","172.46"	
"2010/05/04","172.17"	
"2010/05/05","168.07"	
"2010/05/06","165.37"	
"2010/05/07","164.06"	
"2010/05/08","164.06"	
"2010/05/09","164.06"	
"2010/05/10","166.63"	
"2010/05/11","165.7"	
"2010/05/12","164.95"	
"2010/05/13","167.62"	
"2010/05/14","166.41"	
"2010/05/15","166.41"	
"2010/05/16","166.41"	
"2010/05/17","162.32"	
"2010/05/18","163.24"	
"2010/05/19","161.56"	
"2010/05/20","159.79"	
"2010/05/21","159.79"	
"2010/05/22","159.79"	
"2010/05/23","159.79"	
"2010/05/24","159.94"	
"2010/05/25","154.37"	
"2010/05/26","156.68"	
"2010/05/27","159.18"	
"2010/05/28","162.14"	
"2010/05/29","162.14"	
"2010/05/30","162.14"	
"2010/05/31","162.58"	
"2010/06/01","160.53"	
"2010/06/02","159.41"	
"2010/06/03","162.56"	
"2010/06/04","162.37"	
"2010/06/05","162.37"	
"2010/06/06","162.37"	
"2010/06/07","159.19"	
"2010/06/08","159.09"	
"2010/06/09","159.18"	
"2010/06/10","159.91"	
"2010/06/11","161.94"	
"2010/06/12","161.94"	
"2010/06/13","161.94"	
"2010/06/14","163.49"	
"2010/06/15","164.32"	
"2010/06/16","164.32"	
"2010/06/17","165.6"	
"2010/06/18","166.14"	
"2010/06/19","166.14"	
"2010/06/20","166.14"	
"2010/06/21","170.75"	
"2010/06/22","170.65"	
"2010/06/23","170.18"	
"2010/06/24","169.06"	
"2010/06/25","167.94"	
"2010/06/26","167.94"	
