"基金名稱","大中華股票基金"	
"貨幣","HKD"	
"成立日期","2004/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2019/01/01","195.56"	
"2019/01/02","190.66"	
"2019/01/03","189.04"	
"2019/01/04","191.51"	
"2019/01/05","191.51"	
"2019/01/06","191.51"	
"2019/01/07","194.25"	
"2019/01/08","194.46"	
"2019/01/09","198.7"	
"2019/01/10","199.44"	
"2019/01/11","200.63"	
"2019/01/12","200.63"	
"2019/01/13","200.63"	
"2019/01/14","197.97"	
"2019/01/15","201.71"	
"2019/01/16","202.09"	
"2019/01/17","201.65"	
"2019/01/18","204.24"	
"2019/01/19","204.24"	
"2019/01/20","204.24"	
"2019/01/21","205.29"	
"2019/01/22","203.63"	
"2019/01/23","203.25"	
"2019/01/24","204.53"	
"2019/01/25","208.26"	
"2019/01/26","208.26"	
"2019/01/27","208.26"	
"2019/01/28","208.18"	
"2019/01/29","207.54"	
"2019/01/30","208.12"	
"2019/01/31","210.59"	
"2019/02/01","210.9"	
"2019/02/02","210.9"	
"2019/02/03","210.9"	
"2019/02/04","211.43"	
"2019/02/05","211.43"	
"2019/02/06","211.43"	
"2019/02/07","211.43"	
"2019/02/08","211.12"	
"2019/02/09","211.12"	
"2019/02/10","211.12"	
"2019/02/11","213.28"	
"2019/02/12","213.79"	
"2019/02/13","215.73"	
"2019/02/14","215.09"	
"2019/02/15","211.31"	
"2019/02/16","211.31"	
"2019/02/17","211.31"	
"2019/02/18","214.59"	
"2019/02/19","213.93"	
"2019/02/20","216.53"	
"2019/02/21","218.2"	
"2019/02/22","220.05"	
"2019/02/23","220.05"	
"2019/02/24","220.05"	
"2019/02/25","221.77"	
"2019/02/26","220.63"	
"2019/02/27","220.24"	
"2019/02/28","219.28"	
"2019/03/01","221.12"	
"2019/03/02","221.12"	
"2019/03/03","221.12"	
"2019/03/04","222.58"	
"2019/03/05","222.76"	
"2019/03/06","223.43"	
"2019/03/07","220.99"	
"2019/03/08","215.97"	
"2019/03/09","215.97"	
"2019/03/10","215.97"	
"2019/03/11","218.08"	
"2019/03/12","221.21"	
"2019/03/13","220.47"	
"2019/03/14","220.12"	
"2019/03/15","221.74"	
"2019/03/16","221.74"	
"2019/03/17","221.74"	
"2019/03/18","225.22"	
"2019/03/19","225.14"	
"2019/03/20","224.5"	
"2019/03/21","223.79"	
"2019/03/22","224.03"	
"2019/03/23","224.03"	
"2019/03/24","224.03"	
"2019/03/25","218.97"	
"2019/03/26","219.46"	
"2019/03/27","220.84"	
"2019/03/28","220.75"	
"2019/03/29","223.45"	
"2019/03/30","223.45"	
"2019/03/31","223.45"	
"2019/04/01","226.79"	
"2019/04/02","227.37"	
"2019/04/03","229.64"	
"2019/04/04","229.42"	
"2019/04/05","229.42"	
"2019/04/06","229.42"	
"2019/04/07","229.42"	
"2019/04/08","231.0"	
"2019/04/09","231.96"	
"2019/04/10","232.0"	
"2019/04/11","229.38"	
"2019/04/12","229.69"	
"2019/04/13","229.69"	
"2019/04/14","229.69"	
"2019/04/15","229.61"	
"2019/04/16","231.72"	
"2019/04/17","232.42"	
"2019/04/18","231.44"	
"2019/04/19","231.44"	
"2019/04/20","231.44"	
"2019/04/21","231.44"	
"2019/04/22","231.44"	
"2019/04/23","231.08"	
"2019/04/24","230.71"	
"2019/04/25","228.2"	
"2019/04/26","227.45"	
"2019/04/27","227.45"	
"2019/04/28","227.45"	
"2019/04/29","229.17"	
"2019/04/30","228.16"	
"2019/05/01","228.16"	
"2019/05/02","229.72"	
"2019/05/03","231.31"	
"2019/05/04","231.31"	
"2019/05/05","231.31"	
"2019/05/06","223.94"	
"2019/05/07","225.43"	
"2019/05/08","222.75"	
"2019/05/09","217.18"	
"2019/05/10","219.6"	
"2019/05/11","219.6"	
"2019/05/12","219.6"	
"2019/05/13","219.6"	
"2019/05/14","214.39"	
"2019/05/15","215.85"	
"2019/05/16","215.47"	
"2019/05/17","211.78"	
"2019/05/18","211.78"	
"2019/05/19","211.78"	
"2019/05/20","209.08"	
"2019/05/21","208.79"	
"2019/05/22","208.91"	
"2019/05/23","204.99"	
"2019/05/24","205.82"	
"2019/05/25","205.82"	
"2019/05/26","205.82"	
"2019/05/27","205.74"	
"2019/05/28","207.21"	
"2019/05/29","205.74"	
"2019/05/30","205.55"	
"2019/05/31","205.37"	
"2019/06/01","205.37"	
"2019/06/02","205.37"	
"2019/06/03","205.72"	
"2019/06/04","203.69"	
"2019/06/05","204.81"	
"2019/06/06","204.7"	
"2019/06/07","204.7"	
"2019/06/08","204.7"	
"2019/06/09","204.7"	
"2019/06/10","209.51"	
"2019/06/11","211.65"	
"2019/06/12","209.01"	
"2019/06/13","208.66"	
"2019/06/14","207.53"	
"2019/06/15","207.53"	
"2019/06/16","207.53"	
"2019/06/17","207.54"	
"2019/06/18","209.71"	
"2019/06/19","215.34"	
"2019/06/20","218.41"	
"2019/06/21","217.77"	
"2019/06/22","217.77"	
"2019/06/23","217.77"	
"2019/06/24","218.42"	
"2019/06/25","215.51"	
"2019/06/26","215.58"	
