"基金名稱","大中華股票基金"	
"貨幣","HKD"	
"成立日期","2004/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2006/01/01","120.07"	
"2006/01/02","120.07"	
"2006/01/03","121.76"	
"2006/01/04","123.04"	
"2006/01/05","124.69"	
"2006/01/06","124.88"	
"2006/01/07","124.88"	
"2006/01/08","124.88"	
"2006/01/09","125.76"	
"2006/01/10","125.95"	
"2006/01/11","125.76"	
"2006/01/12","125.95"	
"2006/01/13","126.74"	
"2006/01/14","126.74"	
"2006/01/15","126.74"	
"2006/01/16","128.14"	
"2006/01/17","127.35"	
"2006/01/18","125.39"	
"2006/01/19","126.67"	
"2006/01/20","126.18"	
"2006/01/21","126.18"	
"2006/01/22","126.18"	
"2006/01/23","124.05"	
"2006/01/24","126.28"	
"2006/01/25","126.96"	
"2006/01/26","126.27"	
"2006/01/27","127.95"	
"2006/01/28","127.95"	
"2006/01/29","127.95"	
"2006/01/30","127.95"	
"2006/01/31","127.95"	
"2006/02/01","129.14"	
"2006/02/02","128.55"	
"2006/02/03","127.46"	
"2006/02/04","127.46"	
"2006/02/05","127.46"	
"2006/02/06","129.34"	
"2006/02/07","129.44"	
"2006/02/08","127.29"	
"2006/02/09","126.5"	
"2006/02/10","126.3"	
"2006/02/11","126.3"	
"2006/02/12","126.3"	
"2006/02/13","125.81"	
"2006/02/14","126.68"	
"2006/02/15","126.78"	
"2006/02/16","126.58"	
"2006/02/17","126.58"	
"2006/02/18","126.58"	
"2006/02/19","126.58"	
"2006/02/20","127.17"	
"2006/02/21","127.17"	
"2006/02/22","126.49"	
"2006/02/23","126.19"	
"2006/02/24","126.68"	
"2006/02/25","126.68"	
"2006/02/26","126.68"	
"2006/02/27","127.46"	
"2006/02/28","126.77"	
"2006/03/01","127.06"	
"2006/03/02","128.24"	
"2006/03/03","128.03"	
"2006/03/04","128.03"	
"2006/03/05","128.03"	
"2006/03/06","127.91"	
"2006/03/07","125.73"	
"2006/03/08","124.05"	
"2006/03/09","124.54"	
"2006/03/10","125.43"	
"2006/03/11","125.43"	
"2006/03/12","125.43"	
"2006/03/13","126.68"	
"2006/03/14","125.99"	
"2006/03/15","127.57"	
"2006/03/16","127.96"	
"2006/03/17","128.84"	
"2006/03/18","128.84"	
"2006/03/19","128.84"	
"2006/03/20","129.32"	
"2006/03/21","128.92"	
"2006/03/22","128.13"	
"2006/03/23","128.91"	
"2006/03/24","129.29"	
"2006/03/25","129.29"	
"2006/03/26","129.29"	
"2006/03/27","131.16"	
"2006/03/28","131.75"	
"2006/03/29","132.04"	
"2006/03/30","132.92"	
"2006/03/31","133.91"	
"2006/04/01","133.91"	
"2006/04/02","133.91"	
"2006/04/03","136.64"	
"2006/04/04","137.03"	
"2006/04/05","137.03"	
"2006/04/06","140.39"	
"2006/04/07","140.29"	
"2006/04/08","140.29"	
"2006/04/09","140.29"	
"2006/04/10","139.77"	
"2006/04/11","139.86"	
"2006/04/12","139.07"	
"2006/04/13","140.63"	
"2006/04/14","140.63"	
"2006/04/15","140.63"	
"2006/04/16","140.63"	
"2006/04/17","140.63"	
"2006/04/18","142.46"	
"2006/04/19","143.82"	
"2006/04/20","144.88"	
"2006/04/21","144.48"	
"2006/04/22","144.48"	
"2006/04/23","144.48"	
"2006/04/24","142.99"	
"2006/04/25","141.39"	
"2006/04/26","142.87"	
"2006/04/27","142.86"	
"2006/04/28","142.55"	
"2006/04/29","142.55"	
"2006/04/30","142.55"	
"2006/05/01","142.55"	
"2006/05/02","144.01"	
"2006/05/03","146.09"	
"2006/05/04","147.95"	
"2006/05/05","147.95"	
"2006/05/06","147.95"	
"2006/05/07","147.95"	
"2006/05/08","150.0"	
"2006/05/09","149.4"	
"2006/05/10","148.9"	
"2006/05/11","150.08"	
"2006/05/12","149.08"	
"2006/05/13","149.08"	
"2006/05/14","149.08"	
"2006/05/15","146.33"	
"2006/05/16","143.59"	
"2006/05/17","145.94"	
"2006/05/18","143.38"	
"2006/05/19","142.98"	
"2006/05/20","142.98"	
"2006/05/21","142.98"	
"2006/05/22","137.25"	
"2006/05/23","135.86"	
"2006/05/24","136.76"	
"2006/05/25","135.85"	
"2006/05/26","137.51"	
"2006/05/27","137.51"	
"2006/05/28","137.51"	
"2006/05/29","137.98"	
"2006/05/30","138.07"	
"2006/05/31","138.07"	
"2006/06/01","136.87"	
"2006/06/02","138.74"	
"2006/06/03","138.74"	
"2006/06/04","138.74"	
"2006/06/05","137.74"	
"2006/06/06","137.63"	
"2006/06/07","135.25"	
"2006/06/08","129.61"	
"2006/06/09","129.6"	
"2006/06/10","129.6"	
"2006/06/11","129.6"	
"2006/06/12","129.58"	
"2006/06/13","125.42"	
"2006/06/14","125.61"	
"2006/06/15","126.79"	
"2006/06/16","131.04"	
"2006/06/17","131.04"	
"2006/06/18","131.04"	
"2006/06/19","129.44"	
"2006/06/20","125.89"	
"2006/06/21","125.19"	
"2006/06/22","127.94"	
"2006/06/23","128.03"	
"2006/06/24","128.03"	
"2006/06/25","128.03"	
"2006/06/26","129.0"	
