"基金名稱","基金經理精選退休基金"	
"貨幣","HKD"	
"成立日期","2008/08/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2019/01/01","163.57"	
"2019/01/02","162.31"	
"2019/01/03","161.59"	
"2019/01/04","163.77"	
"2019/01/05","163.77"	
"2019/01/06","163.77"	
"2019/01/07","164.88"	
"2019/01/08","165.29"	
"2019/01/09","167.16"	
"2019/01/10","167.42"	
"2019/01/11","167.83"	
"2019/01/12","167.83"	
"2019/01/13","167.83"	
"2019/01/14","166.94"	
"2019/01/15","168.33"	
"2019/01/16","168.61"	
"2019/01/17","168.61"	
"2019/01/18","169.95"	
"2019/01/19","169.95"	
"2019/01/20","169.95"	
"2019/01/21","170.15"	
"2019/01/22","169.23"	
"2019/01/23","169.19"	
"2019/01/24","169.71"	
"2019/01/25","171.35"	
"2019/01/26","171.35"	
"2019/01/27","171.35"	
"2019/01/28","171.01"	
"2019/01/29","171.11"	
"2019/01/30","171.81"	
"2019/01/31","173.46"	
"2019/02/01","173.41"	
"2019/02/02","173.41"	
"2019/02/03","173.41"	
"2019/02/04","173.64"	
"2019/02/05","173.64"	
"2019/02/06","173.64"	
"2019/02/07","173.64"	
"2019/02/08","172.82"	
"2019/02/09","172.82"	
"2019/02/10","172.82"	
"2019/02/11","173.11"	
"2019/02/12","173.91"	
"2019/02/13","174.81"	
"2019/02/14","174.62"	
"2019/02/15","174.08"	
"2019/02/16","174.08"	
"2019/02/17","174.08"	
"2019/02/18","175.33"	
"2019/02/19","175.28"	
"2019/02/20","176.37"	
"2019/02/21","176.46"	
"2019/02/22","177.11"	
"2019/02/23","177.11"	
"2019/02/24","177.11"	
"2019/02/25","177.77"	
"2019/02/26","177.54"	
"2019/02/27","177.26"	
"2019/02/28","176.53"	
"2019/03/01","177.23"	
"2019/03/02","177.23"	
"2019/03/03","177.23"	
"2019/03/04","177.55"	
"2019/03/05","177.41"	
"2019/03/06","177.5"	
"2019/03/07","176.36"	
"2019/03/08","174.5"	
"2019/03/09","174.5"	
"2019/03/10","174.5"	
"2019/03/11","175.56"	
"2019/03/12","176.84"	
"2019/03/13","177.06"	
"2019/03/14","176.94"	
"2019/03/15","177.88"	
"2019/03/16","177.88"	
"2019/03/17","177.88"	
"2019/03/18","179.18"	
"2019/03/19","179.39"	
"2019/03/20","178.91"	
"2019/03/21","179.03"	
"2019/03/22","178.48"	
"2019/03/23","178.48"	
"2019/03/24","178.48"	
"2019/03/25","176.82"	
"2019/03/26","177.55"	
"2019/03/27","177.91"	
"2019/03/28","177.69"	
"2019/03/29","178.73"	
"2019/03/30","178.73"	
"2019/03/31","178.73"	
"2019/04/01","180.33"	
"2019/04/02","180.45"	
"2019/04/03","181.6"	
"2019/04/04","181.45"	
"2019/04/05","181.45"	
"2019/04/06","181.45"	
"2019/04/07","181.45"	
"2019/04/08","181.98"	
"2019/04/09","182.02"	
"2019/04/10","182.07"	
"2019/04/11","181.48"	
"2019/04/12","181.81"	
"2019/04/13","181.81"	
"2019/04/14","181.81"	
"2019/04/15","181.91"	
"2019/04/16","182.4"	
"2019/04/17","182.39"	
"2019/04/18","181.93"	
"2019/04/19","181.93"	
"2019/04/20","181.93"	
"2019/04/21","181.93"	
"2019/04/22","181.93"	
"2019/04/23","181.95"	
"2019/04/24","181.63"	
"2019/04/25","180.87"	
"2019/04/26","181.09"	
"2019/04/27","181.09"	
"2019/04/28","181.09"	
"2019/04/29","181.67"	
"2019/04/30","181.53"	
"2019/05/01","181.53"	
"2019/05/02","181.37"	
"2019/05/03","182.04"	
"2019/05/04","182.04"	
"2019/05/05","182.04"	
"2019/05/06","180.04"	
"2019/05/07","179.75"	
"2019/05/08","178.74"	
"2019/05/09","176.81"	
"2019/05/10","177.6"	
"2019/05/11","177.6"	
"2019/05/12","177.6"	
"2019/05/13","177.6"	
"2019/05/14","175.68"	
"2019/05/15","176.5"	
"2019/05/16","176.72"	
"2019/05/17","175.85"	
"2019/05/18","175.85"	
"2019/05/19","175.85"	
"2019/05/20","175.19"	
"2019/05/21","175.28"	
"2019/05/22","175.14"	
"2019/05/23","173.85"	
"2019/05/24","174.46"	
"2019/05/25","174.46"	
"2019/05/26","174.46"	
"2019/05/27","174.52"	
"2019/05/28","174.67"	
"2019/05/29","173.57"	
"2019/05/30","173.46"	
"2019/05/31","172.93"	
"2019/06/01","172.93"	
"2019/06/02","172.93"	
"2019/06/03","173.18"	
"2019/06/04","173.65"	
"2019/06/05","174.8"	
"2019/06/06","175.03"	
"2019/06/07","175.03"	
"2019/06/08","175.03"	
"2019/06/09","175.03"	
"2019/06/10","177.35"	
"2019/06/11","178.07"	
"2019/06/12","176.97"	
"2019/06/13","176.89"	
"2019/06/14","176.29"	
"2019/06/15","176.29"	
"2019/06/16","176.29"	
"2019/06/17","176.28"	
"2019/06/18","177.4"	
"2019/06/19","179.2"	
"2019/06/20","180.94"	
"2019/06/21","180.29"	
"2019/06/22","180.29"	
"2019/06/23","180.29"	
"2019/06/24","180.71"	
"2019/06/25","179.9"	
"2019/06/26","179.46"	
"2019/06/27","180.62"	
"2019/06/28","180.95"	
"2019/06/29","180.95"	
"2019/06/30","180.95"	
"2019/07/01","180.95"	
"2019/07/02","182.4"	
"2019/07/03","182.49"	
"2019/07/04","182.56"	
"2019/07/05","181.92"	
"2019/07/06","181.92"	
"2019/07/07","181.92"	
"2019/07/08","180.58"	
"2019/07/09","180.02"	
"2019/07/10","180.57"	
"2019/07/11","181.29"	
"2019/07/12","181.46"	
"2019/07/13","181.46"	
"2019/07/14","181.46"	
"2019/07/15","181.91"	
"2019/07/16","181.69"	
"2019/07/17","181.41"	
"2019/07/18","181.04"	
"2019/07/19","181.7"	
"2019/07/20","181.7"	
"2019/07/21","181.7"	
"2019/07/22","181.17"	
"2019/07/23","181.57"	
"2019/07/24","182.0"	
"2019/07/25","181.9"	
"2019/07/26","181.62"	
"2019/07/27","181.62"	
"2019/07/28","181.62"	
"2019/07/29","181.04"	
"2019/07/30","180.77"	
"2019/07/31","179.95"	
"2019/08/01","179.22"	
"2019/08/02","177.31"	
"2019/08/03","177.31"	
"2019/08/04","177.31"	
"2019/08/05","174.59"	
"2019/08/06","174.24"	
"2019/08/07","174.75"	
"2019/08/08","175.92"	
"2019/08/09","175.38"	
"2019/08/10","175.38"	
"2019/08/11","175.38"	
"2019/08/12","175.05"	
"2019/08/13","174.19"	
"2019/08/14","173.65"	
"2019/08/15","173.57"	
"2019/08/16","174.49"	
"2019/08/17","174.49"	
"2019/08/18","174.49"	
"2019/08/19","175.74"	
"2019/08/20","175.66"	
"2019/08/21","175.97"	
"2019/08/22","175.38"	
"2019/08/23","175.09"	
"2019/08/24","175.09"	
"2019/08/25","175.09"	
"2019/08/26","174.35"	
"2019/08/27","174.69"	
"2019/08/28","174.78"	
"2019/08/29","175.22"	
"2019/08/30","175.6"	
"2019/08/31","175.6"	
"2019/09/01","175.6"	
"2019/09/02","175.41"	
"2019/09/03","175.04"	
"2019/09/04","176.88"	
"2019/09/05","177.59"	
"2019/09/06","178.11"	
"2019/09/07","178.11"	
"2019/09/08","178.11"	
"2019/09/09","178.06"	
"2019/09/10","177.75"	
"2019/09/11","178.58"	
"2019/09/12","178.73"	
"2019/09/13","179.15"	
"2019/09/14","179.15"	
"2019/09/15","179.15"	
"2019/09/16","178.47"	
"2019/09/17","178.27"	
"2019/09/18","178.53"	
"2019/09/19","178.41"	
"2019/09/20","178.41"	
"2019/09/21","178.41"	
"2019/09/22","178.41"	
"2019/09/23","178.07"	
"2019/09/24","178.06"	
"2019/09/25","177.12"	
"2019/09/26","177.38"	
"2019/09/27","177.13"	
"2019/09/28","177.13"	
"2019/09/29","177.13"	
"2019/09/30","177.32"	
"2019/10/01","177.32"	
"2019/10/02","175.74"	
"2019/10/03","176.15"	
"2019/10/04","176.49"	
"2019/10/05","176.49"	
"2019/10/06","176.49"	
"2019/10/07","176.49"	
"2019/10/08","176.0"	
"2019/10/09","175.82"	
"2019/10/10","176.1"	
"2019/10/11","177.9"	
"2019/10/12","177.9"	
"2019/10/13","177.9"	
"2019/10/14","178.31"	
"2019/10/15","178.96"	
"2019/10/16","179.25"	
"2019/10/17","179.81"	
"2019/10/18","179.51"	
"2019/10/19","179.51"	
"2019/10/20","179.51"	
"2019/10/21","179.88"	
"2019/10/22","179.88"	
"2019/10/23","179.66"	
