"基金名稱","綠色退休基金"	
"貨幣","HKD"	
"成立日期","2006/03/31"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2015/01/01","136.29"	
"2015/01/02","135.99"	
"2015/01/03","135.99"	
"2015/01/04","135.99"	
"2015/01/05","133.46"	
"2015/01/06","132.1"	
"2015/01/07","132.59"	
"2015/01/08","135.13"	
"2015/01/09","134.16"	
"2015/01/10","134.16"	
"2015/01/11","134.16"	
"2015/01/12","133.66"	
"2015/01/13","133.76"	
"2015/01/14","133.07"	
"2015/01/15","132.49"	
"2015/01/16","133.46"	
"2015/01/17","133.46"	
"2015/01/18","133.46"	
"2015/01/19","134.22"	
"2015/01/20","134.41"	
"2015/01/21","134.8"	
"2015/01/22","135.95"	
"2015/01/23","135.46"	
"2015/01/24","135.46"	
"2015/01/25","135.46"	
"2015/01/26","135.94"	
"2015/01/27","135.26"	
"2015/01/28","133.99"	
"2015/01/29","134.38"	
"2015/01/30","132.43"	
"2015/01/31","132.43"	
"2015/02/01","132.43"	
"2015/02/02","133.88"	
"2015/02/03","135.42"	
"2015/02/04","135.13"	
"2015/02/05","136.0"	
"2015/02/06","135.8"	
"2015/02/07","135.8"	
"2015/02/08","135.8"	
"2015/02/09","135.11"	
"2015/02/10","136.36"	
"2015/02/11","135.88"	
"2015/02/12","137.81"	
"2015/02/13","138.19"	
"2015/02/14","138.19"	
"2015/02/15","138.19"	
"2015/02/16","138.18"	
"2015/02/17","138.56"	
"2015/02/18","139.14"	
"2015/02/19","139.14"	
"2015/02/20","139.14"	
"2015/02/21","139.14"	
"2015/02/22","139.14"	
"2015/02/23","140.09"	
"2015/02/24","140.47"	
"2015/02/25","140.47"	
"2015/02/26","139.98"	
"2015/02/27","139.88"	
"2015/02/28","139.88"	
"2015/03/01","139.88"	
"2015/03/02","140.25"	
"2015/03/03","139.48"	
"2015/03/04","138.99"	
"2015/03/05","139.27"	
"2015/03/06","137.72"	
"2015/03/07","137.72"	
"2015/03/08","137.72"	
"2015/03/09","137.81"	
"2015/03/10","135.67"	
"2015/03/11","135.87"	
"2015/03/12","136.93"	
"2015/03/13","136.35"	
"2015/03/14","136.35"	
"2015/03/15","136.35"	
"2015/03/16","137.88"	
"2015/03/17","137.49"	
"2015/03/18","138.74"	
"2015/03/19","138.64"	
"2015/03/20","140.66"	
"2015/03/21","140.66"	
"2015/03/22","140.66"	
"2015/03/23","140.65"	
"2015/03/24","140.16"	
"2015/03/25","139.0"	
"2015/03/26","137.93"	
"2015/03/27","138.41"	
"2015/03/28","138.41"	
"2015/03/29","138.41"	
"2015/03/30","139.27"	
"2015/03/31","138.11"	
"2015/04/01","138.1"	
"2015/04/02","139.07"	
"2015/04/03","139.07"	
"2015/04/04","139.07"	
"2015/04/05","139.07"	
"2015/04/06","139.07"	
"2015/04/07","139.07"	
"2015/04/08","140.2"	
"2015/04/09","140.68"	
"2015/04/10","141.35"	
"2015/04/11","141.35"	
"2015/04/12","141.35"	
"2015/04/13","140.85"	
"2015/04/14","141.53"	
"2015/04/15","141.91"	
"2015/04/16","142.2"	
"2015/04/17","140.94"	
"2015/04/18","140.94"	
"2015/04/19","140.94"	
"2015/04/20","141.8"	
"2015/04/21","142.08"	
"2015/04/22","142.56"	
"2015/04/23","143.04"	
"2015/04/24","143.81"	
